es	Relevant
"Indeed, apart from Bin Laden, Zarqawi, Mullah Mohammed Omar and other well-known terrorists, the public may have relatively little information about many of the listed individuals."	0
"Another problem was the fact that the Government apparently did not have sufficient military resources, as many of its forces were still stationed in the south, and those present in Darfur were mainly located in the main urban centres."	1
"Following the publication of the Publicly Available Specification (PAS) 28007 of the International Organization for Standardization (ISO) on Guidelines for Private Maritime Security Companies, which provides for the use of private armed protection personnel on board ships, a private maritime security company can now obtain certification under this voluntary industry standard to facilitate uniform application at the international level."	0
"8 May 2006 There are incidents of violence in Gleno, in which East PNTL officers are attacked."	1
"The team engaged in bilateral discussions with the Government and the Coordinator of the National Movement for the Liberation of Azawad (MNLA), the High Council for the Unity of Azawad (HCUA) and the Arab Movement of Azawad (MAA), who are joined by the Coordinator of the Movements and Patriotic Fronts of Resistance (CMFPR-II) and a faction of the Azawad People's Coalition (CPA), on the one hand, and with the Government and the Platform of armed groups, composed of CMFPR-I, CPA and the other faction of the MAA, as well as with members of the Tuareg Imghad and Allied Self-Defence Group (GATIA) invited by the Platform, on the other."	1
"(c) Persons on the List reported to have died, together with an assessment of the relevant information contained in paragraph 28 (c) and, to the extent possible, the status and location of frozen assets and the names of persons or entities that might receive the unfrozen property;"	0
"(h) The development of methodologies to enhance the effectiveness of cooperation with individual States, subregional, regional and international organizations, multilateral export control regimes and relevant entities of the United Nations system, and the assessment of the level of cooperation among the Committees established pursuant to resolutions 1540 (2004), 1267 (1999) and 1373 (2001), and to assess, in particular the level of exchange of information and coordination with respect to country visits, with specific recommendations, where appropriate, with a view to enhancing cooperation."	1
States and many international actors welcomed the open nature of the comprehensive review process and urged the 1540 Committee to maintain that approach and increase its already useful efforts to achieve transparency and inclusiveness.	1
"The group attacked and killed 54 people, injured 24 others and burned houses before withdrawing with cattle loot and household items."	1
"We have also scheduled two thematic debates on the prevention of conflict and children in armed conflict for 20 and 26 July, respectively."	1
FACI has moved all air equipment that was intact or damaged to its air base at Abidjan International Airport.	1
"In Lerneb (Timbuktu region), MMA (Plataforma) warned at several public meetings held in September that it would punish members of the local population to provide information to MINUSMA and the French forces. On 23 September, the body of a beheaded man was found in the Zouera area, 80 km north of Timbuktu. He was one of the five men Al-Qaida had abducted in the Islamic Maghreb on 16 September for collaborating with international forces and who have since disappeared."	1
"After completing the processing of the claims in June 2005, the main remaining task for the Commission is the payment of awards in respect of approved claims."	0
"The Janjaweed, to whom most of the victims in the current conflict refer, are Arab militias that raid the victims' villages, mounted on horses or camels, to kill, plunder, burn and rape."	1
"In addition, the European Union has established a supranational regime to ensure that all its member States freeze funds and assets associated with terrorism."	1
"23. Requests the Analytical Support and Sanctions Monitoring Team, in close cooperation with other United Nations counter-terrorism bodies, to submit a report to the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) within 180 days, and to provide oral updates to the Committee within 60 days on the threat posed by foreign terrorist fighters joining and/or recruiting with ISIL, the Nusra Front and all groups, undertakings and entities associated with Al-Qaida, and in particular:"	1
"Subsequently, in 2006, the General Assembly unanimously adopted the Global Counter-Terrorism Strategy, which was of great importance in reaffirming the collective commitment of the international community to combating the common threat of terrorism."	1
"Water stations :: On 23 November 2014, ISIL detonated a car bomb near a sewage plant in Midan village, Hasaka, which suffered significant damage."	1
"Despite recent progress, logistical, political and security constraints will severely hamper the planned demobilization and reintegration of 180,000 ex-combatants by the end of the Comprehensive Peace Agreement period."	1
"The Government and the United Nations country team, with input from the World Bank, prepared a booklet on the Millennium Development Goals, which sets out the current situation in Timor-Leste and explains the policy implications of achieving the targets and indicators."	1
"However, there were police officers, who could come as far as Addis Ababa, not to say Rome or The Hague, who had heard of the International Criminal Court and were concerned about its criminal responsibility to it."	0
"(c) A list of listed individuals reported to have died and entities reported or confirmed to have ceased to exist, together with the documentation requirements described in paragraph 23 (c);"	0
"However, in many areas of the country there is no capacity for detention or functioning courts, forcing law enforcement authorities to release suspected dangerous criminals, or to request MONUC forces to detain suspects for security reasons and to protect civilians."	1
"They killed six men, who were buried in individual graves."	1
"The Department is responsible for the management and administration of the Kosovo Protection Corps and the planning, coordination and implementation of emergency response to natural and other disasters."	1
"Such precautions, established under customary international law, are as follows: (a) any belligerent party shall do all it can to ensure that the intended targets are not of a civilian nature; (b) take all possible precautions in the choice of means and methods of combat to prevent or at least reduce as much as possible the number of injuries that may incidentally be caused by the civilian population, as well as damage to civilian objects; (c) refrain from deciding on an attack when it is expected to cause incidental death or injury to the civilian population, damage to civilian objects, or both, which would be excessive in relation to the specific and direct military advantage envisaged; (d) give adequate advance notice and effective means of any attack that may affect the civilian population, except in the case of a live attack (as provided for in article 26 of the Hague Regulations of 1907) or, as provided for in article 57, paragraph 2 (c), unless circumstances prevent it, i.e. where one of the belligerent parties considers that a surprise attack is indispensable."	1
"They have enacted anti-terrorism laws and made efforts to further strengthen regional coordination and cooperation, particularly in the maritime context."	1
The main security concerns relate to criminal activities and factional fighting.	1
"Stresses that all those responsible for human rights abuses and violations shall be held accountable, and stresses the need for a thorough, independent and impartial investigation, consistent with international standards, of alleged human rights abuses and violations, in order to avoid impunity and ensure full accountability;"	1
"These sites range from those promoting the cause of certain individuals, such as Shamil Basayev in Chechnya, or groups, such as Lashkar-E-Tayyiba in Pakistan, to those seeking to justify Al-Qaida-related terrorism in general, such as Voice of Jihad, or those providing training to terrorists, such as Al-Battar."	1
I call once again for all innocent seafarers held hostage in Somalia to be immediately and unconditionally released so that they can reunite with their families.	1
"Another concern about humanitarian exceptions is that, since individuals and private entities cannot address the Committee directly, it is the State of residence of the listed party that determines whether or not the Committee receives a request under resolution 1452 (2002)."	0
"Government leaders and their supporters, for their part, accused MPCI and other ârebel movementsâ of employing foreign forces and committing atrocities, in particular, the killing of dozens of Gendarmerie agents in BouakÃ©."	1
The Commission has been able to establish a detailed and precise account of the events of April and May which resulted in a considerable number of deaths and injuries and extensive material damage.	1
"After careful examination of the file, the Commission may highlight the following facts:"	0
National security forces officers were trained (50 in AdrÃ© and 42 in AbÃ©chÃ©).	1
Letter dated 22 December 2009 from the President of the Security Council established pursuant to resolution 1518 (2003)	0
"While the Initiative was designed in response to the increase in drug trafficking and transnational organized crime in West Africa, transnational crime units will function as national and regional focal points to support analytical and technical capacity to respond to transnational threats."	1
Targeted and phased measures in response to the illicit trade in small arms and light weapons	1
"Three days later, the Jaleele bought 25 AK-47 assault rifles, 2 anti-aircraft machine guns, 6 PKM machine guns, 4 RPG-2 rocket launchers and ammunition."	1
The Council recognized the desirability of annual briefings by heads of military components and noted that it would welcome similar meetings with heads of police components to improve understanding of operational problems.	1
"In addition, the Taliban can still import weapons, other materials and troops and the key to military success lies in neutralizing their supply lines and preventing them from finding refuge where their fighters can recover from one operation to another and train new recruits."	1
The Council supports the idea of establishing a rule of law assistance unit within the Secretariat and looks forward to receiving the Secretariat's proposals for the implementation of the recommendations contained in paragraph 65 of the report of the Secretary-General on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).	1
"The conflict that ended in 1999 had profound implications for relations between the various communities in Kosovo, in particular between Albanians and Serbs."	0
"In addition, there are several Palestinian armed groups operating in the country, inside and outside the refugee camps."	1
"The Council expresses its deep concern that civilians continue to constitute the majority of the victims of violence committed by parties to armed conflict, including as a result of deliberately targeted attacks, the indiscriminate and excessive use of force, the use of civilians as human shields and sexual and gender-based violence, as well as all other acts committed in violation of applicable international law."	1
"In discussions with the Commission on the methodology of the committees on violations, much emphasis was placed on the wide publicity given to their mandate."	1
"The following section assesses the effectiveness of the measures taken by the Government of the Sudan, in particular those aimed at investigating and prosecuting crimes."	0
Financial Intelligence Unit: establishment and operationalization	0
âThe Security Council calls on Burundi to prevent any form of support from its territory to armed groups in the Democratic Republic of the Congo.	1
"In general terms, the attitude of the government authorities towards the Commission has been an attitude of cooperation."	1
The Centre also emphasizes the prohibition and blocking of Internet sites containing extremist material and regulation in this area.	1
"The Commission recommends that the following persons be prosecuted for the illegal possession, use and circulation of weapons by the PNTL on 8 or 21 May, or both: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da ConceiÃ§Ã£o, alias Rai Los, Mateus dos Santos Pereira, alias Maurakat, Leandro Lobato, alias Grey Harana, Antonio Lurdes, alias 55, Marcos da Silva Piedade, alias Labadae, Francisco and Santa Cruz."	1
All States now adequately criminalize in their domestic law the granting of safe haven to terrorists and their supporters and the use of their territories to commit or prepare terrorist acts against other States or their citizens.	1
This way in which some sources have interpreted the information has added a new dimension to the conflict.	0
"After the attack, the entire population of the area went to Kailek."	1
Some of these League recruits from the Maoist army and militia are under the age of 18.	1
"31. The State considers the spread of Christianity to be a particularly serious threat, since it questions ideologically the official cult of personality and provides a platform for political and social interaction and organization beyond the limits of the State."	1
"In the view of that State, such activity, in its most radical form, often leads to violent extremism and leads to fatalities."	1
The information gathered and verified by the Commission shows that rape and other forms of sexual violence committed in Darfur by Janjaweed militias and Government soldiers were widespread and systematic and can therefore be considered crimes against humanity.	1
"The women and girls were separated from the men, confined in an area near the mosque, and subsequently removed by their captors for rape."	1
"At that meeting, the parties agreed to deepen their cooperation on the issues of the technical study of the railway network and the return of refugees and internally displaced persons."	1
"According to article 31 of the National Security Act, when the Director-General issues an order, security officers may make arrests, searches, arrests and investigations; the officer has three days to inform the detainee of the reasons for his arrest and detention."	1
"âThe Security Council recognizes that terrorism will not be defeated solely through military force, law enforcement measures and intelligence operations, and stresses the need to address conditions conducive to the spread of terrorism, including, inter alia, the need to redouble efforts aimed at the successful prevention and peaceful resolution of protracted conflicts, and the need to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusion in order to provide a viable alternative to persons likely to be recruited by terrorists and subjected to radicalization leading to violence."	1
""" The Security Council further reaffirms the need to combat, by all means and in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts."	1
"It also underlines the need for unreserved adherence to the process of integration of the armed forces, in the spirit of the Global and All-Inclusive Agreement."	1
Many people died and more than 100 were injured.	1
These militias are believed to operate mainly in accordance with a tribal command structure.	1
The Geneva Conventions strictly prohibit torture in both internal and international armed conflicts.	1
"VIII. Travel ban The Monitoring Team continues to view the travel ban as an important measure of the Al-Qaida/Taliban sanctions, but notes the ingenuity shown by terrorists attempting to cross national borders without being discovered."	1
"In some States, the effective implementation of resolution 1373 (2001) continues to be hampered by the vagueness or excessive scope of the definition of terrorist offences."	1
"If Afghanistan loses appeal in terms of the number of targets for militant groups, they may redirect their efforts to their own countries of origin or to other countries."	1
"14. Decides that the Committee, in determining whether names should be excluded from the Consolidated List, shall consider, inter alia, (i) whether the individual or entity was included in the Consolidated List because of an identification error, or (ii) whether the individual or entity has ceased to meet the criteria set out in the relevant resolutions, in particular resolution 1617 (2005); in carrying out the assessment referred to in subparagraph (ii), the Committee may consider, inter alia, whether the individual or entity has died or whether it has been shown that the individual or entity has broken any association, as defined in resolution 1617 (2005), with Al-Qaida, Osama bin Laden, the Taliban and their supporters, including all individuals and entities on the Consolidated List; Exemptions 15. Decides to extend the time limit for the Committee's consideration of notifications submitted pursuant to paragraph 1 (a) of resolution 1452 (2002) from 48 hours to three working days;"	0
":: On 8 November 2014, regime forces attacked Sheikh Miskeen town and killed five people, including two children and two women."	1
""" The Security Council expresses its deep concern that civilians continue to constitute the vast majority of victims in situations of armed conflict."	1
"There is general agreement that the escalation of attacks coincides with the intensification of the internal armed conflict between the Government and the two rebel movements, SLM/A and JEM."	1
"The issue of small arms cannot be addressed only by arms control measures; it is part of a broader spectrum of conflict, security, armed violence, crime, trade, human rights, health and development."	1
"As reported to the Commission by the PNTL, only those petitioners who were wandering around would be arrested and handed over to the PNTL and no arrest operation was authorized."	1
"When militias attack jointly with the armed forces, they can be said to be acting under the effective control of the Government, which corresponds to the notion of control enunciated in 1999 in the TadiÄ Appeal case (paras. 98-145)."	1
Uganda would like to believe that the Permanent Representative is completely unaware of the high level of cooperation taking place between the Government of Uganda on the one hand and the United Nations Organization Mission in the Democratic Republic of the Congo (MONUC) and the Government of the Democratic Republic of the Congo on the other.	1
Dual-use commercial systems: they are manufactured for civilian purposes but can also be used in terrorist attacks.	1
"Two helicopter gunships and one Antonov aircraft were used during the attack, possibly for reconnaissance purposes."	1
This concept has been explicitly analysed in the jurisprudence of the international criminal courts: âThere is armed conflict when armed force is used between States or prolonged armed violence between government authorities and organized armed groups or between such groups within the Stateâ.	1
It is also surprising that no element belonging to the so-called parallel forces could be arrested or prosecuted for such crimes.	1
"- Underscore the need to exclude and reject any form of amnesty or amnesty for genocide, crimes against humanity, war crimes or other serious human rights violations in conflict resolution processes, and ensure that any amnesty previously granted does not constitute an obstacle to prosecution before any court established by or assisted by the United Nations."	1
"That decision established from that date a ban on trade, economic, financial and transport relations, among others, with Abkhazia at the State level."	1
"They called us ""slaves"" and asked us why we were still there."	1
"Of these 168 children, 135 were abducted for recruitment, while the other 33 were abducted for cultural and political programmes or for other reasons."	1
"Another State held an international seminar in 2009 on enhancing cooperation and dialogue between government agencies, the media and civil society in the fight against terrorism."	1
"In response to the A influenza pandemic (H1N1), between mid-2009 and August 2010, the Ministry of Health, with WHO support, developed a pandemic preparedness plan that included, inter alia, improving its surveillance systems; obtaining Tamiflu tablets; installing an artificial respirator at the National Hospital; and organizing several training sessions for health-care personnel."	1
"With regard to international humanitarian law, common article 3 of the Geneva Conventions prohibits attacks on life and bodily integrity, including cruel treatment and torture, hostage-taking and violations of personal dignity, including humiliating and degrading treatment."	1
"Half an hour later, three other jeeps arrived from Chad, supported by a military helicopter, and there was a further clash with the Sudanese military unit, in which one soldier and several civilians were injured."	1
"In Southern Darfur, one of the most devastating clashes occurred on 19 September when SML/A attacked SAF positions in and around Shaeria village."	1
""" The Security Council also reiterates its support for the Special Representative of the Secretary-General, Ahmedou OuldAbdallah, for his efforts to advance the political process in Somalia."	1
"Maritime activities and revenues - coal, fisheries and piracy"	0
The Executive Directorate proposes three small adjustments in its organization and operational practices to better reflect the changing priorities and proposed new activities.	1
:: Systematic coordination between the civilian and military components of the mission and between the mission and humanitarian actors is maintained in order to consolidate the knowledge gained in the protection of the civilian population.	1
":: On 30 November 2014, regime warplanes fired a missile on the city of Andan and killed 11 people, including 1 child."	1
"In line with the Committee's policy guidance on human rights and counter-terrorism, the Executive Directorate's communication strategy takes human rights into account, stressing that States must ensure that their counter-terrorism measures comply with their obligations under international law."	1
"âThe Security Council welcomes General Assembly resolution 64/289, which established the United Nations Entity for Gender Equality and the Empowerment of Women (UNWomen), which will become fully operational in January 2011."	1
"For the purpose of the fourth task, the Commission considered it necessary to make a preliminary determination of the extent to which the Sudanese criminal justice system had been able to prosecute and bring to justice the alleged perpetrators of international crimes committed in Darfur and had been prepared to do so, and then to review the various existing international mechanisms."	1
"In accordance with Presidential Decree No. 2004-236, which mobilized the national armed forces, and with the instructions received at the meeting held on 24 March by the President, the Prime Minister, the Ministers of Defence and Internal Security and the relevant heads of the national police, gendarmerie and FANCI, the security forces were stationed in many areas of the urban periphery, particularly in locations where concentrations and demonstrations were planned."	1
The United Nations Joint Human Rights Office continues to investigate alleged violations of human rights and international humanitarian law by both armed groups and national security forces.	1
"Resolution 1624 (2005), which encourages interreligious and intercultural dialogue and understanding, needs to be more effectively implemented in order to combat incitement to commit terrorist acts motivated by extremism and intolerance."	1
"To that end, one of the instruments available to Member States is the United Nations Register of Conventional Arms, which includes data provided by States on international arms transfers, as well as information on military holdings, procurement from national production and relevant policies."	1
It also held discussions with investigators of the Special Court for Sierra Leone and continued to meet with the Panel of Experts established pursuant to Council resolution 1533 (2004) on arms flows to the Democratic Republic of the Congo.	1
"âThe Security Council recognizes the efforts of the countries of the region to take appropriate measures under international law to combat piracy and armed robbery at sea and to address transnational organized crime, including drug trafficking, as well as other measures to enhance maritime security."	1
"- Encourage United Nations peacekeeping operations and other relevant missions authorized by the Security Council, as appropriate and on a case-by-case basis, to prevent the illegal appropriation and confiscation of land and property belonging to refugees and internally displaced persons and to ensure the protection of returning refugees and internally displaced persons."	1
"We also agreed that the parties should re-establish a genuine, much-needed dialogue and proceed, without further delay, to the dismantling of militias, the disarmament, demobilization and reintegration of combatants, as well as to the organization of free, fair and credible elections."	1
"The evidence shows that armed men under the command of Abilio Mesquita began the attack on the residence of Brigadier General Ruak on 24 May, as indicated in paragraphs 69 and 70 above."	1
"6. Decides, in order to collaborate with the Committee in the fulfilment of its mandate, to establish for an 18-month period, based in New York, a team to provide analytical support and to monitor the implementation of sanctions (hereinafter referred to as âthe Monitoring Teamâ), under the aegis of the Committee, with the responsibilities listed in the annex to the present resolution;"	1
"In 2014, in response to Security Council resolutions 2083 (2012) and 2161 (2014), and in order to further promote the implementation by national authorities of Security Council sanctions regimes, the Division standardized the format of all Council sanctions lists and established the Consolidated Sanctions List of the Security Council, which contains the names on the sanctions lists of the sanctions committees of the Council as a whole."	1
"In my second report, which is the first semi-annual report on the implementation of resolution 1559 (2004) (S/2005/272), I noted that as at 26 April 2005, significant and significant progress had been made by the parties concerned in the implementation of some of the provisions contained in resolution 1559 (2004), but that the requirements of that resolution had not yet been met."	1
It provided detailed information on violations and abuses committed against children in Yemen.	1
"The Executive Director shall ensure that all relevant international, regional and subregional organizations have a point of contact within the Evaluation and Technical Assistance Office, which will liaise with the Office of the United Nations High Commissioner for Human Rights and other relevant organizations in the field of human rights and counter-terrorism."	1
"Recalling in this context that the killing of members of an ethnic group with the intention of destroying it in whole or in part constitutes a crime punishable under international law,"	1
"Overall, the number of FARDC military operations supported by MONUSCO decreased. From 6 to 15 February, the Mission supported the FARDC operation Mapema Mupya (New Dawn) in the Kanyabayonga area of North Kivu, which was aimed at deterring armed groups from carrying out activities and enhancing the protection of civilians."	1
"Al-Qaida affiliates are evolving, often autonomously, with obvious changes of a generational, geographical, ethnic, structural and operational nature."	1
"The fact that the massacres perpetrated by Government forces and the Janjaweed appear to have systematically targeted the Fur, Masalit, Zaghawa and other politically motivated African tribes indicates the discriminatory nature of the killings and can therefore be described as persecution as a crime against humanity."	1
"On 19 August 2014 (World Humanitarian Day), the United Kingdom of Great Britain and Northern Ireland, in its capacity as President of the United Nations Security Council, will hold an open meeting of the Council in the form of a briefing on the protection of humanitarian workers under the agenda item on the protection of civilians in armed conflict."	1
"The Arab Movement of Azawad (MAA), the Coordinator of Movements and Patriotic Forces of Resistance (CM-FPR) and the People's Coalition for Azawad (CPA), as parties to the Preliminary Agreement for Presidential Elections and Inclusive Peace Talks in Mali, signed on 18 June 2013 in Ouagadougou;"	1
"Since October 2013, it has thwarted two pirate attacks and transferred five suspected pirates to Seychelles for prosecution."	1
"In short, while militia attacks against civilians did not occur on a massive or systematic scale as in the months prior to the joint communiquÃ©, they have continued and intensified recently."	1
"Secondly, limited information leads to frustration and disinterest among those who have to consult the List and on those who depend most on the effectiveness of their use, which increases the risk that no names on the List will be discovered and that the measures will be applied to those who are not intended."	1
Al-Qaida in the Islamic Maghreb (AQMI) (QE.T.14.01) has greatly developed its expertise in kidnapping for ransom collection.	1
