BLEU,SacreBLEU,METEOR,BERTScore
0.1778279410038923,0.0,0.5,0.9999999403953552
0.2941699184198729,0.3018519798040002,0.40937084893128856,0.8713856935501099
0.3450213478610685,0.3755316411917069,0.6082362324871688,0.9118042588233948
0.3889342506993911,0.3952363323257766,0.5474452554744526,0.9080848097801208
0.02277284496167085,0.1073743061103179,0.18950617283950616,0.8543548583984375
0.6053011982655683,0.5929835221973795,0.7782749971496977,0.9660277366638184
0.13232291594986312,0.12991916506579948,0.4701133961176246,0.847377598285675
0.31883606018827315,0.309427718591909,0.47609666403992645,0.8627538681030273
0.3854565834148107,0.40501729753208027,0.5725133473177936,0.9124138951301575
0.47600077217677045,0.4757529724689967,0.6473977245219075,0.8767297267913818
0.36278234362008654,0.4300656048902972,0.5846049877202525,0.8870474100112915
0.3086151984683228,0.35753785478700495,0.5462015147263097,0.8390397429466248
0.2694575439144871,0.29070753374739217,0.5117193597058671,0.8451880812644958
0.29336839227510364,0.41034269130006895,0.6057639095823932,0.9096625447273254
0.2791371383202222,0.28509553529735276,0.5806986006837968,0.9187237024307251
0.5515955023801724,0.6320575173624243,0.7389382073099693,0.9419975280761719
0.5226787997235787,0.537087907579055,0.7738670728966165,0.9497050642967224
0.22586836723768164,0.22743745158213113,0.5083339700697499,0.9036657810211182
0.622256959822235,0.6332799245559761,0.7443808385252624,0.917184591293335
0.807681595142239,0.8037775080641402,0.9086982556370311,0.9668273329734802
0.2663610863692778,0.26947796000436885,0.5152865743998749,0.8351853489875793
0.09083627868206415,0.12109013026441869,0.4602777777777778,0.8930271863937378
0.5619690367869222,0.573797175736511,0.8419905292362894,0.932700514793396
0.8091067115702212,0.8091067115702206,0.8551587301587302,0.9702995419502258
0.08910017878980071,0.21576146358278553,0.5110804386166705,0.8472400307655334
0.3010410881231539,0.34093579115395606,0.5153149538412563,0.8760380148887634
0.09666336076993867,0.15013058019014866,0.4734848484848485,0.8780897855758667
0.5622008276590377,0.5702822264405544,0.7603053435114504,0.9680601358413696
0.4204031867961693,0.4349975071029939,0.6720575677140693,0.8828977346420288
0.14264965190603163,0.1938341802345665,0.4336038293257545,0.8476320505142212
0.4310152187414283,0.42352147970894316,0.6092163723842631,0.9035705327987671
0.3026558282583112,0.3037104509847165,0.4927865398903403,0.8969712853431702
0.24239379979381337,0.24060152010110056,0.40575032199290045,0.8477950096130371
0.5150697980826054,0.5346589803292493,0.6990758861659777,0.8781507015228271
0.11791940539925579,0.17609993901861223,0.5993150684931506,0.8488451242446899
0.2080315522738391,0.2038969616354174,0.5163380456349206,0.8647698163986206
0.41274160068707827,0.43070182963156595,0.6967369496448925,0.9200106263160706
0.3611059194474182,0.36792603455076006,0.5345030946678885,0.851948082447052
0.06562836383697548,0.11653954399505498,0.44888416107085083,0.8648151755332947
0.4746397048574915,0.5544348397932585,0.6869671767865058,0.9115054607391357
0.009410489957951634,0.05551277111446363,0.0813008130081301,0.6983094811439514
0.2629964719424085,0.3446258716760605,0.4991749446669477,0.8359301090240479
0.44706764272018557,0.47583578600839166,0.7122743682310471,0.9438973665237427
0.03798229226827674,0.11633270842295033,0.30491803278688523,0.8480117321014404
0.07786777655685517,0.11306082351602983,0.39421979972113064,0.8613516688346863
0.43007886672858797,0.42416092104229874,0.5841121495327103,0.9089794754981995
0.428723285492463,0.5673273683775463,0.6471157894736843,0.9194256067276001
0.2845988079738968,0.33142061393320893,0.5061936936936936,0.8570818305015564
0.4173260194691081,0.4399465474379021,0.7110582138756938,0.9274905323982239
0.066870728484029,0.12969223116014114,0.4067853993449232,0.8771904706954956
0.31990679095202523,0.33581713002680785,0.5741602294007491,0.8860099911689758
0.23850080213378277,0.3356740052922084,0.5771794188216476,0.8799322843551636
0.18600766104975863,0.18066941233994485,0.3263368714680409,0.8161985874176025
0.20076516249807597,0.2711624861629092,0.4073059360730593,0.8675433397293091
0.5885235085313478,0.6344899359027898,0.7194546577172694,0.9431672692298889
0.47877944575018555,0.4779965782721313,0.6482111204528292,0.9288362264633179
0.02560744480557418,0.04814971807094068,0.19363496932515337,0.8180587291717529
0.038023006482871415,0.10690207181842254,0.31721105527638194,0.8681870698928833
0.1673872929477023,0.19408623270627198,0.36416487033770983,0.8685756325721741
0.32763623566737055,0.36914531302262604,0.6506459459459459,0.8974320292472839
0.19898107345153532,0.1748420417921227,0.48643216080402,0.8654739260673523
0.4384861051674016,0.4405856555443554,0.6278540281190105,0.9362030029296875
0.42976413628238785,0.4226108216696221,0.6883947608894305,0.9397348165512085
0.6032820897294076,0.5805822008160755,0.7704256768872154,0.920336902141571
0.39162127614717107,0.3842148863001241,0.6146417445482866,0.8843069672584534
