en	Relevant
Colombia, Chile, Paraguay y Perú también han promulgado leyes que otorgan a sus autoridades encargadas de hacer cumplir la ley poderes especiales de investigación.	1
Solicitar a la secretaría que proporcione información actualizada sobre la cuestión de posibles premios duplicados en las categorías A y C para que el Grupo de Trabajo siga examinándola en sus futuras reuniones y que la mantenga en el programa del próximo período de sesiones del Consejo de Gobernadores; y que se aprobara la solicitud de la secretaría de ampliar el número de cinco funcionarios hasta el 31 de diciembre de 2005 para prestar apoyo a los expertos en contabilidad forense y aplicar las recomendaciones que pudieran hacerse respecto de posibles adjudicaciones duplicadas.	0
Pero, aunque el Equipo no evalúa que el asesoramiento técnico paramilitar disponible en Internet represente una amenaza a la par del entrenamiento en la vida real, el potencial aumentará a medida que mejore la calidad del asesoramiento.	1
:: El establecimiento del programa de inversiones prioritarias para 2015-2017, por un importe de 7.208 millones de francos CFA (aproximadamente 15.000 millones de dólares).	0
Destacó la necesidad de fomentar el diálogo dentro de las instituciones federales de transición y alentó a sus interlocutores a utilizar su influencia con ese fin.	1
Es innegable que hay mucho en juego, ya que el incumplimiento del plazo para los referendos prescrito por el Acuerdo General de Paz podría tener graves consecuencias.	1
Algunos miembros del Consejo expresaron preocupación por el hecho de que aún no había sido posible avanzar en las investigaciones de los crímenes cometidos por los rebeldes.	1
La Dirección Ejecutiva del Comité contra el Terrorismo, por ejemplo, ha trabajado extensamente con los Estados para fortalecer sus capacidades de gestión de fronteras para controlar los movimientos terroristas y su capacidad de justicia penal para combatir el blanqueo de dinero.	1
7. Exhorta a todos los Estados a actuar estrictamente de conformidad con las disposiciones de esta resolución, sin perjuicio de la existencia de cualesquiera derechos u obligaciones conferidos o impuestos por cualquier acuerdo internacional o cualquier contrato celebrado o cualquier licencia o permiso concedido antes de la fecha de su llegada. en vigor de las medidas impuestas por el párrafo 4 anterior;	1
2. Exhorta al gobierno sirio a implementar visiblemente sus compromisos en su totalidad, como acordó hacerlo en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), de (a) cesar los movimientos de tropas hacia centros de población, (b) cesar todo uso de armas pesadas en dichos centros, (c) retirada completa de las concentraciones militares dentro y alrededor de los centros de población, así como retirar sus tropas y armas pesadas de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar un cese sostenido de la violencia ;	1
