en_ar_TRANSFORMERS	MatConf
27 - وفقا للفقرة 13 من قرار مجلس الأمن 1822 (2008)، وبالتنسيق مع الدول المقدمة للأسماء، شرع الفريق في صياغة موجزات سردية لأسباب إدراج جميع الأسماء المدرجة في القائمة في القائمة.	0
وأصيب أحد الجنود بجروح طفيفة في إصبعه نتيجة انفجار قنبلة يدوية.	1
توفير الأمن الخارجي والداخلي (إجراءات الفرز لفصل العناصر المسلحة عن المدنيين؛ وتدابير التسريح ونزع السلاح؛ والمساعدة التقنية والتدريب من جانب الشرطة المدنية الدولية و/أو المراقبين العسكريين؛ وموقع المخيمات على مسافة بعيدة جدا من الحدود الدولية والمناطق المعرضة للخطر؛ والترتيبات الإقليمية ودون الإقليمية).	0
كما أن وجود عناصر متطرفة وما يُدّعى أنها تقوم به من أنشطة يثير القلق.	1
وأدعو السلطات اللبنانية إلى بذل كل جهد ممكن لإلقاء القبض على المسؤولين عن محاولة الاغتيال هذه وتقديمهم إلى العدالة.	0
(ب) تعزيز الأطر التشريعية والتنظيمية لمكافحة تمويل الإرهاب، بوسائل منها تجريم تمويل الإرهاب، واتخاذ التدابير اللازمة لتجميد الأموال دون تأخير، وإجراء تقييمات للمخاطر التي يتعرض لها القطاع غير الربحي؛	0
وقدمت حكومة السودان إلى اللجنة وثيقة تبين الهجمات التي تعرضت لها قوافل المساعدة الإنسانية.	1
وطلب مجلس الأمن مني أيضا في ذلك القرار أن أضع تصميم الميدالية وأن أقدم في الوقت المناسب إلى المجلس طرائق تحديد كيفية ترشيح واختيار الحاصلين على الميدالية، استنادا إلى المعايير المنصوص عليها في القرار.	0
(ب) ساهمت الاضطرابات الاجتماعية المرتبطة بقضايا الاستبعاد التي طال أمدها في استمرار نمط الاحتجاجات وظهور جماعات سياسية ومسلحة في سهول تيراي الجنوبية، مما أوجد مخاطر جديدة على الأطفال، بما في ذلك التشريد والقتل والتجنيد؛	1
ويراقب السكان الضحايا حراس يستخدمون السوط التي يحملونها للسيطرة عليهم وإذلالهم.	1
:: الاستفادة من حلقة العمل المشتركة بين المديرية التنفيذية ومنظمة الأمن والتعاون في أوروبا لوسط آسيا المقرر عقدها في تشرين الثاني/نوفمبر 2010 بشأن القرار 1624 (2005) ومكافحة التحريض بدافع التطرف، من خلال مبادرات مماثلة في مناطق أخرى	0
أعمال التعذيب التي يرتكبها السكان المدنيون	1
وكان بعض المحتجزين قد احتجزوا لمدة 11 شهراً دون توجيه تهمة إليهم أو الاتصال بمحام أو الاتصال بأسرهم.	1
وقامت حركات التمرد أيضا بأعمال نهب استهدفت أساسا مراكز الشرطة للحصول على الأسلحة؛ واستهدف المتمردون أيضا في بضع مناسبات الممتلكات الخاصة.	1
ويبدو أن الغرض منه هو أن تذهب قوات حركة تحرير الكونغو/التجمع الكونغولي من أجل الديمقراطية - الوطني من بلدة إلى أخرى لتدمر كل ما يمكن أن تضع أيديها عليه.	1
والدول مدعوة إلى فحص بصمات الأصابع الواردة في النسخ المقيدة للإخطارات عن طريق قواعد بيانات الشرطة الخاصة بها للتحقق من وجود مباريات داخل نظمها الخاصة (الفرع السادس - جيم، الفقرة 80)	0
وفي بعض الحالات، انطوت الاستجابة الوطنية لاحتواء الفيروس على الاستخدام المفرط للقوة أو الحجر الصحي للمجتمعات المحلية التي هي دون المعايير المعترف بها لكرامة الإنسان.	1
وكانت التدابير التي اتخذتها الحكومة حتى الآن لمعالجة الأزمة غير كافية وغير فعالة إلى حد كبير، مما أسهم في مناخ الإفلات التام تقريبا من العقاب على انتهاكات حقوق الإنسان في دارفور.	1
52- واستخدمت الدولة أيضاً التجويع المتعمد كوسيلة للمراقبة والعقاب في مرافق الاحتجاز.	1
