en_ar_TRANSFORMERS	VerConf
ونحن ندين بشدة الهجمات الإجرامية التي تواصل جماعة بوكو حرام الإرهابية ارتكابها في شمال نيجيريا وفي البلدان المجاورة.	1
ويشير الأمين العام في تقريره إلى قدر من التحسن في جميع تلك المجالات باستثناء المسألة المركزية المتمثلة في إصلاح الحكم المحلي، ولا سيما اللامركزية، حيث لم يحرز تقدم.	1
وإذ يطالب جميع أطراف النزاع المسلح بوقف فوري وتام لجميع أعمال العنف الجنسي ضد المدنيين وفقا للقرارات 1325 (2000) و 1820 (2008) و 1888 (2009) و 1889 (2009)؛ وتجنيد الأطفال واستخدامهم وفقا للقرارين 1612 (2005) و 1882 (2009)؛ والهجمات العشوائية على المدنيين وفقا للقرار 1894 (2009)،	1
وبينما كانت الأحكام الصادرة مؤخرا عن محكمة استئناف في إندونيسيا خارج نطاق ولاية بعثة الأمم المتحدة لتقديم الدعم في تيمور الشرقية، فإن إلغاء أربع إدانات صادرة عن محكمة حقوق الإنسان المخصصة يؤثر تأثيرا مباشرا على المسألة الأكبر المتمثلة في تحقيق المساءلة.	1
- يجب أيضا منع الإرهابيين من استخدام أنشطة إجرامية أخرى مثل الجريمة المنظمة عبر الوطنية، والاتجار غير المشروع بالمخدرات والمخدرات، وغسل الأموال، والاتجار غير المشروع بالأسلحة؛	0
ولاحظ الفريق في تقريره الثاني (S/2005/83، الفقرة 135) أن الاتحاد الأوروبي، بوصفه أكثر المناطق تطورا في هذه المناطق، يضمن لمواطنيه حرية التنقل داخل أراضي دوله الأعضاء الـ 25، في حين أن اتفاق شنغن يزيل الضوابط الحدودية بين العديد من الدول الأوروبية ويعزز في الوقت نفسه الضوابط على الحدود الخارجية لمنطقة شنغن ويزيد من التعاون بين الشرطة والقضاء داخل نظام شنغن.	0
68 - وكان مقتل خبيرين من مكتب الأمم المتحدة المعني بالمخدرات والجريمة في 7 نيسان/أبريل 2014، أثناء وجودهما في بعثة لمكافحة القرصنة في الصومال، تذكرة رزينة بالمخاطر التي يواجهها موظفو الأمم المتحدة في عملهم لتحسين حياة الآخرين.	0
ولا تزال معظم الدول بحاجة إلى إدراج الجرائم المنصوص عليها في الصكوك الدولية لمكافحة الإرهاب في قوانينها المحلية.	0
ولم يتم توفير العلاج الطبي السليم أو النظام الغذائي السليم لبعض أولئك الذين يعانون من مشاكل صحية خطيرة.	0
وفي الوقت نفسه، يرى وفدي أن الممثلين المنتخبين للأقليات العرقية في الجمعية، ولا سيما الممثلون الصرب، سيحققون نتائج أفضل وفوائد أكبر لجمهورهم إذا ما اعتمدوا موقفا أكثر تشاركية، بدلا من الانسحاب من الهيئة التشريعية عندما يواجهون وضعا صعبا.	1
