en_es_DEEP	MatConf
También se ha observado, aunque con menor frecuencia, el uso de otras armas, como espadas.	1
Es con mayor preocupación que debo informar nuevamente hoy que, a pesar de los esfuerzos considerables de la UNAMID, la situación de seguridad en Darfur no ha mejorado mucho.	0
Asesora de género con base en la Oficina de Apoyo Regional de ONUSIDA para África Oriental y Meridional que brinda asesoramiento político y técnico para incorporar las cuestiones de las mujeres y el VIH/SIDA en los programas nacionales de SIDA.	0
Un panel de expertos, establecido en virtud de la resolución 1929 (2010), actúa bajo la dirección del Comité y lo ayuda a implementar su mandato.	0
Los miembros del Consejo expresaron profunda preocupación por los informes de nuevos combates y las consecuencias humanitarias de los mismos.	0
El Consejo también destacó la urgente necesidad de que todas las partes observaran el alto el fuego y adoptaran medidas inmediatas para poner fin a la violencia, y pidió al Gobierno del Sudán que respetara sus compromisos de garantizar que las milicias Janjaweed fueran neutralizadas y desarmadas.	0
La mayoría cuenta con medidas adecuadas para la represión del reclutamiento terrorista.	0
Durante mi encuentro con las autoridades congoleñas al más alto nivel, incluido el Presidente Kabila, les planteé cuestiones relativas al debido proceso en los juicios y al uso de la pena de muerte.	0
o El 8 de noviembre de 2014, las fuerzas del régimen atacaron la ciudad de Sheikh Miskeen y mataron a cinco personas, entre ellas dos niños y dos mujeres.	1
122. Con el fin de mejorar la capacidad de los funcionarios encargados de hacer cumplir la ley en el Asia meridional para luchar contra el terrorismo y los delitos conexos y, al mismo tiempo, fortalecer la cooperación regional y el intercambio de información entre el personal encargado de hacer cumplir la ley, la Dirección Ejecutiva del Comité contra el Terrorismo ha facilitó una serie de talleres (que comenzaron en noviembre de 2009) destinados a reunir a funcionarios encargados de hacer cumplir la ley, principalmente agentes de policía y fiscales, para compartir experiencias, lecciones aprendidas y mejores prácticas en el manejo de casos relacionados con crímenes internacionales y terrorismo.	0
17. A lo largo de 2007 se registraron en el Afganistán más de 8.000 muertes en incidentes en los que participaron insurgentes (A/62/722-S/2008/159, párr. 17), frente a 6.000 muertos en todo tipo de violencia en 2006.	1
