en_es_GOOGLE	VerCoop
La información que tenemos indica que el enviado especial ya está explorando nuevos arreglos que darían cabida y apaciguarían el incumplimiento por parte de Etiopía de los términos del Acuerdo de Argel y su rechazo de la decisión de la Comisión de Límites.	0
32. En el párrafo 67 de su opinión, el Abogado General expone cinco razones por las que no debería aplicarse un examen minucioso en este contexto: a) el carácter preventivo de las sanciones a Al-Qaida; b) el contexto internacional del acto impugnado; c) la necesidad de equilibrar los requisitos de la lucha contra el terrorismo y los de la protección de los derechos fundamentales; (d) la naturaleza política de las evaluaciones realizadas por el Comité 1267; y (e) las mejoras en los procedimientos de exclusión de la lista dentro del Comité 1267 en los últimos años, particularmente desde la decisión Kadi de 2008 del Tribunal de Justicia.	0
El Consejo de Seguridad reconoce que el desarrollo y la seguridad se refuerzan mutuamente y son vitales para un enfoque eficaz e integral de la lucha contra el terrorismo.	1
Estos grupos armados participan en actividades delictivas, incluida la explotación ilícita de recursos naturales, el tráfico de armas y municiones, el contrabando y los impuestos ilegales.	0
347. Las conclusiones de la Comisión confirmaron que se siguen perpetrando violaciones y violencia sexual contra mujeres y niñas durante la huida y en las zonas de desplazamiento.	0
Según otro informe, dos mujeres fueron violadas en el campamento de desplazados de Kassab, en Darfur septentrional, en junio de 2004.	0
30. Los riesgos potenciales de llevar a los no signatarios a la mesa de negociaciones incluyen la insistencia de las partes en condiciones previas poco realistas para las negociaciones. Otro riesgo es la intransigencia de las partes frente a las negociaciones y durante las mismas. Estos riesgos pueden mitigarse estableciendo posiciones unificadas entre la comunidad internacional con respecto al proceso de paz y manteniendo un diálogo estrecho con las partes. Otro riesgo es el establecimiento de iniciativas paralelas de procesos de paz por parte de socios regionales y/o internacionales que socaven este elemento del marco.	0
Parece que se ha confiado mucho en la experiencia personal militar y policial de determinadas personas.	0
9. Solicita al Secretario General que adopte las disposiciones necesarias para apoyar la labor del mecanismo de seguimiento, como gasto de la Organización y a través de un Fondo Fiduciario de las Naciones Unidas establecido para este fin, afirma que este Fondo Fiduciario será establecido por el Secretario -General, alienta a los Estados a contribuir al Fondo y a contribuir, a través del Secretario General, con personal, equipo y servicios al mecanismo de seguimiento; y solicita además al Secretario General que mantenga informado periódicamente al Comité establecido en virtud de la resolución 1267 (1999) sobre los arreglos financieros que respaldan el mecanismo;	1
Sin embargo, me sigue preocupando que hayan continuado las restricciones a la circulación de los observadores militares de las Naciones Unidas que intentan visitar las unidades, los cuarteles generales y los puntos fuertes de las partes con fines de verificación.	0
