en_es_TRANSFORMERS	MatCoop
También prestará asistencia al Comité en su evaluación de las necesidades de asistencia técnica con el fin de estudiar formas de facilitar más eficazmente la asistencia técnica a los Estados Miembros pertinentes.	1
183. La información presentada en los informes anteriores examinados por la Comisión se basa principalmente en relatos de testigos compilados mediante entrevistas a desplazados internos y refugiados.	0
d) El Comité velará por que las medidas que adopten los Estados Miembros para luchar contra el terrorismo se ajusten a todas las obligaciones que les incumben en virtud del derecho internacional, en particular las normas internacionales de derechos humanos, el derecho de los refugiados y el derecho humanitario;	1
Las fronteras porosas siguen planteando problemas para un control eficaz de las fronteras, y se debe hacer más para elaborar enfoques regionales y mejores prácticas (por ejemplo, la policía comunitaria) a fin de hacer frente a esos problemas.	1
Sigo preocupado por el hecho de que la combinación de desconfianza entre las partes y la continua presencia de milicias pueda conducir a tensiones y a una posible inseguridad e inestabilidad en el Líbano y fuera de él.	0
En varias ocasiones he manifestado mi firme convicción de que el desarme de Hizbullah y otras milicias puede lograrse mejor mediante un proceso político dirigido por el Líbano, que logrará el objetivo final de que no haya armas ni fuerzas armadas en el Líbano que no sean las del Estado libanés.	1
Parece que se ha confiado mucho en la experiencia personal militar y policial de ciertas personas.	1
El Consejo de Seguridad está particularmente preocupado por la retirada de la condición de refugiado de muchos refugiados del [Estado vecino] y el consiguiente cese de la asistencia... Las decisiones del [Estado afectado] a este respecto pueden conducir al regreso involuntario de decenas de miles de personas a una zona que no está segura ni dispuesta a recibirlos.	0
La misión está satisfecha, con los materiales recibidos y las reuniones celebradas, de que el conflicto ha tenido graves repercusiones en los derechos humanos.	0
La comisión también observó que la República Popular Democrática de Corea había secuestrado o hecho desaparecer por la fuerza a más de 200.000 personas procedentes de China, el Japón, la República de Corea y otros países, incluso después del fin de la guerra de Corea.	0
Se ha informado de que elementos de las FDLR se han dispersado en Kivu del Sur y de que su capacidad para circular libremente en los centros de población y atacar a civiles se ha visto limitada, pero no debe subestimarse la capacidad de las FDLR para llevar a cabo ataques, en particular habida cuenta de los limitados recursos, la escasa capacitación militar y la falta de disciplina de las unidades de las FARDC en la zona, así como la colaboración ocasional con los comandantes de las FDLR.	0
Es igualmente importante que el compromiso de una misión con las Naciones Unidas y otros agentes humanitarios no socave la independencia y neutralidad de esos agentes y la percepción de que lo hacen.	1
Además de los dos civiles heridos cerca de la terminal de Taci Tolu durante la tarde del 28 de abril, otros dos sufrieron heridas de bala durante la noche.	0
El Consejo de Seguridad reconoce la importante función de buenos oficios del Secretario General y alienta al Secretario General a que siga utilizando la mediación con la mayor frecuencia posible para ayudar a resolver los conflictos por medios pacíficos, trabajando en coordinación y en estrecha colaboración con las organizaciones regionales y subregionales pertinentes a ese respecto, según proceda.	0
"Los medios adecuados y flexibles de apoyo a la paz de transición y actividades de gestión de crisis, como la protección de los civiles, incluido el personal de las Naciones Unidas y el personal humanitario, el desarme, la desmovilización y la reintegración de los excombatientes, el fin de la impunidad, la creación de instituciones públicas y la justicia de transición, así como la promoción y protección de los derechos humanos y la integración de una perspectiva de género, son esenciales para garantizar una paz duradera después de un conflicto.	1
Todos los Estados de la subregión tienen economías basadas en el efectivo, lo que aumenta el riesgo de que la financiación del terrorismo se produzca mediante el transporte físico transfronterizo de divisas y otros instrumentos al portador, y las transferencias informales de dinero y valor mediante sistemas alternativos de envío de remesas.	0
La tercera y última mesa redonda se basó en la premisa de que, si bien la responsabilidad penal individual lleva a los acusados de violaciones ante la justicia y puede tener un efecto disuasorio, en la gran mayoría de los casos no proporciona reparación a las víctimas de violaciones.	0
Esos instrumentos, junto con la política de descentralización, aclaran las funciones y responsabilidades de los consejos locales, los funcionarios de distrito, los parlamentarios y las autoridades tradicionales en las esferas de la adopción de decisiones con respecto al desarrollo; las elecciones y el mantenimiento del orden público; y la recaudación y asignación de ingresos locales.	1
El documento, que fue redactado por el Grupo de Trabajo sobre el Retorno con la aportación del ACNUR, se presentó a los principales Estados de asilo y en él se pedía una moratoria de la repatriación forzada e inducida durante los meses de invierno.	1
En muchos casos, las milicias que atacan aldeas "africanas" tienden a utilizar epítetos despectivos, como "esclavos", "negros", nuba o zurga, lo que podría implicar una percepción de las víctimas como miembros de un grupo distinto.	0
5. Además, se afirma respetuosamente que existen otros métodos más rápidos y sencillos que garantizarán que las víctimas de actos delictivos en Rwanda reciban una indemnización justa.	1
172. El SLM/A y el JEM, al igual que todos los insurgentes que han alcanzado un cierto umbral de organización, estabilidad y control efectivo del territorio, poseen personalidad jurídica internacional y, por consiguiente, están obligados por las normas pertinentes del derecho internacional consuetudinario sobre los conflictos armados internos a que se hace referencia anteriormente, lo mismo es probablemente aplicable también al NMRD.	0
Esa noche un oficial de la PNTL oriental hizo un anuncio por radio culpando al Comandante General Martins y al Comandante Adjunto Babo por la muerte del oficial de la UIR.	0
86. Los Estados de la subregión deberían: a) revisar su legislación penal a fin de asegurar que el reclutamiento para cometer actos terroristas y grupos terroristas esté suficientemente tipificado como delito;	1
El detenido puede apelar de esta decisión ante un juez, pero no hay garantías de acceso inmediato a un abogado.	1
39. Con ese fin, los Jefes de Estado y de Gobierno convienen en la necesidad de revisar los textos jurídicos en vigor, en particular el Protocolo relativo al Mecanismo de Prevención, Gestión, Solución, Mantenimiento de la Paz y Seguridad y el Protocolo Suplementario sobre Democracia y Buen Gobierno, a fin de reflejar las mejores prácticas respecto de los mandatos presidenciales.	0
505. ¿Es el genocidio más grave que otros crímenes internacionales? Se ha sostenido ampliamente que el genocidio es el crimen internacional más grave.	0
b) Mejorar los marcos legislativos y reglamentarios para luchar contra la financiación del terrorismo, en particular tipificando como delito la financiación del terrorismo, adoptando las medidas necesarias para congelar fondos sin demora y realizando evaluaciones de los riesgos del sector sin fines de lucro;	1
Durante la guerra fría, los Secretarios Generales de las Naciones Unidas señalaron a la atención de los miembros del Consejo de Seguridad cuestiones concretas relacionadas con la delincuencia transfronteriza que complicaban las situaciones de conflicto.	0
Durante su última visita a Damasco del 10 al 15 de diciembre de 2014, el Equipo de Evaluación de la Declaración continuó las entrevistas con las principales personas del programa sirio de armas químicas, celebró reuniones técnicas con la Autoridad Nacional de la República Árabe Siria y visitó dos emplazamientos.	1
Reiterando su enérgica condena de los ataques contra la UNAMID y su llamamiento al Gobierno del Sudán para que investigue rápidamente esos ataques y lleve a sus autores ante la justicia, y reiterando además su llamamiento a todas las partes en Darfur para que cooperen plenamente con la misión, y reafirma sus profundas condolencias a los gobiernos y a las familias de los muertos,	0
El Consejo de Seguridad acoge con beneplácito los considerables progresos realizados por Timor-Leste en el fortalecimiento de la capacidad institucional y de recursos humanos de las instituciones del Estado, incluidos los sectores de la seguridad, la justicia y la gobernanza, que desempeñan un papel crucial en la salvaguardia de la estabilidad y la promoción de la democracia.	0
También se necesitará asistencia bilateral de los donantes para dar una respuesta significativa a las amenazas a la seguridad que plantean las corrientes de drogas y armas.	0
Si bien el Consejo de Seguridad ha confirmado que las sanciones financieras también se aplican a la prestación de servicios de hospedaje en Internet y servicios conexos, los terroristas y los grupos terroristas pueden hacer un amplio uso de los servicios de Internet.	0
El sector sin fines de lucro es sin duda el más vulnerable a la financiación del terrorismo y el más difícil de regular y vigilar.	0
Muchos de los informes se refieren al secuestro de mujeres.	0
Amenazas a la paz y la seguridad internacionales causadas por actos terroristas	0
:: Coordinación sistemática, entre los componentes civil y militar de la misión y entre la misión y los agentes humanitarios, a fin de consolidar los conocimientos especializados sobre la protección de los civiles.	1
La Ley No 535/2004 sobre la prevención y la lucha contra el terrorismo fue promulgada por el Presidente de Rumania mediante el Decreto No 994/2004, de 24 de noviembre de 2004, y entró en vigor tres días después.	1
213. Abdel-Al también tiene conexiones notables con un importante almacén de armas descubierto en el sur de Beirut en julio de 2005, que fue allanado por las Fuerzas de Seguridad Interna el 26 de julio de 2005 y cinco personas con estrechos vínculos con la ex milicia Mourabitoun fueron detenidas.	0
La reforma del sector de la seguridad sigue siendo uno de los principales desafíos para la paz y la estabilidad a largo plazo.	0
Mientras tanto, se han logrado progresos considerables en la capacitación de la Policía Nacional Congoleña, que se encargará de garantizar la seguridad de las elecciones.	1
De conformidad con esta política, tan pronto como se enteró de la indeseable presencia de los rebeldes ugandeses del Ejército de Resistencia del Señor (LRA), mi Gobierno no dudó en absoluto en darles un ultimátum para abandonar el territorio nacional inmediatamente.	0
Cuatro Estados cuentan con políticas y medidas para combatir el tráfico de armas y explosivos, dos tienen algunas medidas y uno no tiene capacidad en esa esfera.	1
Convencida de que es inaceptable, en principio, que en cualquier lugar se pueda eludir la responsabilidad por un acto de terrorismo por cualquier motivo, incluso por su propia obstrucción de la investigación o por no cooperar de buena fe,	0
El Comité fue establecido en virtud de la resolución 1518 (2003) del Consejo de Seguridad, de 24 de noviembre de 2003, para seguir determinando, de conformidad con los párrafos 19 y 23 de la resolución 1483 (2003), las personas y entidades cuyos fondos, otros activos financieros y recursos económicos deberían congelarse y transferirse al Fondo de Desarrollo para el Iraq.	1
La mejor manera de lograrlo es concienciando sobre las oportunidades que ofrecen los nuevos métodos de pago para mover el dinero sin ser detectado y más allá de los controles gubernamentales.	0
También exhortaron a las Forces nouvelles a que comenzaran lo antes posible, antes del 15 de octubre, sin condiciones previas, el proceso de desmovilización, desarme y reintegración, que acordaron en Accra, y subrayaron que todos los grupos paramilitares y de milicias también debían ser desarmados.	0
Para las instituciones bancarias, esta obligación también se establece en el Reglamento No 1 del Banco Nacional Checo, de 8 de septiembre de 2003.	1
Los Estados deberían adoptar un enfoque amplio para denegar refugio, ya que se necesitan varias medidas interrelacionadas para garantizar la eficacia, entre ellas medidas legislativas, de aplicación de la ley, de control fronterizo, de refugiados y de asilo.	1
Entregué una lista de los tres comandantes militares de alto rango de la CCD-Goma acusados, señalando que dos de ellos habían sido ascendidos.	1
Para orientar los nuevos compromisos contraídos por los donantes este año, la UNMIK preparó Kosovo: Reconstrucción 2000: un programa público de reconstrucción e inversión que orientaba a los donantes hacia las prioridades de la Estructura Administrativa Mixta.	1
Lashkar-e-Tayyiba (QE.L.118.05) sigue proporcionando entrenamiento terrorista avanzado, incluso sobre artefactos explosivos improvisados. Al-Qaida en la Península Arábiga (AQAP) (QE.A.129.10) sigue siendo una importante fuente de innovación tecnológica.	0
a) Garantice la protección de los civiles, incluido el personal humanitario, que se encuentren en peligro inminente de sufrir violencia física;	1
En consultas privadas, el Enviado Especial informó al Consejo sobre sus prioridades, consultas preliminares e ideas sobre el camino a seguir y dijo que el comunicado de Ginebra de 30 de junio de 2014 seguía siendo válido y que había establecido los parámetros generales para una futura solución negociada.	0
Formuló preguntas clave para orientar el debate sobre el papel del Consejo en la rendición de cuentas, entre ellas las siguientes: ¿qué lecciones se pueden extraer y qué buenas prácticas se han determinado de los esfuerzos del Consejo por garantizar la responsabilidad penal? ¿Cuáles son los desafíos que enfrentan los diversos mecanismos de determinación de los hechos? ¿Cómo se puede dar mayor importancia a las reparaciones en el logro de la rendición de cuentas? ¿Qué medidas adicionales podría adoptar el Consejo para garantizar la rendición de cuentas por las violaciones en los conflictos armados?	0
A través de un enfoque amplio y "total de la sociedad", los esfuerzos encaminados a combatir el extremismo violento son fundamentales para detener el reclutamiento y atender las necesidades de los combatientes terroristas extranjeros que regresan (para garantizar que no se radicalicen ante la violencia en su país de origen o en terceros países).	1
El pueblo israelí, que había esperado que la retirada de Israel del Líbano -- que fue certificada por este Consejo hace seis años -- traería seguridad a lo largo de su frontera septentrional, se encontraría bajo ataques constantes con cohetes Hezbolá, que cada día llegan más allá del territorio israelí.	0
577. Los tribunales mixtos establecidos en otros conflictos han seguido dos modelos similares pero distintos.	1
