en_es_TRANSFORMERS	MatConf
Reafirmando sus resoluciones 1265 (1999) y 1296 (2000), relativas a la protección de los civiles en los conflictos armados, sus diversas resoluciones sobre los niños y los conflictos armados y sobre la mujer, la paz y la seguridad, así como su resolución 1631 (2005), relativa a la cooperación entre las Naciones Unidas y las organizaciones regionales en el mantenimiento de la paz y la seguridad internacionales, y reafirmando además su determinación de asegurar el respeto de esas resoluciones y su seguimiento,	0
El Consejo condena todos los ataques perpetrados por grupos armados locales y extranjeros que amenazan a la población, así como la paz y la estabilidad de la República Centroafricana y la subregión, incluidos los ataques perpetrados el 19 de julio y el 24 de noviembre por la Convención de Patriotas por la Justicia y la Paz contra Birao.	0
13. Las denuncias de secuestros de niños durante los recientes ataques contra la población civil demuestran el horrible precio que pagan los niños de Darfur en esta guerra civil.	1
También hace hincapié en la prohibición y el bloqueo de los sitios de Internet que contienen materiales extremistas y en la regulación de los problemas en esta esfera.	1
Así pues, los Estados del Asia central se enfrentan a una grave amenaza terrorista transnacional que requiere respuestas concertadas regionales y coordinadas.	1
De hecho, un oficial de la Policía de las Naciones Unidas informó de la presencia de ametralladoras en el techo del antiguo edificio de la Fuerza de las Naciones Unidas para el Mantenimiento de la Paz (FCP) durante la tarde del 24 de mayo.	1
Aunque en la mayoría de los incidentes las fuerzas del Gobierno tal vez no hayan participado directamente en la destrucción, su complicidad en los ataques durante los cuales se llevó a cabo la destrucción y su presencia en el lugar son suficientes para que sean responsables conjuntamente.	1
Además, los escuadrones de la muerte y las milicias integradas por elementos autónomos están sembrando el terror y llevando a cabo ejecuciones y secuestros.	1
La Comisión observa que durante el conflicto de Darfur ha surgido claramente una pauta de saqueo y violación por parte de los Janjaweed, hecho que no podría haber sido ignorado por los identificados por la Comisión.	1
El concepto de generar inventarios de referencia mediante la organización de un estudio sobre las armas pequeñas en la etapa inicial de la elaboración de proyectos está empezando a estar bien establecido y ha demostrado su eficacia en la elaboración y evaluación de proyectos.	0
169. La explosión que mató al Sr. Hariri y a otras 22 personas tuvo lugar sobre el terreno.	1
Además, las fuerzas de seguridad sirias han seguido llevando a cabo operaciones a lo largo de la frontera sirio-libanesa, parte de las cuales han sido minadas en los últimos meses.	1
El primero era una camioneta blanca con tres hombres en uniforme armados con armas M16; el segundo era una camioneta roja con entre 15 y 20 hombres armados, algunos con uniformes y otros vestidos de civil.	1
El Embajador señaló que el Consejo también tenía un importante papel que desempeñar en la promoción de la rendición de cuentas por esos crímenes y otras violaciones del derecho internacional humanitario y las normas de derechos humanos.	1
