id	ar	en	es	Relevant
2014/s/2014/295/41:1	٣١31 - حمص القديمة - تشير التقديرات إلى أن 000 1 شخص ما زالوا موجودين في حمص القديمة.	It is estimated that 1,000 people remain in the Old City of Homs.	Se estima que en la ciudad vieja de Homs permanecen 1.000 personas.	0
2007/s/2007/68/83:1	49 - يوجد عشرات التجار، حتى في أصغر بلدات التعدين الواقعة خارج المدن الرئيسية، ووفقا لمركز التقييم والخبرة والتوثيق، فإن في مدينة مبوجي مايي، يوجد مئات منهم.	49. There are scores of négociants even in small mining towns outside the main cities, and according to the Centre d'évaluation, d'expertise et de certification (CEEC), in Mbuji-Mayi there are hundreds of them.	En los pequeños pueblos mineros situados fuera de las principales ciudades operan veintenas de negociantes y, según el Centre d'Expertise, Evaluation et Certification (CEEC), en Mbuji Mayi se cuentan por centenares.	0
2005/s/ac_44/2004/_02_/61/add_1/42:2	وفي هذا المجال، نود أن نشير أيضا إلى قانون تنفيذ القواعد الجمركية الأوروبية التي تسري هنا.	In this area we would also mention European Customs Rules Implementation Act from 2004, which is applicable here.	Hay que mencionar también la Ley de aplicación de las normas europeas de fronteras de 2004, que es aplicable en este ámbito.	0
2012/s/2012/135/49:1	(1) تمتنع كل دولة عن التدخل في الحكم الداخلي للدولة الأخرى، بما في ذلك الوظائف التشريعية والتنفيذية	1) Each State shall refrain from interfering in the internal governance of the other State including in legislative, executive functions	1) Cada Estado se abstendrá de injerirse en la gobernanza interna del otro Estado, incluso en sus funciones legislativas y ejecutivas.	0
2002/s/2002/471/9:1	3 - يقرر أن يبقي المسألة قيد نظره.	3. Decides to remain seized of the matter.	3. Decide seguir ocupándose de la cuestión.	0
1999/s/1999/1162/75:2	ومن حيث المعدات الطبية، كشفت مﻻحظات وحدة المراقبة الجغرافية عن أوجه نقص مزمنة في حضّانات اﻷطفال وأجهزة الغسيل الكلوي والمعدات فوق الصوتية ومعدات أشعة إكس وأجهزة رسم القلب الكهربائية ومعدات المختبرات العامة وراصدات المرضى.	In terms of medical equipment, observations of the Unit revealed persisting shortages of infant incubators, dialysis machines, ultrasonic and X-ray equipment, electrocardiograph machines, general laboratory equipment and patient monitors.	En lo que respecta al equipo médico, las actividades de observación de la Dependencia revelaron que seguían faltando incubadoras para recién nacidos, máquinas de diálisis, equipo ultrasónico y de rayos X, máquinas electrocardiográficas, equipo general de laboratorio y monitores para la supervisión de pacientes.	0
2008/s/2008/662/36:1	23 - في الفترة من 15 إلى 17 آب/أغسطس، عقد مؤتمر البجا، العنصر الغالب في الجبهة الشرقية السابقة، ثاني مؤتمر عام يعقده على الإطلاق، وأعاد انتخاب موسى محمد أحمد رئيسا.	23. From 15 to 17 August the Beja Congress, the dominant component of the erstwhile Eastern Front, held its second ever General Conference, and re-elected Musa Mohamed Ahmed as Chairperson.	Del 15 al 17 de agosto, el Congreso Beja, el componente dominante del antiguo Frente Oriental, celebró su segunda conferencia general en la que reeligió como Presidente a Musa Mohamed Ahmed.	0
2001/s/2001/719/207:1	√ بلغ إنتاج الأرز والذرة 70 في المائة (000 120 طن متري) من معدلات سنة 1997	Rice and maize production at 70% (120,000 MT) of 1997 levels	Producción de arroz y maíz al 70% (120.000 TM) de los niveles de 1997	0
2002/s/2002/205/111:1	اجتماع مع فريق الأمم المتحدة القطري والمنظمات غير الحكومية واللجنة الاقتصادية لأفريقيا ورئيس مكتب الأمم المتحدة (أديس أبابا)	16.00 Meeting with United Nations country teams, ECA non-governmental organizations (NGOs), ECA and Head of the United Nations Office (Addis Ababa)	Reunión con los equipos de las Naciones Unidas en los países, las organizaciones no gubernamentales, la CEPA y el Jefe de la Oficina de las Naciones Unidas en Addis Abeba	0
2000/s/ac_26/2000/20/843:2	وتبدأ مرحلة الصيانة عادة عندما يستلم صاحب العمل المشروع لأول مرة ويبدأ تشغيله أو استخدامه.	The maintenance period usually begins when the employer first takes over the project, and commences to operate or use it.	El período de mantenimiento empieza normalmente cuando el contratante recepciona la obra y comienza a explotarla o utilizarla.	0
2007/s/2007/139/169:1	وفي كانون الأول/ديسمبر 2005، أودعت فانواتو صك انضمامها إلى اتفاقية الأمم المتحدة لمكافحة الجريمة المنظمة العابرة للحدود الوطنية (اتفاقية باليرمو).	In December 2005, Vanuatu deposited its Instrument of Accession to the United Nations Convention Against Transnational Organized Crime (Palermo Convention).	En diciembre de 2005 el Gobierno depositó el instrumento de adhesión a la Convención de las Naciones Unidas contra la Delincuencia Organizada Transnacional (Convención de Palermo).	0
2005/s/2005/61/128:1	والجمهورية التشيكية طرف في معظم الاتفاقيات المشار إليها في مرفق تلك الاتفاقية، باستثناء الصكين 7 و 8.	The Czech Republic is a party to most of the conventions referred to in the annex to this Convention, except for instruments 7 and 8.	La República Checa es parte en la mayoría de las convenciones y los convenios indicados en el anexo a este Convenio, excepto en los instrumentos 7 y 8.	0
2002/s/ac_26/2002/13/419:1	(ط) المبلغ المحرز من بيع معدات ومواد متنوعة	Amount realized from the sale of miscellaneous equipment and materials	i) Cantidades obtenidas de la venta de equipo y materiales diversos	0
1999/s/ac_26/1999/23/709:2	وقد تُرك المشروع دون أن يُنجز.	The project was left substantially unperformed.	Las obras se dejaron prácticamente sin ejecutar.	0
2004/s/ac_44/2004/_02_/13/155:2	كما يشمل تفتيشها التحقق من أن البضائع مغلفة ومعلمة وموسومة وفقا لأحكام مجموعة القوانين البحرية الدولية بشأن البضائع الخطرة.	Its checks include verification of whether the goods are packed, marked and labelled in accordance with the provisions of the International Maritime Dangerous Goods Code.	Este control incluye la verificación de las condiciones de envasado, marcado, y etiquetado de los bultos, acorde a las disposiciones del Código Marítimo Internacional de Mercancías Peligrosas.	0
2001/s/2001/229/8:1	3 - ولم تستلم إريتريا أي "خريطة عمليات أكبر قياسا من حيث الرسم".	3. Eritrea did not receive any "larger scale operational map".	3. Eritrea no recibió ningún "mapa operacional a mayor escala".	0
2012/s/2012/126/14:3	وثمة أدلة موثَّقة تؤكد ذلك.	This is corroborated by documented evidence.	Existen pruebas documentadas que así lo corroboran.	0
2004/s/ac_37/2004/_1455_/10/16:2	وعليه، فليس هناك أسماء يتعين تقديمها.	Accordingly, there are no names to submit.	En consecuencia, no hay ningún nombre que presentar.	0
2012/s/2012/604/81:3	وأدى ذلك إلى انخفاض الإيرادات عن النفقات بمبلغ 43.11 مليون دولار، مقابل زيادة الإيرادات عن النفقات بمبلغ 22.54 مليون دولار في فترة السنتين السابقة.	This resulted in a shortfall of income over expenditure of $43.11 million, compared with an excess of $22.54 million in the preceding biennium.	En consecuencia, los ingresos fueron menores que los gastos en 43,11 millones de dólares, si bien en el bienio anterior habían sido superiores a los gastos en 22,54 millones de dólares.	0
2009/s/2009/587/48:1	9 - توجد حاليا ست قضايا في مرحلة صياغة الأحكام.	9. Six cases are currently in judgement drafting phase.	Actualmente hay seis causas en la fase de redacción de la sentencia.	0
2012/s/2012/50/167:2	وتفسر الحكومة هذا الاتفاق على أنه يقتصر على مناطقها الاقتصادية الخالصة.	The Government interprets this as being limited to their exclusive economic zones.	El Gobierno entiende que ese acuerdo se limita a sus respectivas zonas económicas exclusivas.	0
2006/s/res/1686_2006_/15:1	5 - يقرر إبقاء المسألة قيد نظره.	5. Decides to remain seized of the matter.	5. Decide seguir ocupándose de la cuestión.	0
2011/s/2011/10/add_30/7:1	3 - الحالة في قبرص (27 كانون الأول/ديسمبر 1963؛ 13 حزيران/ يونيه 2011).	3. The situation in Cyprus (27 December 1963; 13 June 2011).	3. La situación en Chipre (27 de diciembre de 1963; 13 de junio de 2011).	0
2004/s/ac_37/2004/_1455_/21/65:2	ويُرجى الرجوع إلى ما ورد إيضاحه أعلاه.	Please, refer to the what explained above.	Véase lo que se ha explicado anteriormente.	0
