id	es	Relevant
2013/s/2013/792/18:1	On the basis of the comprehensive review of all listed individuals and entities in 2010, pursuant to paragraph 25 of resolution 1822 (2008), the Committee has instituted numerous mechanisms to ensure that the List reflects the danger posed by Al-Qaida and to periodically review each of the entries in order to determine whether it should be maintained.	1
2008/s/2008/258/81:3	The lack of sufficient capacity is a major challenge for many States in the effective monitoring and implementation of arms embargoes.	0
2011/s/2011/463/168:5	Three States have adopted procedures to prohibit the extradition of persons to States where they run the risk of being subjected to torture or persecution.	1
2005/s/2005/636/676:1	Effective coordination and implementation of mine action policy and guidelines for gender mainstreaming in mine action programmes. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (chaired by DPKO and UNDP) Established by CEPS to enhance the Organization's performance in the area of disarmament, demobilization and reintegration, the Inter-Agency Working Group provides technical advice, for example, on training needs, policies and strategies; maintains and revises the already developed United Nations disarmament, demobilization and reintegration guidance material; develops and manages the United Nations Resource Centre on Disarmament, Demobilization and Reintegration; and facilitates the planning of disarmament, demobilization and reintegration operations among relevant United Nations agencies.	1
2014/s/2014/935/80:2	He also stated that the failure of the Lebanese Parliament to elect a new President had undermined Lebanon's stability and resilience since the beginning of the conflict in the Syrian Arab Republic.	1
2014/s/2014/731/14:3	Women and children, especially girls, have been affected by new situations of violence and conflict related to the proliferation of militias and armed groups, in some cases linked to violent extremism, while many protracted conflicts remain unresolved.	1
2007/s/2007/677/102:2	Very few names were selected for review, and finally, after all the procedures set out in the Committee's guidelines, including efforts to obtain information from other relevant States, the review ended without any changes to the List.	0
2014/s/2014/957/82:1	Support for the restoration and extension of a minimum level of State authority to areas free of armed groups requires a greater commitment by the Government to allocate State officials, especially police officers and judicial and prison personnel, to those areas, providing them with the necessary resources.	1
2012/s/prst/2012/24/10:1	""" The Security Council urges States, international organizations and the private sector to share evidence, information and intelligence, as appropriate, for the purpose of counter-piracy policing, including the effective prosecution of suspected pirates and the imprisonment of convicted persons, and encourages existing and future initiatives in this regard."	1
2005/s/2005/60/462:2	In another case, the Tribunal again reviewed the various elements of an attack directed against the civilian population as part of the definition of crimes against humanity.	1
2000/s/2000/1196/59:5	In response, the UNMIK Department of Justice established a joint working group with the institution-building component to review the report and explore ways to implement its recommendations.	1
2009/s/res/1904_2009_/74:1	43. Reiterates the need to strengthen the ongoing cooperation of the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, where appropriate, through increased exchange of information, the coordination of country visits as part of their respective mandates, the facilitation and monitoring of technical assistance, relations with international and regional organizations and agencies, and other issues of importance to the three committees, expresses its intention to provide guidance to the committees on matters of common interest in order to better coordinate their activities and facilitate such cooperation, and requests the Secretary-General to make the necessary arrangements for the groups to share facilities as soon as possible;	1
2014/s/2014/369/37:1	(a) Continue to strengthen its cooperation with international, regional and subregional organizations and establish modalities of operation with each of them that take into account differences in their capacities and mandates, including working-level dialogues, briefings to and from the Committee, and improved information-sharing arrangements;	1
1999/s/prst/1999/6/19:1	""" The Security Council strongly condemns the deliberate targeting of civilians by combatants in armed conflict and demands that all concerned cease such violations of international humanitarian and human rights law."	1
2011/s/2011/463/395:4	States should also prevent those who finance, plan, facilitate or commit terrorist acts from using their territory for that purpose against other States or their citizens (para. 2 (d)).	1
2014/s/res/2160__2014_/35:1	(d) Other support for acts or activities of designated individuals, groups, undertakings or entities or other individuals, groups, undertakings or entities associated with the Taliban that constitute a threat to the peace, stability and security of Afghanistan;	1
2001/s/res/1363_2001_/14:1	(a) A Monitoring Group in New York of up to five experts, including a chair, to monitor the implementation of all measures imposed by resolutions 1267 (1999) and 1333 (2000), including on arms embargoes, counter-terrorism measures and related legislation and, in view of their links with arms purchases and the financing of terrorism, money-laundering, financial transactions and drug trafficking; and	1
2005/s/2005/572/96:1	Among the most recent additions to the list are terrorists associated with Al-Qaida and terrorist groups operating in Central, South and South-East Asia and the Middle East, including Iraq.	0
2014/s/2014/902/70:4	The regime arrested some 47 people; they are believed to have been forced to join the regime forces.	1
2003/s/2003/90/107:3	In addition, there are death squads and militias made up of self-governing elements that sow terror and carry out executions and kidnappings of persons.	1
2010/s/prst/2010/25/782:1	(c) Further calls upon all parties listed in the annexes to the report of the Secretary-General on children and armed conflict to address all other violations and abuses committed against children and to take concrete action and commitments in this regard;	1
2000/s/2000/1190/73:1	At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), which, inter alia, authorized the extension of the mandate of UNMOP to continue monitoring the demilitarization of the peninsula until 15 January 2001.	1
2011/s/2011/245/55:3	What the Security Council must do now is to assure the courts that the sanctions regime established pursuant to Security Council resolution 1267 (1999) (the 1267 sanctions regime) is equitable and, with increased support from Member States, to reaffirm its original intention to rid the world of the threat of terrorism by Al-Qaida, the Taliban and the individuals and entities affiliated with them.	1
2006/s/2006/154/104:3	Indeed, apart from Bin Laden, Zarqawi, Mullah Mohammed Omar and other well-known terrorists, the public may have relatively little information about many of the listed individuals.	0
2005/s/2005/60/183:3	Another problem was the fact that the Government apparently did not have sufficient military resources, as many of its forces were still stationed in the south, and those present in Darfur were mainly located in the main urban centres.	1
2014/s/2014/740/53:1	Following the publication of the Publicly Available Specification (PAS) 28007 of the International Organization for Standardization (ISO) on Guidelines for Private Maritime Security Companies, which provides for the use of private armed protection personnel on board ships, a private maritime security company can now obtain certification under this voluntary industry standard to facilitate uniform application at the international level.	0
2006/s/2006/822/44:1	8 May 2006 There are incidents of violence in Gleno, in which East PNTL officers are attacked.	1
2014/s/2014/943/6:2	The team engaged in bilateral discussions with the Government and the Coordinator of the National Movement for the Liberation of Azawad (MNLA), the High Council for the Unity of Azawad (HCUA) and the Arab Movement of Azawad (MAA), who are joined by the Coordinator of the Movements and Patriotic Fronts of Resistance (CMFPR-II) and a faction of the Azawad People's Coalition (CPA), on the one hand, and with the Government and the Platform of armed groups, composed of CMFPR-I, CPA and the other faction of the MAA, as well as with members of the Tuareg Imghad and Allied Self-Defence Group (GATIA) invited by the Platform, on the other.	1
2014/s/res/2160__2014_/79:1	(c) Persons on the List reported to have died, together with an assessment of the relevant information contained in paragraph 28 (c) and, to the extent possible, the status and location of frozen assets and the names of persons or entities that might receive the unfrozen property;	0
2009/s/2009/170/31:1	(h) The development of methodologies to enhance the effectiveness of cooperation with individual States, subregional, regional and international organizations, multilateral export control regimes and relevant entities of the United Nations system, and the assessment of the level of cooperation among the Committees established pursuant to resolutions 1540 (2004), 1267 (1999) and 1373 (2001), and to assess, in particular the level of exchange of information and coordination with respect to country visits, with specific recommendations, where appropriate, with a view to enhancing cooperation.	1
2010/s/2010/52/43:1	States and many international actors welcomed the open nature of the comprehensive review process and urged the 1540 Committee to maintain that approach and increase its already useful efforts to achieve transparency and inclusiveness.	1
2005/s/2005/60/681:6	The group attacked and killed 54 people, injured 24 others and burned houses before withdrawing with cattle loot and household items.	1
2000/s/2000/1190/94:1	We have also scheduled two thematic debates on the prevention of conflict and children in armed conflict for 20 and 26 July, respectively.	1
2005/s/2005/699/316:1	FACI has moved all air equipment that was intact or damaged to its air base at Abidjan International Airport.	1
2014/s/2014/943/36:2	In Lerneb (Timbuktu region), MMA (Plataforma) warned at several public meetings held in September that it would punish members of the local population to provide information to MINUSMA and the French forces. On 23 September, the body of a beheaded man was found in the Zouera area, 80 km north of Timbuktu. He was one of the five men Al-Qaida had abducted in the Islamic Maghreb on 16 September for collaborating with international forces and who have since disappeared.	1
2005/s/2005/686/29:1	After completing the processing of the claims in June 2005, the main remaining task for the Commission is the payment of awards in respect of approved claims.	0
2005/s/2005/60/254:1	The Janjaweed, to whom most of the victims in the current conflict refer, are Arab militias that raid the victims' villages, mounted on horses or camels, to kill, plunder, burn and rape.	1
2008/s/2008/379/226:7	In addition, the European Union has established a supranational regime to ensure that all its member States freeze funds and assets associated with terrorism.	1
2014/s/res/2178__2014_/55:1	23. Requests the Analytical Support and Sanctions Monitoring Team, in close cooperation with other United Nations counter-terrorism bodies, to submit a report to the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) within 180 days, and to provide oral updates to the Committee within 60 days on the threat posed by foreign terrorist fighters joining and/or recruiting with ISIL, the Nusra Front and all groups, undertakings and entities associated with Al-Qaida, and in particular:	1
2010/s/2010/462/10:4	Subsequently, in 2006, the General Assembly unanimously adopted the Global Counter-Terrorism Strategy, which was of great importance in reaffirming the collective commitment of the international community to combating the common threat of terrorism.	1
2014/s/2014/902/124:1	Water stations :: On 23 November 2014, ISIL detonated a car bomb near a sewage plant in Midan village, Hasaka, which suffered significant damage.	1
2010/s/2010/528/133:1	Despite recent progress, logistical, political and security constraints will severely hamper the planned demobilization and reintegration of 180,000 ex-combatants by the end of the Comprehensive Peace Agreement period.	1
2010/s/2010/522/57:4	The Government and the United Nations country team, with input from the World Bank, prepared a booklet on the Millennium Development Goals, which sets out the current situation in Timor-Leste and explains the policy implications of achieving the targets and indicators.	1
2012/s/2012/373/449:2	However, there were police officers, who could come as far as Addis Ababa, not to say Rome or The Hague, who had heard of the International Criminal Court and were concerned about its criminal responsibility to it.	0
2012/s/res/2082__2012_/71:1	(c) A list of listed individuals reported to have died and entities reported or confirmed to have ceased to exist, together with the documentation requirements described in paragraph 23 (c);	0
2005/s/2005/603/95:2	However, in many areas of the country there is no capacity for detention or functioning courts, forcing law enforcement authorities to release suspected dangerous criminals, or to request MONUC forces to detain suspects for security reasons and to protect civilians.	1
2005/s/2005/60/640:5	They killed six men, who were buried in individual graves.	1
2000/s/2000/1196/105:2	The Department is responsible for the management and administration of the Kosovo Protection Corps and the planning, coordination and implementation of emergency response to natural and other disasters.	1
2005/s/2005/60/457:3	Such precautions, established under customary international law, are as follows: (a) any belligerent party shall do all it can to ensure that the intended targets are not of a civilian nature; (b) take all possible precautions in the choice of means and methods of combat to prevent or at least reduce as much as possible the number of injuries that may incidentally be caused by the civilian population, as well as damage to civilian objects; (c) refrain from deciding on an attack when it is expected to cause incidental death or injury to the civilian population, damage to civilian objects, or both, which would be excessive in relation to the specific and direct military advantage envisaged; (d) give adequate advance notice and effective means of any attack that may affect the civilian population, except in the case of a live attack (as provided for in article 26 of the Hague Regulations of 1907) or, as provided for in article 57, paragraph 2 (c), unless circumstances prevent it, i.e. where one of the belligerent parties considers that a surprise attack is indispensable.	1
2011/s/2011/463/181:2	They have enacted anti-terrorism laws and made efforts to further strengthen regional coordination and cooperation, particularly in the maritime context.	1
2005/s/2005/634/17:2	The main security concerns relate to criminal activities and factional fighting.	1
2014/s/prst/2014/3/798:1	Stresses that all those responsible for human rights abuses and violations shall be held accountable, and stresses the need for a thorough, independent and impartial investigation, consistent with international standards, of alleged human rights abuses and violations, in order to avoid impunity and ensure full accountability;	1
2006/s/2006/154/290:2	These sites range from those promoting the cause of certain individuals, such as Shamil Basayev in Chechnya, or groups, such as Lashkar-E-Tayyiba in Pakistan, to those seeking to justify Al-Qaida-related terrorism in general, such as Voice of Jihad, or those providing training to terrorists, such as Al-Battar.	1
2014/s/2014/740/81:1	I call once again for all innocent seafarers held hostage in Somalia to be immediately and unconditionally released so that they can reunite with their families.	1
2006/s/2006/154/137:1	Another concern about humanitarian exceptions is that, since individuals and private entities cannot address the Committee directly, it is the State of residence of the listed party that determines whether or not the Committee receives a request under resolution 1452 (2002).	0
2003/s/2003/90/60:2	Government leaders and their supporters, for their part, accused MPCI and other ârebel movementsâ of employing foreign forces and committing atrocities, in particular, the killing of dozens of Gendarmerie agents in BouakÃ©.	1
2006/s/2006/822/15:3	The Commission has been able to establish a detailed and precise account of the events of April and May which resulted in a considerable number of deaths and injuries and extensive material damage.	1
2005/s/2005/662/498:1	After careful examination of the file, the Commission may highlight the following facts:	0
2010/s/2010/529/38:2	National security forces officers were trained (50 in AdrÃ© and 42 in AbÃ©chÃ©).	1
2009/s/2009/671/1:1	Letter dated 22 December 2009 from the President of the Security Council established pursuant to resolution 1518 (2003)	0
2014/s/2014/9/105:3	While the Initiative was designed in response to the increase in drug trafficking and transnational organized crime in West Africa, transnational crime units will function as national and regional focal points to support analytical and technical capacity to respond to transnational threats.	1
2014/s/prst/2014/3/708:1	Targeted and phased measures in response to the illicit trade in small arms and light weapons	1
2005/s/2005/625/91:3	Three days later, the Jaleele bought 25 AK-47 assault rifles, 2 anti-aircraft machine guns, 6 PKM machine guns, 4 RPG-2 rocket launchers and ammunition.	1
2012/s/2012/24/66:8	The Council recognized the desirability of annual briefings by heads of military components and noted that it would welcome similar meetings with heads of police components to improve understanding of operational problems.	1
2011/s/2011/245/126:4	In addition, the Taliban can still import weapons, other materials and troops and the key to military success lies in neutralizing their supply lines and preventing them from finding refuge where their fighters can recover from one operation to another and train new recruits.	1
2006/s/prst/2006/28/5:3	The Council supports the idea of establishing a rule of law assistance unit within the Secretariat and looks forward to receiving the Secretariat's proposals for the implementation of the recommendations contained in paragraph 65 of the report of the Secretary-General on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).	1
2005/s/2005/635/40:1	The conflict that ended in 1999 had profound implications for relations between the various communities in Kosovo, in particular between Albanians and Serbs.	0
2012/s/2012/244/29:5	In addition, there are several Palestinian armed groups operating in the country, inside and outside the refugee camps.	1
2009/s/prst/2009/1/4:2	The Council expresses its deep concern that civilians continue to constitute the majority of the victims of violence committed by parties to armed conflict, including as a result of deliberately targeted attacks, the indiscriminate and excessive use of force, the use of civilians as human shields and sexual and gender-based violence, as well as all other acts committed in violation of applicable international law.	1
2005/s/2005/60/765:1	In discussions with the Commission on the methodology of the committees on violations, much emphasis was placed on the wide publicity given to their mandate.	1
2005/s/2005/60/677:1	The following section assesses the effectiveness of the measures taken by the Government of the Sudan, in particular those aimed at investigating and prosecuting crimes.	0
2008/s/2008/379/293:1	Financial Intelligence Unit: establishment and operationalization	0
2004/s/prst/2004/21/11:1	âThe Security Council calls on Burundi to prevent any form of support from its territory to armed groups in the Democratic Republic of the Congo.	1
2005/s/2005/60/145:1	In general terms, the attitude of the government authorities towards the Commission has been an attitude of cooperation.	1
2012/s/2012/16/99:3	The Centre also emphasizes the prohibition and blocking of Internet sites containing extremist material and regulation in this area.	1
2011/s/2011/463/163:5	All States now adequately criminalize in their domestic law the granting of safe haven to terrorists and their supporters and the use of their territories to commit or prepare terrorist acts against other States or their citizens.	1
2005/s/2005/60/362:1	This way in which some sources have interpreted the information has added a new dimension to the conflict.	1
2005/s/2005/60/474:5	After the attack, the entire population of the area went to Kailek.	0
2008/s/2008/259/14:6	Some of these League recruits from the Maoist army and militia are under the age of 18.	1
2014/s/2014/276/86:1	31. The State considers the spread of Christianity to be a particularly serious threat, since it questions ideologically the official cult of personality and provides a platform for political and social interaction and organization beyond the limits of the State.	1
2012/s/2012/16/45:5	In the view of that State, such activity, in its most radical form, often leads to violent extremism and leads to fatalities.	1
2005/s/2005/60/940:1	The information gathered and verified by the Commission shows that rape and other forms of sexual violence committed in Darfur by Janjaweed militias and Government soldiers were widespread and systematic and can therefore be considered crimes against humanity.	1
2005/s/2005/60/569:2	The women and girls were separated from the men, confined in an area near the mosque, and subsequently removed by their captors for rape.	1
2005/s/2005/678/3:3	At that meeting, the parties agreed to deepen their cooperation on the issues of the technical study of the railway network and the return of refugees and internally displaced persons.	1
2005/s/2005/60/712:1	According to article 31 of the National Security Act, when the Director-General issues an order, security officers may make arrests, searches, arrests and investigations; the officer has three days to inform the detainee of the reasons for his arrest and detention.	1
2010/s/prst/2010/19/9:1	âThe Security Council recognizes that terrorism will not be defeated solely through military force, law enforcement measures and intelligence operations, and stresses the need to address conditions conducive to the spread of terrorism, including, inter alia, the need to redouble efforts aimed at the successful prevention and peaceful resolution of protracted conflicts, and the need to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusion in order to provide a viable alternative to persons likely to be recruited by terrorists and subjected to radicalization leading to violence.	1
2007/s/prst/2007/26/6:1	""" The Security Council further reaffirms the need to combat, by all means and in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts."	1
2006/s/prst/2006/4/5:4	It also underlines the need for unreserved adherence to the process of integration of the armed forces, in the spirit of the Global and All-Inclusive Agreement.	1
2005/s/2005/60/445:16	Many people died and more than 100 were injured.	1
2005/s/2005/60/236:4	These militias are believed to operate mainly in accordance with a tribal command structure.	1
2005/s/2005/60/626:2	The Geneva Conventions strictly prohibit torture in both internal and international armed conflicts.	1
2005/s/2005/572/210:1	VIII. Travel ban The Monitoring Team continues to view the travel ban as an important measure of the Al-Qaida/Taliban sanctions, but notes the ingenuity shown by terrorists attempting to cross national borders without being discovered.	1
2011/s/2011/463/483:1	In some States, the effective implementation of resolution 1373 (2001) continues to be hampered by the vagueness or excessive scope of the definition of terrorist offences.	1
2014/s/2014/41/83:5	If Afghanistan loses appeal in terms of the number of targets for militant groups, they may redirect their efforts to their own countries of origin or to other countries.	1
2006/s/res/1735_2006_/42:1	14. Decides that the Committee, in determining whether names should be excluded from the Consolidated List, shall consider, inter alia, (i) whether the individual or entity was included in the Consolidated List because of an identification error, or (ii) whether the individual or entity has ceased to meet the criteria set out in the relevant resolutions, in particular resolution 1617 (2005); in carrying out the assessment referred to in subparagraph (ii), the Committee may consider, inter alia, whether the individual or entity has died or whether it has been shown that the individual or entity has broken any association, as defined in resolution 1617 (2005), with Al-Qaida, Osama bin Laden, the Taliban and their supporters, including all individuals and entities on the Consolidated List; Exemptions 15. Decides to extend the time limit for the Committee's consideration of notifications submitted pursuant to paragraph 1 (a) of resolution 1452 (2002) from 48 hours to three working days;	1
2014/s/2014/902/49:1	:: On 8 November 2014, regime forces attacked Sheikh Miskeen town and killed five people, including two children and two women.	0
2013/s/prst/2013/2/5:1	""" The Security Council expresses its deep concern that civilians continue to constitute the vast majority of victims in situations of armed conflict."	1
2005/s/2005/60/351:3	There is general agreement that the escalation of attacks coincides with the intensification of the internal armed conflict between the Government and the two rebel movements, SLM/A and JEM.	1
2008/s/2008/258/109:1	The issue of small arms cannot be addressed only by arms control measures; it is part of a broader spectrum of conflict, security, armed violence, crime, trade, human rights, health and development.	1
2006/s/2006/822/175:4	As reported to the Commission by the PNTL, only those petitioners who were wandering around would be arrested and handed over to the PNTL and no arrest operation was authorized.	1
2005/s/2005/60/256:1	When militias attack jointly with the armed forces, they can be said to be acting under the effective control of the Government, which corresponds to the notion of control enunciated in 1999 in the TadiÄ Appeal case (paras. 98-145).	1
2005/s/2005/645/2:3	Uganda would like to believe that the Permanent Representative is completely unaware of the high level of cooperation taking place between the Government of Uganda on the one hand and the United Nations Organization Mission in the Democratic Republic of the Congo (MONUC) and the Government of the Democratic Republic of the Congo on the other.	1
2005/s/2005/572/320:1	Dual-use commercial systems: they are manufactured for civilian purposes but can also be used in terrorist attacks.	1
2005/s/2005/60/445:3	Two helicopter gunships and one Antonov aircraft were used during the attack, possibly for reconnaissance purposes.	1
2005/s/2005/60/191:9	This concept has been explicitly analysed in the jurisprudence of the international criminal courts: âThere is armed conflict when armed force is used between States or prolonged armed violence between government authorities and organized armed groups or between such groups within the Stateâ.	1
2004/s/2004/384/104:2	It is also surprising that no element belonging to the so-called parallel forces could be arrested or prosecuted for such crimes.	1
2009/s/prst/2009/1/119:1	- Underscore the need to exclude and reject any form of amnesty or amnesty for genocide, crimes against humanity, war crimes or other serious human rights violations in conflict resolution processes, and ensure that any amnesty previously granted does not constitute an obstacle to prosecution before any court established by or assisted by the United Nations.	1
2008/s/2008/168/8:2	That decision established from that date a ban on trade, economic, financial and transport relations, among others, with Abkhazia at the State level.	1
2005/s/2005/60/577:4	"They called us ""slaves"" and asked us why we were still there."	1
2008/s/2008/259/39:3	Of these 168 children, 135 were abducted for recruitment, while the other 33 were abducted for cultural and political programmes or for other reasons.	1
2012/s/2012/16/101:3	Another State held an international seminar in 2009 on enhancing cooperation and dialogue between government agencies, the media and civil society in the fight against terrorism.	1
2010/s/2010/522/64:2	In response to the A influenza pandemic (H1N1), between mid-2009 and August 2010, the Ministry of Health, with WHO support, developed a pandemic preparedness plan that included, inter alia, improving its surveillance systems; obtaining Tamiflu tablets; installing an artificial respirator at the National Hospital; and organizing several training sessions for health-care personnel.	1
2008/s/2008/160/12:1	Half an hour later, three other jeeps arrived from Chad, supported by a military helicopter, and there was a further clash with the Sudanese military unit, in which one soldier and several civilians were injured.	1
2005/s/2005/650/6:3	In Southern Darfur, one of the most devastating clashes occurred on 19 September when SML/A attacked SAF positions in and around Shaeria village.	1
2009/s/prst/2009/19/4:3	""" The Security Council also reiterates its support for the Special Representative of the Secretary-General, Ahmedou OuldAbdallah, for his efforts to advance the political process in Somalia."	1
2005/s/2005/625/36:1	Maritime activities and revenues - coal, fisheries and piracy	1
2010/s/2010/569/69:1	The Executive Directorate proposes three small adjustments in its organization and operational practices to better reflect the changing priorities and proposed new activities.	1
2014/s/prst/2014/3/43:1	:: Systematic coordination between the civilian and military components of the mission and between the mission and humanitarian actors is maintained in order to consolidate the knowledge gained in the protection of the civilian population.	0
2014/s/2014/902/47:1	:: On 30 November 2014, regime warplanes fired a missile on the city of Andan and killed 11 people, including 1 child.	1
2009/s/2009/289/49:4	In line with the Committee's policy guidance on human rights and counter-terrorism, the Executive Directorate's communication strategy takes human rights into account, stressing that States must ensure that their counter-terrorism measures comply with their obligations under international law.	1
2010/s/prst/2010/22/6:1	âThe Security Council welcomes General Assembly resolution 64/289, which established the United Nations Entity for Gender Equality and the Empowerment of Women (UNWomen), which will become fully operational in January 2011.	1
2005/s/2005/60/130:1	For the purpose of the fourth task, the Commission considered it necessary to make a preliminary determination of the extent to which the Sudanese criminal justice system had been able to prosecute and bring to justice the alleged perpetrators of international crimes committed in Darfur and had been prepared to do so, and then to review the various existing international mechanisms.	1
2004/s/2004/384/59:1	In accordance with Presidential Decree No. 2004-236, which mobilized the national armed forces, and with the instructions received at the meeting held on 24 March by the President, the Prime Minister, the Ministers of Defence and Internal Security and the relevant heads of the national police, gendarmerie and FANCI, the security forces were stationed in many areas of the urban periphery, particularly in locations where concentrations and demonstrations were planned.	1
2011/s/2011/298/60:1	The United Nations Joint Human Rights Office continues to investigate alleged violations of human rights and international humanitarian law by both armed groups and national security forces.	1
2011/s/2011/463/341:4	Resolution 1624 (2005), which encourages interreligious and intercultural dialogue and understanding, needs to be more effectively implemented in order to combat incitement to commit terrorist acts motivated by extremism and intolerance.	1
2008/s/2008/258/72:2	To that end, one of the instruments available to Member States is the United Nations Register of Conventional Arms, which includes data provided by States on international arms transfers, as well as information on military holdings, procurement from national production and relevant policies.	1
