en	Relevant
كما قامت كولومبيا وتشيلي وباراغواي وبيرو بإصدار تشريعات تمنح سلطات إنفاذ القانون فيها صلاحيات تحقيقية خاصة.	1
أن يطلب من الأمانة تقديم تحديثات عن حالة مسألة التعويضات المزدوجة المحتملة في الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها في اجتماعاته المقبلة وإبقائها مدرجة في جدول أعمال الدورة المقبلة لمجلس الإدارة؛ والموافقة على طلب الأمانة تمديد فترة عمل خمسة موظفين حتى 31 كانون الأول/ديسمبر 2005 لتقديم الدعم لخبراء المحاسبة القضائية وتنفيذ أي توصيات قد يتم تقديمها بشأن احتمال الازدواج في التعويضات.	0
ولكن على الرغم من أن الفريق لا يرى أن المشورة الفنية شبه العسكرية المتاحة على الإنترنت تشكل تهديدا على قدم المساواة مع التدريب في الحياة الواقعية، فإن الإمكانية ستزداد مع تحسن جودة المشورة.	1
:: وضع برنامج الاستثمار ذي الأولوية للفترة 2015-2017 بمبلغ قدره 7208 مليار فرنك أفريقي (حوالي 15 مليار دولار أمريكي).	0
وشدد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.	1
ولا يمكن إنكار أن المخاطر كبيرة، لأن الفشل في الالتزام بالموعد النهائي للاستفتاءين المنصوص عليه في اتفاق السلام الشامل يمكن أن يكون له عواقب وخيمة.	1
وأعرب بعض أعضاء المجلس عن قلقهم لأنه لم يكن من الممكن بعد إحراز تقدم في التحقيقات في الجرائم التي ارتكبها المتمردون.	1
وعلى سبيل المثال، عملت المديرية التنفيذية للجنة مكافحة الإرهاب على نطاق واسع مع الدول لبناء قدراتها على إدارة الحدود من أجل مراقبة الحركات الإرهابية وقدراتها في مجال العدالة الجنائية على معالجة غسل الأموال.	1
7. يدعو جميع الدول إلى التصرف بدقة وفقا لأحكام هذا القرار، بغض النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد مبرم أو أي ترخيص أو تصريح ممنوح قبل تاريخ صدوره. دخول التدابير المفروضة بموجب الفقرة 4 أعلاه حيز التنفيذ؛	1
2. يدعو الحكومة السورية إلى التنفيذ الواضح لالتزاماتها في مجملها، كما وافقت على القيام بذلك في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، من أجل (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع أشكال استخدام الأسلحة الثقيلة في هذه المراكز، (ج) الانسحاب الكامل للتمركزات العسكرية داخل المراكز السكانية وما حولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقتة لتسهيل الوقف المستمر للعنف ;	1
جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))؛ الإمدادات من المعدات العسكرية غير الفتاكة المخصصة للاستخدام الإنساني أو الوقائي فقط، وما يتصل بذلك من مساعدة تقنية أو تدريب (الفقرة 54 (ب))؛ الملابس الواقية، بما في ذلك السترات الواقية من الرصاص والخوذات العسكرية، التي يصدرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجال الإنساني والإنمائي والأفراد المرتبطون بهم، لاستخدامهم الشخصي فقط (الفقرة 54 (ج))؛ إمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة فقط للاستخدام في الدوريات الدولية التي توفر الأمن في المنطقة المحمية الثلاثية لنهر سانغا للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغيرها من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو وبالالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ إمدادات الأسلحة والمعدات الفتاكة الأخرى ذات الصلة إلى قوات الأمن في جمهورية أفريقيا الوسطى، المخصصة حصراً لدعم عملية إصلاح القطاع الأمني ​​في جمهورية أفريقيا الوسطى أو استخدامها فيها، على النحو الذي وافقت عليه اللجنة مسبقاً (الفقرة 54 (هـ)) ; أو عمليات بيع أو توريد أخرى للأسلحة والأعتدة ذات الصلة، أو تقديم المساعدة أو الأفراد (الفقرة 54 (و)).	1
على سبيل المثال، أجرت بولندا وكرواتيا، بدعم من مكتب شؤون نزع السلاح، استعراض نظراء لتنفيذهما للقرار، يتألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، راقبها خبراء اللجنة. وقد ساعد استعراض النظراء هذا على تحديد الممارسات الفعالة وتسهيل تبادل الخبرات.	1
وقد أجرى العديد من الاتصالات مع الحكومة المغربية، التي طلبت، قبل قبول استئناف الدبلوماسية المكوكية، عقد اجتماع لتوضيح مخاوفها بشأن التقرير الأخير للأمين العام (S/2014/258)، موضحا أن المغرب يعتبر أن وهذا من شأنه أن يسمح للعملية بالمضي قدمًا بأفضل طريقة ممكنة.	1
ولكن على الرغم من الاهتمام المتزايد والتطورات الإيجابية الأخيرة في هذا المجال، لا تزال هناك تحديات عديدة على أرض الواقع فيما يتصل بالتنفيذ، ولا سيما التحديات المتعلقة بالافتقار المستمر إلى الوضوح المحيط بمفهوم وتفعيل حماية المدنيين، وآليات التنسيق الداخلية والخارجية، والإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات والموارد.	1
15 - منذ تقريري المؤرخ 2 كانون الثاني/يناير 2008 المقدم إلى مجلس الأمن (S/2008/1)، قامت عملية الأمم المتحدة في كوت ديفوار بإزالة جميع مراكز المراقبة السبعة عشر التي أنشأتها على طول الخط الأخضر، باستثناء مركزين، وذلك تمشيا مع أحكام اتفاق واغادوغو.	1
50 - أجرى المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب زيارة رسمية إلى بوركينا فاسو في الفترة من 8 إلى 12 نيسان/أبريل 2013، بدعوة من الحكومة، لجمع معلومات عن الوضع الحالي في بوركينا فاسو. ومن ثم مساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تنفيذ الصكوك الدولية.	1
"وكان الهدف من هذه الجهود هو تحسين الأمن في المنطقة وتعزيز تحالف وادي جوبا والمصالحة بين الجنرال ""مورغان"" والتحالف اللذين يتقاتلان على مناطق في وادي جوبا منذ عدة سنوات."	1
وينبغي للدول أن تمتنع عن تثبيط الجهات الفاعلة الإنسانية في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول لأغراض إنسانية، بما في ذلك القيام بأنشطة تهدف إلى تعزيز احترام القانون الإنساني الدولي.	1
يحث الدول الأعضاء على ضمان زيادة تمثيل المرأة على جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع الصراعات وإدارتها وحلها.	1
38 - يوعز إلى اللجنة بتحديد الحالات المحتملة لعدم الامتثال للتدابير المنصوص عليها في الفقرة 1 أعلاه وتحديد مسار العمل المناسب في كل حالة، ويطلب إلى الرئيس، في تقارير دورية تقدم إلى المجلس عملاً بالفقرة 46 أدناه، وتقديم تقارير مرحلية عن عمل اللجنة بشأن هذه المسألة؛	1
حاء - منع الاستغلال والاعتداء الجنسيين من جانب موظفي الأمم المتحدة والأفراد المرتبطين بها وشركاء الأمم المتحدة والتصدي لهما؛	1
"في جلسة مجلس الأمن 6034، المعقودة في 9 كانون الأول/ديسمبر 2008، فيما يتصل بنظر المجلس في البند المعنون ""التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية""، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:"	0
الأعمال المتعلقة بالألغام والمتفجرات من مخلفات الحرب	0
(ج) يرسل من اللجنة جميع المعلومات المتعلقة بالقرار المقدم إلى أمين المظالم عملاً بالفقرة 14 أعلاه.	0
6 - استنادا إلى الاستعراض الشامل لجميع الأسماء المدرجة في القائمة في عام 2010، عملا بالفقرة 25 من القرار 1822 (2008)، قامت اللجنة منذ ذلك الحين بتنفيذ العديد من الآليات لضمان أن القائمة تعكس على أفضل وجه التهديد الذي يشكله تنظيم القاعدة ولضمان ذلك. تتم مراجعة كل إدخال بشكل دوري لتحديد ما إذا كان الإدراج المستمر مناسبًا.	1
ويشكل الافتقار إلى القدرات الكافية تحديا رئيسيا للعديد من الدول في مجال الرصد والتنفيذ الفعالين لحظر الأسلحة.	0
وقد استحدثت ثلاث دول إجراءات تحظر تسليم الأفراد الذين قد يواجهون خطر التعذيب أو الاضطهاد.	1
ضمان التنسيق والتنفيذ الفعالين لسياسة مكافحة الألغام والمبادئ التوجيهية الجنسانية لبرامج الأعمال المتعلقة بالألغام. الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (برئاسة إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) أنشأته اللجنة الأوروبية للسلام والأمن لتحسين أداء المنظمة في مجال نزع السلاح والتسريح وإعادة الإدماج، ويقدم الفريق العامل المشترك بين الوكالات المشورة الاستراتيجية، بما في ذلك احتياجات التدريب والسياسات والاستراتيجيات؛ الحفاظ على ومراجعة المجموعة المطورة من إرشادات الأمم المتحدة بشأن نزع السلاح والتسريح وإعادة الإدماج؛ تطوير وإدارة مركز موارد الأمم المتحدة لنزع السلاح والتسريح وإعادة الإدماج؛ ويسهل تخطيط عمليات نزع السلاح والتسريح وإعادة الإدماج بين وكالات الأمم المتحدة ذات الصلة.	1
وأعرب أيضا عن أن فشل البرلمان اللبناني في انتخاب رئيس جديد قد قوض استقرار لبنان وقدرته على الصمود منذ بداية النزاع في الجمهورية العربية السورية.	1
وقد تأثرت النساء والأطفال، وخاصة الفتيات، من أعمال العنف والصراعات الناشئة حديثا والمرتبطة بانتشار الميليشيات والجماعات المسلحة، والتي ترتبط في بعض الحالات بالتطرف العنيف، في حين لا تزال العديد من الصراعات التي طال أمدها دون حل.	1
ولم يتم اختيار سوى عدد قليل جدًا للاستعراض، وفي نهاية المطاف، بعد استكمال جميع الإجراءات المبينة في المبادئ التوجيهية للجنة، بما في ذلك الجهود المبذولة للحصول على معلومات من الدول الأخرى ذات الصلة، انتهى الاستعراض دون أي تغييرات على القائمة.	0
60 - ويتطلب دعم استعادة الحد الأدنى من سلطة الدولة المستدامة وتوسيع نطاقها ليشمل المناطق المحررة من الجماعات المسلحة التزاما معززا من جانب الحكومة بنشر إدارة الدولة، بما في ذلك أفراد الشرطة والقضاء والسجون وتزويدهم بالموارد اللازمة.	1
"""ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قانون مكافحة القرصنة، بما في ذلك ضمان الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم وسجن المدانين منهم. ويشجع المبادرات الحالية والمستقبلية في هذا الصدد."	1
وفي قضية أخرى، نظرت المحكمة مرة أخرى في العناصر المختلفة للهجوم الموجه ضد السكان المدنيين كجزء من تعريف الجرائم ضد الإنسانية.	1
واستجابة لذلك، أنشأت وزارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريق عمل مشترك مع ركيزة بناء المؤسسات لدراسة التقرير وتطوير سبل تنفيذ توصياته.	1
43 - يكرر تأكيد الحاجة إلى تعزيز التعاون المستمر بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، فضلا عن أفرقة الخبراء التابعة لكل منها، بما في ذلك من خلال تعزيز المعلومات، حسب الاقتضاء - تبادل وتنسيق الزيارات إلى البلدان الواقعة ضمن ولاية كل منها، وتيسير ورصد المساعدة التقنية، والعلاقات مع المنظمات والوكالات الدولية والإقليمية، وبشأن القضايا الأخرى ذات الصلة بجميع اللجان الثلاث، ويعرب عن اعتزامه تقديم التوجيه إلى اللجان بشأن المجالات ذات الاهتمام المشترك من أجل تنسيق جهودها بشكل أفضل وتيسير هذا التعاون، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لتواجد المجموعات في مكان واحد في أقرب وقت ممكن؛	1
(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وتطوير سبل العمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرة كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، والإحاطات من وإلى اللجنة وتعزيز ترتيبات تبادل المعلومات؛	1
"""ويدين مجلس الأمن بشدة استهداف المقاتلين المتعمد للمدنيين في الصراعات المسلحة، ويطالب جميع المعنيين بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان."	1
وعلى الدول أيضا أن تمنع من يمولون الأعمال الإرهابية أو يخططون لها أو يسهلونها أو يرتكبونها من استخدام أراضيها لتلك الأغراض ضد دول أخرى أو ضد مواطنيها (الفقرة 2 (د)).	1
(د) دعم أعمال أو أنشطة الأشخاص المدرجين في القائمة وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بحركة الطالبان والتي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان؛	1
(أ) فريق رصد في نيويورك يضم ما يصل إلى خمسة خبراء، من بينهم رئيس، لرصد تنفيذ جميع التدابير المفروضة بموجب القرارين 1267 (1999) و 1333 (2000)، بما في ذلك في مجالات حظر الأسلحة ومكافحة الأسلحة النووية. الإرهاب والتشريعات ذات الصلة، ونظرًا لارتباطه بشراء الأسلحة وتمويل الإرهاب وغسل الأموال والمعاملات المالية والاتجار بالمخدرات؛ و	1
21 - وتشمل أحدث الإضافات إلى القائمة الإرهابيين المرتبطين بتنظيم القاعدة والجماعات الإرهابية العاملة في وسط وجنوب وجنوب شرق آسيا والشرق الأوسط، بما في ذلك العراق.	0
واعتقل النظام ما يقارب 47 شخصاً يعتقد أنهم تم تجنيدهم قسراً للانضمام إلى قوات النظام.	1
بالإضافة إلى ذلك، تقوم فرق الموت والميليشيات المكونة من عناصر مستقلة بزرع الرعب وتنفيذ عمليات الإعدام والاختطاف.	1
(ج) يهيب كذلك بجميع الأطراف المدرجة في مرفقي تقرير الأمين العام عن الأطفال والنزاع المسلح أن تعالج جميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد؛	1
وفي الجلسة 4170 المعقودة في 13 تموز/يوليه، اتخذ المجلس القرار 1307 (2000) الذي أذن فيه، في جملة أمور، بتمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا لمواصلة رصد تجريد شبه الجزيرة من السلاح حتى 15 كانون الثاني/يناير 2001.	1
يجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم بأن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات 1267) عادل، وأن يعيد، بدعم متزايد من الدول الأعضاء، تأكيد هدفه الأصلي المتمثل في تخليص العالم من التهديد الإرهابي المتمثل في تنظيم القاعدة وحركة طالبان والمرتبطين بهما.	1
والحقيقة أنه باستثناء بن لادن والزرقاوي والملا محمد عمر وغيرهم من الإرهابيين المعروفين، فإن عامة الناس قد لا يعرفون سوى القليل نسبياً عن العديد من الأفراد المدرجين في القائمة.	0
وتتمثل مشكلة إضافية في أن الحكومة لم تكن تمتلك على ما يبدو موارد عسكرية كافية، حيث أن العديد من قواتها لا تزال متمركزة في الجنوب، كما أن القوات الموجودة في دارفور تتمركز بشكل رئيسي في المراكز الحضرية الكبرى.	1
43. بعد نشر مواصفات المنظمة الدولية للمعايير (ISO) المتاحة للجمهور (PAS) 28007 بشأن المبادئ التوجيهية لشركات الأمن البحري الخاصة التي توفر أفراد أمن مسلحين يتم التعاقد معهم من القطاع الخاص على متن السفن، يمكن الآن لشركة أمن بحري خاصة أن تحصل على شهادة لهذا التطوع معيار الصناعة لتسهيل التنفيذ الدولي الموحد.	0
8 أيار/مايو 2006 حادثة عنف في غلينو تعرض فيها ضباط من قوة الشرطة الوطنية الشرقية لهجوم.	1
أجرى فريق الوساطة مناقشات ثنائية مع الحكومة وهيئة التنسيق المؤلفة من الحركة الوطنية لتحرير أزواد، والمجلس الأعلى لوحدة أزواد، والحركة العربية لتحرير أزواد. أزواد (MAA)، انضم إليها أفراد من تنسيقية الحركات والجبهات الوطنية للمقاومة الثانية (CMFPR-II) وفصيل من تحالف شعب أزواد (CPA) من جهة، ومع الحكومة والبرنامج. من جهة أخرى، مجموعات مسلحة تتألف من CMFPR-I وCPA والفصيل الآخر من الحركة العربية لأفغانستان، بالإضافة إلى أفراد من مجموعة الدفاع الذاتي طوارق إمغاد وحلفائهم (GATIA) المدعوين من قبل المنصة.	1
(ج) الأفراد المدرجون في القائمة الذين أُفيد عن وفاتهم، إلى جانب تقييم المعلومات ذات الصلة المبينة في الفقرة 28 (ج)، وإلى أقصى حد ممكن، حالة الأصول المجمدة وموقعها وأسماء أي أفراد أو كيانات قد يكونون متوفين. في وضع يسمح لها بتلقي أي أصول غير مجمدة؛	0
