ar	Relevant
كما سنّت باراغواي وبيرو وشيلي وكولومبيا تشريعات تمنح سلطاتها المعنية بإنفاذ القوانين سلطات تحقيق خاصة.	1
(أ) أن يطلب إلى الأمانة أن تقدم معلومات مستكملة عن حالة مسألة احتمال ازدواج التعويضات في الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها في اجتماعاته المقبلة، وأن تبقيها مدرجة في جدول أعمال الدورة المقبلة لمجلس الإدارة؛ وأن توافق على طلب الأمانة تمديد ولاية خمسة موظفين حتى 31 كانون الأول/ديسمبر 2005 لتقديم الدعم لخبراء المحاسبين الشرعيين وتنفيذ أي توصيات قد تقدم بشأن احتمال ازدواج التعويضات.	0
ولكن، على الرغم من أن الفريق لا يقدر أن المشورة التقنية شبه العسكرية المتاحة على شبكة الإنترنت تشكل تهديداً على قدم المساواة مع التدريب على الحياة الحقيقية، فإن هذه الإمكانية ستزداد مع تحسن نوعية المشورة.	1
:: وضع برنامج الاستثمار ذي الأولوية للفترة 2015-2017 بمبلغ 208 7 بلايين فرنك أفريقي (حوالي 15 بليون دولار).	0
وشدد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.	1
ولا شك في أن المخاطر كبيرة، لأن عدم الوفاء بالموعد النهائي لإجراء الاستفتاءات المنصوص عليه في اتفاق السلام الشامل يمكن أن تكون له عواقب وخيمة.	1
وأعرب بعض أعضاء المجلس عن قلقهم لعدم التمكن حتى الآن من إحراز تقدم في التحقيقات في الجرائم التي يرتكبها المتمردون.	1
فعلى سبيل المثال، عملت المديرية التنفيذية للجنة مكافحة الإرهاب على نطاق واسع مع الدول لبناء قدراتها على إدارة الحدود من أجل مراقبة تحركات الإرهابيين وقدرتها في مجال العدالة الجنائية على التصدي لغسل الأموال.	1
٧ - يطلب إلى جميع الدول أن تتصرف بدقة وفقا لأحكام هذا القرار، بصرف النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد مبرم أو أي ترخيص أو تصريح ممنوح قبل تاريخ بدء نفاذ التدابير المفروضة بموجب الفقرة ٤ أعلاه؛	1
2 - يهيب بالحكومة السورية أن تنفذ على نحو واضح التزاماتها كاملة، على النحو الذي وافقت عليه في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، بما يلي: (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع أشكال استخدام الأسلحة الثقيلة في تلك المراكز، (ج) الانسحاب الكامل من التجمعات العسكرية في المراكز السكانية وحولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقتة لتيسير وقف العنف بشكل مستمر؛	1
جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))؛ وإمدادات المعدات العسكرية غير الفتاكة المخصصة حصرا للاستخدامات الإنسانية أو الوقائية، وما يتصل بذلك من مساعدة أو تدريب تقنيين (الفقرة 54 (ب))؛ والملابس الواقية، بما في ذلك سترات الشظايا والخوذات العسكرية، التي يصدرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجالين الإنساني والإنمائي والأفراد المرتبطون بهم، لاستعمالهم الشخصي فقط (الفقرة 54 (ج))؛ وإمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة حصرا للاستخدام في الدوريات الدولية التي توفر الأمن في منطقة نهر سانغا المشمولة بحماية ثلاثية للدفاع ضد الصيد غير المشروع وتهريب الأعرج والأسلحة، وغير ذلك من الأنشطة التي تتعارض مع القوانين الوطنية لجمهورية أفريقيا الوسطى أو مع الالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ وإمدادات الأسلحة وغيرها من المعدات الفتاكة ذات الصلة لقوات الأمن في جمهورية أفريقيا الوسطى، المقصود بها حصرا دعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى أو استخدامها فيها، على النحو الذي وافقت عليه اللجنة مسبقا (الفقرة 54 (هـ))؛ أو غير ذلك من مبيعات الأسلحة والأعتدة ذات الصلة أو توريدها، أو تقديم المساعدة أو الأفراد (الفقرة 54 (الفقرة 54)).	1
فعلى سبيل المثال، أجرت كرواتيا وبولندا، بدعم من مكتب شؤون نزع السلاح، استعراضا أقران لتنفيذهما للقرار، يتألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، لاحظهما خبراء اللجنة، وساعد استعراض الأقران هذا على تحديد الممارسات الفعالة وتيسير تبادل الخبرات.	1
وقال إنه أجرى العديد من الاتصالات مع الحكومة المغربية التي طلبت، قبل أن تقبل استئناف الدبلوماسية المكوكية، عقد اجتماع لتوضيح شواغلها بشأن آخر تقرير للأمين العام (S/2014/258)، موضحاً أن المغرب يرى أن هذا من شأنه أن يسمح للعملية بالمضي قدماً بأفضل طريقة ممكنة.	1
غير أنه على الرغم من الاهتمام المتزايد والتطورات الإيجابية التي حدثت مؤخرا في هذا المجال، لا يزال هناك العديد من التحديات على أرض الواقع فيما يتعلق بالتنفيذ، ولا سيما التحديات المتعلقة باستمرار انعدام الوضوح فيما يتعلق بمفهوم وتفعيل حماية المدنيين، وآليات التنسيق الداخلية والخارجية، والإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات والموارد.	1
15 - منذ تقديم تقريري المؤرخ 2 كانون الثاني/يناير 2008 إلى مجلس الأمن (S/2008/1)، أزالت عملية الأمم المتحدة في كوت ديفوار جميع مراكز المراقبة البالغ عددها 17 مركزا، باستثناء مركزين من مراكز المراقبة التي أنشأتها على طول الخط الأخضر، وذلك تمشيا مع أحكام اتفاق واغادوغو.	1
50- قام المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب بزيارة رسمية إلى بوركينا فاسو في الفترة من 8 إلى 12 نيسان/أبريل 2013، بدعوة من الحكومة، لجمع معلومات عن الحالة الراهنة في بوركينا فاسو، ومن ثم مساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تنفيذ الصكوك الدولية.	1
"وكان الهدف من هذا الجهد هو تحسين الأمن في المنطقة، وتعزيز تحالف وادي جوبا، والتوفيق بين الجنرال ""مورغان"" والتحالف، اللذين ظلا يتشاجران على أراضي في وادي جوبا لعدد من السنوات."	1
وينبغي للدول أن تمتنع عن إعاقة الجهات الفاعلة الإنسانية في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول لأغراض إنسانية، بما في ذلك الاضطلاع بأنشطة ترمي إلى تعزيز احترام القانون الإنساني الدولي.	1
يحث الدول الأعضاء على كفالة زيادة تمثيل المرأة في جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع نشوب الصراعات وإدارتها وحلها.	1
38 - يوعز إلى اللجنة أن تحدد الحالات المحتملة لعدم الامتثال للتدابير عملا بالفقرة 1 أعلاه وأن تحدد مسار العمل المناسب بشأن كل حالة، ويطلب إلى الرئيس أن يقدم، في التقارير الدورية المقدمة إلى المجلس عملا بالفقرة 46 أدناه، تقارير مرحلية عن أعمال اللجنة بشأن هذه المسألة؛	1
