en	QuadClass
Stressing that terrorism can only be defeated by a sustained and comprehensive approach involving the active participation and collaboration of all States, and international and regional organizations to impede, impair, isolate and incapacitate the terrorist threat,	0
These issues require careful consideration, especially since measures that are vague or overbroad run the risk of being counterproductive.	0
The fact-finding mission was of the opinion that, since the credibility of the Lebanese authorities conducting the investigation was questioned, an international independent investigation should be set up to establish the truth.	0
The team was composed of seven experts specializing in post-blast investigations.	2
The electoral campaign, which had just begun, was governed by the Electoral Law and Regulations from the Joint Electoral Management Body and monitored by international observers.	0
As noted above, these groups were allowed to march in December 2003 during a previous ban on demonstrations.	1
Similarly, in terms of recipients of reparations, it was important to look beyond individual victims and also consider affected communities.	0
There is also a need to guard more effectively against the misuse of non-profit organizations while ensuring that regulation is proportionate to the risk and not arbitrarily applied.	0
However, the Panel of Experts produced a strong, credible report, and for the first time an international body acknowledged the extent of human rights abuses committed in the last days of Sri Lanka's brutal conflict, when at least 10,000 civilians were killed.	1
Contrary to persistent rumour, there is no evidence that PNTL officers, including those armed and given uniforms by F-FDTL, were involved in the shooting.	0
27. Furthermore, several States have established stopgap measures that allow their officials to implement sanctions under a Security Council listing even before national validation processes have been completed.	0
:: Continue to develop initiatives to prohibit and prevent incitement, identify best practices and exchange information, bearing in mind the need to ensure that all relevant measures comply with their international legal obligations, including human rights obligations.	0
31. Encourages States to submit delisting requests for individuals that are officially confirmed to be dead, particularly where no assets are identified, and for entities reported or confirmed to have ceased to exist, while at the same time taking all reasonable measures to ensure that the assets that had belonged to these individuals or entities have not been or will not be transferred or distributed to other individuals, groups, undertakings and entities on the Al-Qaida Sanctions List;	0
The review process has resulted in the confirmation of listing of all individuals who, while not listed solely on this basis, are primarily known for their role in providing ideological justification for Al-Qaida-related violence to new recruits or to a wider audience. This is despite the fact that the sanctions measures themselves have little if any impact on their key tool: the ability to communicate and persuade via the Internet.	3
Noticeable results have been achieved only in pick-up zone 6, where the percentage of minorities is very close to the 10 per cent goal of the Special Representative.	0
151. Others, such as WGIG, while recognizing the advantages of such measures for law enforcement, believe that the introduction of mandatory regulation could violate basic human rights.	3
I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2140 (2014), containing an account of the Committee's activities from 26 February to 31 December 2014.	0
"""The Security Council underlines the continued need to take measures to prevent and suppress the financing of terrorism and terrorist organizations, reiterates Member States' obligations in this regard, including effective implementation of such measures, and acknowledges the important work of the United Nations entities and other multilateral organizations, in particular the Financial Action Task Force."	0
On behalf of the Security Council Committee established pursuant to resolution 1540 (2004), I have the honour to refer to paragraph 9 of Security Council resolution 1810 (2008) and to transmit herewith a decision of the Committee regarding the extension of its ninth programme of work until 25 April 2011:	0
That the prohibition of torture in customary international law has such a legal nature was held by the International Tribunal for the Former Yugoslavia in Furundžija (at para. 144, and paras. 153-157), by the House of Lords in Pinochet, and also affirmed by the United Nations Special Rapporteur on Torture.	0
3. Members of death squads must be identified and brought to justice;	0
Noting the work of the Global Counterterrorism Forum (GCTF), in particular its publication of several framework documents and good practices, including in the areas of countering violent extremism, criminal justice, kidnapping for ransom, providing support to victims of terrorism, and community-oriented policing, to complement the work of the relevant United Nations counterterrorism entities in these areas, and encouraging CTED to continue its interaction with GCTF, in its work with Member States to promote the full implementation of resolutions 1373 (2001) and 1624 (2005),	4
:: 2 June 2005, journalist Samir Kassir is killed when his car explodes in east Beirut.	1
The three information-sharing centres established in Sana'a, Mombasa (Kenya) and Dar es Salaam (United Republic of Tanzania) manage a network of focal points throughout the region, including in Somalia, providing information on piracy activity and dhow movements.	0
Reaffirms the unacceptability of the demographic changes resulting from the conflict, reaffirms also the inalienable rights of all refugees and internally displaced persons affected by the conflict, and stresses that they have the right to return to their homes in secure and dignified conditions...	0
:: Undertake further examination in areas where the initial examination of reports revealed gaps in information or implementation related to all aspects of the resolution encompassing all measures required, for each type of weapon, or their respective means of delivery, and for the materials related to them, including amending the matrices where helpful	0
Following a painstaking investigation, the United States Government ascertained that Ahmed Abu Khattalah was a key figure in those armed attacks.	2
Urges Members States, in accordance with the United Nations Programme of Action on Small Arms and Lights Weapons to Prevent, Combat and Eradicate the Illicit Trade in Small Arms and Light Weapons, to take effective action through, inter alia, conflict resolution and the development and implementation of national legislation, in a manner which is consistent with existing responsibilities of States under relevant international law, to control the illicit trade of small arms to parties in armed conflict that do not respect fully the relevant provisions of applicable international law relating to the rights and protection of children in armed conflict.	0
He considered it imperative that the whereabouts of those missing persons be clarified and those responsible held accountable.	0
390. As noted above under customary international law the crime of plunder or pillage is a war crime.	0
The Commission recommends further that of the persons who received the F-FDTL weapons on 24 and 25 May, only those who used the weapons in subsequent criminal activity be prosecuted.	1
Cross-border mineral and diamond trafficking has been at the heart of regionalized conflict dynamics in both West Africa and the Great Lakes region for many years.	1
The establishment of the Joint Mission Analysis Cell has enabled MINUSTAH to considerably increase its capacity to analyse and share information throughout the Mission. However, MINUSTAH continued to lack access to reliable tactical intelligence.	2
:: 14 February 2005, Rafik Hariri and 22 other individuals are killed in a massive blast in a seafront area of central Beirut.	1
States should strengthen their legal frameworks to criminalize the illicit manufacturing, possession and trafficking in small arms and explosives.	0
12. Requests in particular that MONUC share information with the Group of Experts, especially on the support received by armed groups, on recruitment and use of children and on the targeting of women and children in situations of armed conflicts;	1
(a) Mamadou Cisse (who is close to the Rassemblement des Républicains party) and navy sergeant Tarine, said to have been detained since 20 September 2002;	1
I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 1970 (2011) concerning Libya, containing an account of the Committee's activities from 1 January to 31 December 2014.	0
Decides that [regional organization force] is authorized to take all necessary measures, within its means and capabilities, to carry out the following tasks, in accordance with the agreement to be reached between the [regional organization] and the United Nations: ...	0
5. Declares that acts, methods, and practices of terrorism are contrary to the purposes and principles of the United Nations and that knowingly financing, planning and inciting terrorist acts are also contrary to the purposes and principles of the United Nations;	0
The Council intends to continue forcefully to fight impunity with appropriate means and draws attention to the full range of justice and reconciliation mechanisms to be considered, including national, international and `mixed' criminal courts and tribunals and truth and reconciliation commissions.	0
Provide a comprehensive training course for all country representatives on humanitarian issues with a focus on gender awareness.	2
Since January, 444 FDLR combatants demobilized, including 259 Rwandans and 185 Congolese.	2
A similar operation carried out in Pristina on 18 November resulted in the arrest of six persons.	1
The Team sees this as a measure that would also make it harder for listed parties to benefit from nominee accounts.	0
The authorities agreed that the ethnic Albanians had been the victims of social and institutional discrimination and accepted that confidence-building measures, such as the inclusion of ethnic Albanians in the local police force and increased representation in political structures, would go a long way towards decreasing tensions and towards longer-term stability in the region.	4
Subsequent to the battle, the Monitoring Group obtained two metal ammunition containers and photographs of other ammunition containers that were alleged by Monitoring Group sources to have been provided by the State in question.	0
Moreover, the gap between the positions of President Gbagbo and his ruling party, on one side, and those of the forces of the opposition, on the other, remains wide.	0
61. There are a number of stabilization instruments and plans (STAREC, International Security and Stabilization Support Strategy, islands of stability) but there seems to be a lack of a common approach within the United Nations system itself.	0
It will also lay a foundation for an effective firearms-control mechanism, which could help the authorities to manage weapon possession.	0
187. Except in a few cases, the incidents are reported to have occurred without any military justification in relation to any specific activity of the rebel forces. This has strengthened the general perception among observers that the civilian population has been knowingly and deliberately targeted to achieve common or specific objectives and interests of the Government and the Janjaweed.	1
"""The Security Council stresses the need to address sustainably the root causes of the conflict in eastern DRC and reiterates its support for the implementation of the commitments under the Peace, Security and Cooperation (PSC) Framework for the Democratic Republic of Congo and the region, which is essential to achieving lasting peace and security in the Great Lakes region."	4
In addition, MONUSCO should continue to protect United Nations personnel and assets and, consistent with its existing mandate, and provided sufficient aviation assets are made available, to contain violent acts that threaten the protection of civilians during the electoral period.	2
Five States are not yet a party to the Firearms Protocol, but almost all have introduced OAS legislation criminalizing the illicit manufacturing, possession and trafficking of small arms and light weapons, ammunition and explosives.	3
The Security Council recalls its resolution 2048 (2012) and, in this regard, reiterates its readiness to consider further measures, as it deems necessary, including targeted sanctions against individuals who undermine efforts to restore the constitutional order.	1
Following the informal consultations, on 14 September, the Council unanimously adopted resolution 1560 (2004) presented by the German delegation, by which it extended the mandate of the United Nations Mission in Ethiopia and Eritrea (UNMEE) until 15 March 2005, approved the adjustments to UNMEE (including its presence and operations as recommended by the Secretary-General in his report, paras. 13-18), and requested the Secretary-General to continue to monitor the situation closely and to review the Mission's mandate in the light of progress achieved in the peace process and the changes made to UNMEE.	4
"Pursuant to paragraph 18 of Security Council resolution 2100 (2013), France submitted four reports to the Security Council which outlined six combat actions undertaken in response to an ""imminent and serious threat"" and highlighted the work of the liaison and operational support detachments for MINUSMA, as well as the support of French forces in caring for the wounded."	3
:: Report to the Committee after each meeting Each working group will be chaired by a member of the Committee, supported by the staff of the Office for Disarmament Affairs, the expert staff of the Committee established pursuant to resolution 1540 (2004) and its secretariat, as necessary.	4
The Commission also received and verified numerous additional incidents involving attacks on civilians, based on information and evidence it received during the course of its work.	1
Its assessment is issued in bimonthly reports, a practice which has contributed to raising awareness of human rights problems.	0
288. One way in which States might wish to take all these issues more fully into account is to incorporate them into comprehensive and integrated national counter-terrorism strategies that include attention to the factors that lead to terrorist activities.	0
The Human Rights Committee has clearly enunciated this right in its General Comment 27. On several occasions the Committee on Economic, Social and Cultural Rights has stated that forced evictions are prima facie incompatible with the requirements of the Covenant on Economic, Social and Cultural Rights.	3
10. The events that took place in Abidjan in connection with the march planned for 25 March resulted in grave human rights violations.	1
Government armed forces later confiscated the villagers' weapons.	1
He said that the Ivorian armed forces were regularly instructed in international humanitarian law and the protection of civilians was part of the credo of the Ivorian army.	4
Demands that all parties immediately cease all forms of violence and human rights abuses against the civilian population in [the affected country], in particular gender-based violence, including rape and other forms of sexual violence ...	1
A number of incidents during the reporting period indicate friction between the CIS peacekeeping force and the Georgian side, including the detention of trucks from the CIS peacekeeping force (see para. 17), the temporary detainment of a CIS peacekeeping force soldier, the installation of electricity meters at CIS peacekeeping force checkpoints and a demonstration protesting the presence of the CIS peacekeeping force in Georgia.	1
"""The Security Council underlines the importance of exploring the potential and existing capacities of regional and subregional organizations in the field of peace and security, covering, inter alia, the spectrum of conflict prevention, confidence-building, conflict resolution, peacemaking, peacekeeping, and post-conflict peacebuilding, and welcomes regional dialogue and the promotion of shared norms as well as common regional approaches to the settlement of disputes and other issues relating to peace and security."	0
The freedom of movement of UNIFIL and the security and safety of its personnel are integral to the effective execution of the Force's mandate.	0
The members of the commission highlighted that history showed that States that committed such heinous crimes against their own people were a perpetual source of instability and insecurity for their neighbours.	3
(c) Prevent the direct or indirect supply, sale or transfer, to these individuals, groups, undertakings and entities from their territories or by their nationals outside their territories, or using their flag vessels or aircraft, of arms and related materiel of all types including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts for the aforementioned and technical advice, assistance, or training related to military activities; and recalls that all States shall implement the measures with respect to listed individuals and entities;	0
Therefore, at the end of September, the Joint Implementation Mechanism agreed on measures to harmonize the implementation of the plan of action with existing elements of the N'Djamena ceasefire agreement of 8 April 2004 so as to reduce the chances of such consequences being repeated.	4
153. The subregion has made good progress in complying with resolution 1373 (2001), particularly in countering the financing of terrorism and in the adoption of measures relating to port and airport control.	2
In addition, Abdel-Al received a call on 11 February 2005 at 2217 hours from the same telephone booth used to call Al-Jazeera shortly after the blast on 14 February.	0
103. Clearly, terrorists will use the most reliable and effective arms that they can obtain.	1
There is no teller who can verify the identity of the client face to face and the indirect due diligence procedures that do exist are vulnerable to abuse because of the levels of client anonymity and the lack of direct oversight.	0
152. The case described above has attracted attention, but the Group observed other, unreported, examples of the importation of vehicles for military use.	1
11. Working Group 3 of the Contact Group on Piracy off the Coast of Somalia submitted interim guidelines on measures relating to the welfare of seafarers and their families affected by piracy off the coast of Somalia to IMO so that they could be used as a reference framework in dealing with the welfare of seafarers affected by piracy in other parts of the world.	0
283. On the basis of its investigations and the pattern of air attacks which it has established, the Commission is of the view that the military bears responsibility for a very large number of indiscriminate air attacks which resulted in the death of numerous civilians.	1
In addition to the 12 individuals on the List recorded as dead, the Team is aware of 7 others who have been reported as dead by their State of residence or citizenship either to the Committee, the Team or INTERPOL, and a further 13 whose deaths have been reported in open sources but not yet notified officially to the Committee or to the Team.	1
Accordingly, 317 sets of remains have been retrieved from Iraqi territory. The remains of 232 Kuwaiti prisoners of war found in Iraqi territory have been identified (four other prisoners have been identified at the Sabhan burial site in Kuwait). For information.	1
52. Reiterates the need to enhance ongoing cooperation among the Committee, the Counter-Terrorism Committee (CTC) and the Committee established pursuant to resolution 1540 (2004), as well as their respective groups of experts, including through, as appropriate, enhanced information-sharing, coordination on visits to countries within their respective mandates, on facilitating and monitoring technical assistance, on relations with international and regional organizations and agencies and on other issues of relevance to all three committees, expresses its intention to provide guidance to the committees on areas of common interest in order better to coordinate their efforts and facilitate such cooperation, and requests the Secretary-General to make the necessary arrangements for the groups to be colocated as soon as possible;	4
In response to this wave of violence, MINUSTAH and the Haitian National Police mounted several successful operations to rescue abductees, and a significant number of suspected kidnappers have been arrested.	2
In some cases, displaced persons were prevented from accessing their cattle and crops nearby by the threat of attacks outside the camps by Janjaweed.	3
Two of them were wounded, but managed to survive thanks to assistance provided by the Red Cross.	1
Welcoming the Burundian authorities' efforts to fight impunity, in particular the trial and conviction of some of the perpetrators of the Muyinga massacre,	3
Most frequently civilians are caught in circumstances of dire need where a peacekeeping operation has not been established. Such situations may require the Council's urgent attention.	0
One State noted that it had established an international centre for interfaith dialogue and had organized and hosted many related events.	0
75. The President also sought the guidance of the members of the Council on the enforcement of the format for the wrap-up session of 31 May as set out in the letter dated 23 May from the President to the United Nations Members.	0
54. The MINUSTAH integrated Mission headquarters was fully established on 27 June.	0
This remains one of the major ways in which the negative forces access arms and are allowed to reorganize.	0
The notion is widely accepted in international humanitarian law that each army, militia or military unit engaging in fighting, in either an international or internal armed conflict, must have a commander charged with maintaining discipline and ensuring compliance with the law.	0
Too little information is available to determine the overall institutional or operational approach taken by Governments with regard to countering terrorism or overseeing counter-terrorism activities.	0
1. Unequivocally condemns all acts, methods and practices of terrorism as criminal and unjustifiable, regardless of their motivation, in all their forms and manifestations, wherever and by whomever committed, in particular those which could threaten international peace and security;	3
While the Commission is satisfied, on the basis of evidence of independent witnesses, that F-FDTL initiated the exchange of fire, at the time each side believed that they had been attacked by the other.	1
Two civilians are killed, four persons suffer firearm injuries, two persons suffer other serious injuries.	1
"The Minister stated that once the Government received information that there were rebels within a certain village, ""it is no longer a civilian locality, it becomes a military target""."	1
It has therefore confined itself to collecting reliable information about persons who might be suspected of being responsible for crimes in Darfur.	0
The addition of these names further demonstrates the continued concern of the Committee at the threat to international peace and security posed by the Taliban.	3
(f) Afford one another the greatest measure of assistance in connection with criminal investigations or criminal proceedings relating to the financing or support of terrorist acts, including assistance in obtaining evidence in their possession necessary for the proceedings;	0
The Council also called upon Croatia and the Federal Republic of Yugoslavia to fully cooperate with the Mission and to ensure the safety and full and unrestricted freedom of movement of the observers.	0
:: We received the DNA results and the maps of the crime scene	0
The meeting also discussed ways and means of increasing pressure on the foreign armed groups and steps to be taken in that regard by the participating States, the African Union and the Security Council.	0
Opposition forces -- of Mohamed Ibrahim Habsade -- took control of Baidoa on or about 26 or 27 March by routing the militias of President Yusuf and Sheik Madobe.	1
62. With regard to matrix-related tasks, the agreement by the Committee to a new format was an important step forward.	4
21. The revised strategy envisages both the preparation of more targeted, detailed and sophisticated technical assistance proposals, and more active engagement by the Executive Directorate with key donors, aimed at achieving a better understanding of their priorities and capabilities.	2
Thereafter, those officers remained under his command and were armed with Steyr weapons.	0
Border control and law enforcement capacity appear to be weak, although hosting the Cricket World Cup in the Caribbean in 2007 appears to have brought some improvements in those areas.	0
"At the 5962nd meeting of the Security Council, held on 19 August 2008, in connection with the Council's consideration of the item entitled ""Threats to international peace and security caused by terrorist acts"", the President of the Security Council made the following statement on behalf of the Council:"	0
She said that ISIL and all other parties to the conflict were killing and injuring people and destroying villages, towns and cities with impunity.	1
The Office for Disarmament Affairs made efforts to raise awareness among potential donors in support of the Office-organized regional seminars and workshops.	0
(d) Issuing the declaration of exceptional risk for the purposes of article 1 (c) (ii) of the Convention on the Safety of United Nations and Associated Personnel, in situations where in its assessment circumstances would support such a declaration, and inviting the Secretary-General to advise the Security Council, where in his assessment circumstances would support such a declaration;	0
1. Decides that all States shall refrain from providing any form of support to non-State actors that attempt to develop, acquire, manufacture, possess, transport, transfer or use nuclear, chemical or biological weapons and their means of delivery;	0
Not every State has a stand-alone counter-terrorism strategy, but all have developed a range of counter-terrorism policies and practices, and established a national agency or centre, with a legislative mandate to guide it in its work, to manage counter-terrorism measures.	0
70. Over the reporting period, the Department of Youth implemented programmes in the area of non-formal education, community service and student exchange and scholarship.	0
The Security Council reaffirms the principle of non-refoulement of refugees, as provided for in relevant instruments of international law, welcomes recent efforts of countries neighbouring [the affected State] to support the voluntary repatriation of refugees in safety and dignity, and urges those host States to continue to provide international protection to [those] refugees in need of it. It encourages the international community to provide the necessary assistance in this regard.	4
19. As at the end of the reporting period, three individuals were on the sanctions list of the Security Council Committee established pursuant to resolution 2140 (2014), having been designated on 7 November.	1
They also arrested 15 FACI pilots and technicians, all from the Russian Federation, Ukraine and Belarus.	1
As of 31 August, more than 29,000 refugees had returned to their home countries, including 11,724 assisted by the United Nations High Commissioner for Refugees and an estimated 18,000 had returned spontaneously to Liberia.	2
This is an essential step forward, in that the responsibility for implementation is delegated to the level where police services are delivered, which in turn maximizes the principle of local ownership.	0
Welcoming the inclusion of women in peacekeeping missions in civil, military and police functions, and recognizing that women and children affected by armed conflict may feel more secure working with and reporting abuse to women in peacekeeping missions, and that the presence of women peacekeepers may encourage local women to participate in the national armed and security forces, thereby helping to build a security sector that is accessible and responsive to all, especially women.	0
Notes that the excessive accumulation and destabilizing effect of small arms and light weapons pose a considerable impediment to the provision of humanitarian assistance and have a potential to exacerbate and prolong conflicts, endanger civilians and undermine security and the confidence required for a return to peace and stability ...	3
In accordance with paragraph 39 of this resolution, the Monitoring Team shall operate under the direction of the Committee established pursuant to resolution 1267 (1999) and shall have the following responsibilities:	0
42. Although Togo is a member of ICCO, the lack of comprehensive statistics and figures in Togo makes it difficult to make a credible estimate of how much cocoa is smuggled to the harbour of Lomé.	0
:: Proliferation risk management through corporate governance and internal compliance management	0
22. At its 44th formal meeting, on 1 May 2014, the Working Group discussed the report of the Secretary-General on children and armed conflict in Mali (S/2014/267), covering the period from January 2012 to December 2013.	4
The paper, which was drafted by the Working Group on Returns with the input of UNHCR, was presented to major asylum States. In the paper, UNMIK appealed for a moratorium on forced and induced repatriation during the winter months.	0
115. The current embargo could have more effect on the Taliban if it took this into account and if all non-State actors in Afghanistan were prevented from buying weapons, with necessary exemptions for humanitarian and other purposes, as authorized by the Government of Afghanistan or the Security Council.	1
In a note, Theo Van Boven, the former Special Rapporteur for the Sub-Commission on Prevention of Discrimination and Protection of Minorities, referred to this provision as being more elaborate and specific about the victims' right to obtain reparation than any previous international human rights treaty.	0
The Commission finds that the crimes of sexual violence committed in Darfur may amount to rape as a crime against humanity, or sexual slavery as a crime against humanity.	1
Among them was one 15-year-old boy who had been arrested in Nyala, Northern Darfur, in November 2004 when he was returning home from work.	1
This traditional discrimination under the songbun system was recently complicated by increasing marketization in the Democratic People's Republic of Korea and by the influence of money, including foreign currency, on people's ability to have greater access their economic, social and cultural rights.	1
In this regard, in a letter dated 1 August 2008 to the President of the Security Council, the Committee conveyed its recommendations to the Security Council concerning the imposition of targeted measures against individuals and entities as designated by the Committee.	0
[S]tresses the responsibility of all parties and armed groups in [the affected country] to take appropriate steps to protect the civilian population in the country, consistent with international humanitarian, human rights and refugee law, in particular by avoiding any indiscriminate or excessive use of force in populated areas.	0
The investigation and prosecution of cases involving new payment methods requires a high level of technical skill and speedy action by the authorities. They also require enhanced forms of international cooperation, especially in the preservation of electronic evidence.	0
Concerned by the unending abandonment and widespread distress of the populations in the regions of northern Mali, referred to by some as the Azawad (a term recognized by the previous peace agreements), in the absence of a definitive settlement of the conflict whose devastating effects they continue to endure;	3
2. The concept note begins by recalling the Security Council's 15 years of activity on the question of the impact on international peace and security resulting from the interaction of terrorism and cross-border crime. It notes that support for such activity has been strongest where it relates to specific conflict management and resolution efforts already on the Council's agenda.	0
In this regard, the Executive Directorate will continue to match identified priority needs with programmes of current and potential donors and providers in order to enhance the capacity of Member States to counter terrorism and to strengthen the dialogue between the donor community and recipient States.	4
Council members further underlined that the people and the Government of Haiti bear the ultimate responsibility for national reconciliation, the maintenance of a secure and stable environment, the administration of justice and the reconstruction of their country.	0
The Council expresses its concern at the external support received by Chadian armed groups, as reported by the SecretaryGeneral.	3
The relevant authorities have requested that the deadline of 31 October 2005 for the formal request of amendments by the Government of Iraq be moved to 31 December 2005 in order to take fully into account communication problems between the relevant authorities and the suppliers for extensions of the shipment date and the validity of letters of credit.	0
Member States have pointed out that sites that promote terrorism in one country are almost invariably located in another.	0
Together, we will build towards the day when the Iraqi forces assume full responsibility for the maintenance of security and stability in Iraq.	0
429. The Government also cited its acknowledgement of three cases of mistaken bombings. It stated that it compensated the victims of Habila, Umm Gozin, and Tulo.	1
Impose targeted and graduated measures in response to media broadcasts inciting genocide, crimes against humanity, war crimes or other serious violations of human rights law.	1
On 3 and 7 October. the Council issued press statements condemning recent attacks on MINUSMA (SC/11587 and SC/11591).	3
Emphasizing the importance of peace and stability in the region, and the need for peaceful solutions,	0
I condemned such restrictions on United Nations peacekeepers' freedom of movement.	3
I also take this opportunity to underline my concerns regarding challenges in the context of Federal and gubernatorial elections to be held in Nigeria in February 2015, and the serious risks of violence that might occur either because of Boko Haram attacks or because of contestation of the election results.	3
o On 30 November 2014, regime warplanes targeted Tayma market in Hasakeh, injuring 2 people and destroying 7 shops. Medical centres	1
Requests the Secretary-General to develop effective guidelines and strategies to enhance the ability of relevant UN peacekeeping operations, consistent with their mandates, to protect civilians, including women and girls, from all forms of sexual violence and to systematically include in his written reports to the Council on conflict situations his observations concerning the protection of women and girls and recommendations in this regard.	2
Stressing that terrorism can only be defeated by a sustained and comprehensive approach involving the active participation and collaboration of all States, and international and regional organizations to impede, impair, isolate, and incapacitate the terrorist threat,	0
They hoped that this would enable decisive progress to be made in the face-to-face negotiations in the period before the June target date for agreement, endorsed again by the Council.	0
47. Based on accounts received from eyewitnesses, and as indicated in public statements by the Director General of the Police, the security forces were already prepositioned in the early morning of 25 March in several key areas of Abidjan, namely Abobo, Adjamé, Yopougon, Anyama, and Kumassi.	1
No prominent Al-Qaida leader has completed any formal religious training, nor have the majority of its supporters.	0
"President Al-Bashir confirmed in an interview with international media that, in order to rein in the Janjaweed, they were incorporated in ""other areas"", such as the armed forces and the police."	0
Both resolutions emphasize the responsibility of States to investigate and prosecute those suspected of genocide, crimes against humanity and war crimes or other serious violations of international human rights law.	0
One of the soldiers grabbed the child and threw it away on the side of the road.	1
Towards this end, the Committee reiterates that its objective is to achieve measurable, concrete results.	0
Welcoming the establishment of the Office of the Ombudsperson pursuant to resolution 1904 (2009) and the enhancement of the Ombudsperson's mandate in resolutions 1989 (2011) and 2083 (2012), noting the Office of the Ombudsperson's significant contribution in providing additional fairness and transparency, and recalling the Security Council's firm commitment to ensuring that the Office of the Ombudsperson is able to continue to carry out its role effectively, in accordance with its mandate,	4
:: Reports of the Secretary-General: on the safety and security of humanitarian personnel and protection of United Nations personnel (A/68/489), on the protection of civilians in armed conflict (e.g., S/2013/689) and relevant reports on Security Council mandates (e.g., the report of the Secretary-General on Somalia (S/2014/140)).	0
44. During the reporting period, the security situation in the north-eastern Central African Republic continued to suffer from inter-ethnic conflict, banditry and cross-border criminality. Those remained the main threats to security and stability in the Vakaga and Haute-Kotto regions.	1
- Permitting a number of Yugoslav and Serb military and police personnel to return to Kosovo and Metohija (para. 4, paras. 6 and 10 of annex 2, and para. 4 of the Military Technical Agreement).	0
23. Since his arrival in Nairobi on 27 May 2005, my Special Representative has impressed upon leaders in the subregion and others the need to have a coordinated approach towards Somali leaders and to urge them to engage in dialogue and refrain from military action for the resolution of the differences within the transitional federal institutions. On 10 June, he met in Kampala with President Yoweri Museveni of Uganda, and on 29 June he held talks with President Ismail Omar Guelleh of Djibouti and the Executive Secretary of IGAD in Djibouti.	4
72. Requests the Committee to report orally, through its Chair, at least once per year, to the Council on the state of the overall work of the Committee and the Monitoring Team, and, as appropriate, in conjunction with the reports by the Chairs of CTC and the Committee established pursuant to resolution 1540 (2004), expresses its intention to hold informal consultations at least once per year on the work of the Committee, on the basis of reports from the Chair to the Council, and further requests the Chair to hold periodic briefings for all interested Member States;	0
12. Demands that all parties cooperate fully with the operations of MONUC and that they ensure the security of as well as unhindered and immediate access for United Nations and associated personnel in carrying out their mandate, throughout the territory of the Democratic Republic of the Congo, demands in particular that all parties provide full access to MONUC military observers, including in all ports, airports, airfields, military bases and border crossings, and, in addition, that MONUC human rights observers are granted access to detention centres and brassage centres, and requests the Secretary-General to report without delay any failure to comply with these demands;	3
"""The Security Council also reiterates its call to all parties listed in the annexes to the Secretary-General's report on children and armed conflict to address all other violations and abuses committed against children and undertake specific commitments and measures in this regard."	1
"""The Security Council underlines that any attempt to disrupt the peace and transition process in the Democratic Republic of the Congo, including through support for armed groups, will not be tolerated."	0
Delisting 25. Directs the Committee to remove expeditiously individuals and entities on a case-by-case basis that no longer meet the listing criteria outlined in paragraph 2 above, and requests that the Committee give due regard to requests for removal of individuals who have reconciled, in accordance with the 20 July 2010 Kabul Conference Communiqué on dialogue for all those who renounce violence, have no links to international terrorist organizations, including Al-Qaida, respect the constitution, including its human rights provisions, notably the rights of women, and are willing to join in building a peaceful Afghanistan, and as further elaborated in the principles and outcomes of the 5 December 2011 Bonn Conference Conclusions supported by the Government of Afghanistan and the international community;	0
82. While Al-Qaida, the Taliban and their associates may not maintain sophisticated structures and systems that provide operational control of their followers, they have nonetheless a functioning military capability, as indicated, for example, by the insurgency in Afghanistan. At the tactical and operational levels, Al-Qaida, the Taliban and their associates have used both military and civilian equipment, such as short-range radios and mobile and satellite telephones.	3
Modern international humanitarian law does not legally set out the notion of armed conflict.	0
Urges States and all other parties to an armed conflict to do their utmost to prevent violations of international humanitarian law against civilians, including journalists, media professionals and associated personnel.	0
At least 90 countries are affected by IEDs, and Al-Qaida and its affiliates exchange information and advice on how best to construct and use them.	1
Requests the Secretary-General to ensure that his [Special Representatives for neighbouring countries] coordinate the activities of [their respective missions], share military information at their disposal, in particular concerning cross-border movements of armed elements and arms trafficking, and pool their logistic and administrative resources, to an extent that does not affect the ability to carry out their respective mandates, in order to maximize efficiency and cost-effectiveness.	0
During the reporting period, 1 shooting, 14 robberies, 3 abductions and 1 demonstration were recorded. On 9 July, a UNOMIG vehicle was damaged by a stone thrown by a local resident in Zugdidi town.	1
"""The Security Council recalls that justice and rule of law at the international level are of key importance for promoting and maintaining peace, stability and development in the world."	0
Third, the Taliban have suffered the death or arrest of many mid-level and some senior leaders, and while there are many who can take their place, the new commanders are younger and have fewer links with the Quetta Shura, which therefore has less control over their actions and a harder job in asserting its authority over the movement as a whole.	0
118. Terrorism is a driving factor in an increasing number of conflict situations, especially in the Sahel region and the Maghreb.	3
The three countries are aware of the sanctions regime and are taking steps to improve implementation, but they have yet to realize fully how the regime might help their national and regional response to the threat.	0
The politically highly significant outcome of the high-level meeting of the Security Council on combating terrorism held on 20 January 2003 in New York has increased the recognition that the central role in combating this global danger belongs to the United Nations.	0
(b) Criminalize the wilful provision or collection, by any means, directly or indirectly, of funds by their nationals or in their territories with the intention that the funds should be used, or in the knowledge that they are to be used, in order to carry out terrorist acts;	3
