Sentence,Metric,Arabic,Spanish
1,BLEU,0.044956981756297976,0.4657865236517848
2,BLEU,0.4049816418175689,0.30546557568178434
3,BLEU,0.1335828980280541,0.3112484508354807
4,BLEU,0.2165768464503216,0.20331710659744473
5,BLEU,0.5128370364847346,0.5269003930556608
6,BLEU,0.1987634647622127,0.3464020111658723
7,BLEU,0.3502069088596089,0.3606039138675164
8,BLEU,0.7203362668653466,0.4482322899929852
9,BLEU,0.6249950011329976,0.517047754571068
10,BLEU,0.4778818860863725,0.4676469122476106
11,BLEU,0.5877011182954526,0.5569084311856742
12,BLEU,0.4347421820622301,0.7677653723106994
13,BLEU,0.5413767357039081,0.4511728882304714
14,BLEU,0.4417314548043802,0.35901684296349196
15,BLEU,0.7200572789671674,0.45725539550219185
16,BLEU,0.7920562506986097,0.5487100192618498
17,BLEU,0.37616771460725146,0.5485410788232188
18,BLEU,0.670135301470682,0.4836299098607122
19,BLEU,0.6493753930680446,0.7728082326259648
20,BLEU,0.6378254836906203,0.5434301601263285
21,BLEU,0.7912619863720214,0.3698609382069886
22,BLEU,0.8183927040921126,0.945736483174624
23,BLEU,0.8091067115702212,0.6147881529512643
24,BLEU,0.3187271473320672,0.08097785064266204
25,BLEU,0.46075381042138397,0.450024169909343
26,BLEU,0.0363288074819994,0.6317498622799442
27,BLEU,0.4183007445500922,0.08618926734124881
28,BLEU,0.36425272991948293,0.47413825598126574
29,BLEU,0.5430491593476937,0.9194353966999143
30,BLEU,0.7048776954661207,0.6734493290339736
31,BLEU,0.48902552903350915,0.47512540550768617
32,BLEU,0.37772491512950374,0.3663673588357124
33,BLEU,0.595209369349193,0.48002923662039676
34,BLEU,0.7937559205024689,0.7216597075217096
35,BLEU,0.5470881330471072,0.6567939165466561
36,BLEU,0.5374696226546319,0.5041516908234717
37,BLEU,0.3665621648838176,0.28174070136627594
38,BLEU,0.4702977441989501,0.7564674885977271
39,BLEU,0.6868263383895689,0.6392788292534212
40,BLEU,0.004549741802369617,0.570434647201574
41,BLEU,0.38938840884216436,0.6359717271117833
42,BLEU,0.5579817613446436,0.5572806310452209
43,BLEU,0.4063022828070775,0.2724690113780335
44,BLEU,0.3584668928097086,0.4859722357681844
45,BLEU,0.6872850358503175,0.6862370759497918
46,BLEU,0.5158953138516872,0.5599757718404348
47,BLEU,0.555975387034069,0.49669662302319934
48,BLEU,0.682449197666817,0.6068410610880497
49,BLEU,0.29515834041239286,0.5917866880390407
50,BLEU,0.5619247757747732,0.6678045120473646
51,BLEU,0.3013040489278569,0.05119289102800112
52,BLEU,0.2423397655766664,0.2859768583245386
53,BLEU,0.5528962459751369,0.34082489191453913
54,BLEU,0.6031429853746778,0.5425971142479509
55,BLEU,0.7195747713576678,0.6021432919665574
56,BLEU,0.3403336518440549,0.05970228993860437
57,BLEU,0.3419372521950973,0.39328368415488135
58,BLEU,0.24797984721910182,0.08124643758248418
59,BLEU,0.4576803290459217,0.5002074387151596
60,BLEU,0.4600545023284529,0.45486727739500965
61,BLEU,0.2773001515072715,0.4723243812802244
62,BLEU,0.6051475274955804,0.25743005077229947
63,BLEU,0.8151146576343006,0.7169586614421788
64,BLEU,0.2937529813282705,0.4526025542605533
65,BLEU,0.2817682104548206,0.20853180741017607
66,BLEU,0.7198468522921448,0.545010740696577
67,BLEU,0.2215149624678284,0.27720757489078257
68,BLEU,0.2686852659963609,0.35110919779228444
69,BLEU,0.4201337466590326,0.4702977441989501
70,BLEU,0.21348747167238605,0.3253251644753837
71,BLEU,1.0,0.056122223243057295
72,BLEU,0.2894107236793256,0.7309044087551924
73,BLEU,0.5291973492803389,0.40268878860330026
74,BLEU,0.7483293841345244,0.5919783121240433
75,BLEU,0.5193071778680676,0.317023313852343
76,BLEU,0.6424431102649625,0.461629809275661
77,BLEU,0.23521527289659805,0.6241222560313034
78,BLEU,0.8942255541978509,0.35885262946480795
79,BLEU,0.169143126564525,0.20940142524264327
80,BLEU,0.1004877071264788,0.432213318715243
81,BLEU,0.5522193830521022,0.5085513284128098
82,BLEU,0.4017682558797497,0.5142401605028263
83,BLEU,0.23207953703613785,0.0743977384541103
84,BLEU,0.8392947005251236,0.5553306012617849
85,BLEU,0.499970634011561,0.6568125048067547
86,BLEU,0.6002314985235407,0.7659552353576201
87,BLEU,0.57703623574782,0.6879419393521872
88,BLEU,0.4210850044396166,0.25376918567786827
89,BLEU,0.5308567508963254,0.49205614733670944
90,BLEU,0.6039450015709865,0.9506885335787997
91,BLEU,0.4779060860633891,0.2666625542168086
92,BLEU,0.46065273466441553,0.5971070986250356
93,BLEU,0.5015087191672934,0.6908303928159438
94,BLEU,0.06004452177880191,0.44709409953859064
95,BLEU,0.5826372195744199,0.4119912442185993
96,BLEU,0.048549177170732344,0.21711852081087685
97,BLEU,0.6342551239043109,0.73520822883979
98,BLEU,0.32594818888335836,0.42818185319516083
99,BLEU,0.06507204789274092,0.03593324639860391
100,BLEU,0.29775662594966135,0.5574550592157462
101,BLEU,0.5554711929071049,0.672052934133914
102,BLEU,0.329340597116918,0.1967274688523915
103,BLEU,0.4366835442847812,0.7348889200874658
104,BLEU,0.42311785416105785,0.630190855592386
105,BLEU,0.44922063647621924,0.38563845911761396
106,BLEU,0.4800373562768569,0.4323177783155442
107,BLEU,0.5006502219002354,0.2631052939563563
108,BLEU,0.4246183605185108,0.521293092410309
109,BLEU,0.5805399561362194,0.5671276403520978
110,BLEU,0.3319672446060429,0.265299785765167
111,BLEU,0.5166138219860166,0.6482362835568274
112,BLEU,0.5688710809503011,0.7729118182143111
113,BLEU,0.4111336169005197,0.6635357047086508
114,BLEU,0.5781396287180781,0.3229365231336651
115,BLEU,0.2891784933232572,0.15133218633429316
116,BLEU,0.27768190272719,0.2788569356565234
117,BLEU,0.44888869737054277,0.42405888675673215
118,BLEU,0.3396614093821555,0.21690365808279138
119,BLEU,0.4635211068498284,0.3743960173983248
120,BLEU,0.5515063761045615,0.6986465004821283
121,BLEU,0.2675087393232737,0.07231092487418496
122,BLEU,0.6090829631034764,0.6581989462445357
123,BLEU,0.4991383405036513,0.5863020151906513
124,BLEU,0.6540100151828886,0.43924776737421584
125,BLEU,0.11923537359631103,0.12434875355038401
126,BLEU,0.24912125084000772,0.4107602156906515
127,BLEU,0.7870788962973252,0.8463054114812383
128,BLEU,1.0,0.6236362995619311
129,BLEU,0.4261082723917018,0.8153551038173115
130,BLEU,0.641214511218858,0.3613191553849968
131,BLEU,0.14459757409463073,0.8656030552541708
132,BLEU,0.3717537388209039,0.35181775918891167
133,BLEU,0.2740899731303482,0.4300715617743934
134,BLEU,0.4111336169005197,0.017033186037639283
135,BLEU,0.6880430849756438,0.6599676362367708
136,BLEU,0.5179597484328193,0.3883375900135818
137,BLEU,0.374173742650631,0.34709247204129007
138,BLEU,0.45010296726217003,0.5121746063496426
139,BLEU,0.19064508333908012,0.2473916146798932
140,BLEU,0.43810835784126073,0.3920902258831665
141,BLEU,0.6573798604900214,0.7254204378043243
142,BLEU,0.17567205239427922,0.14923729480049117
143,BLEU,0.6230832293767097,0.549696364469696
144,BLEU,0.12462475429961065,0.41705072916341307
145,BLEU,0.10110879968368389,0.09072786082093928
146,BLEU,0.580810753506493,0.5903395115814628
147,BLEU,0.2979336086860004,0.5255188957668249
148,BLEU,0.3914248730071071,0.45361975397736937
149,BLEU,0.47491521942860443,0.36793515305308927
150,BLEU,0.78420013158704,0.7740214086701694
151,BLEU,0.7854017110523374,0.3583103050997531
152,BLEU,0.6755783244255311,0.635741304460827
153,BLEU,0.8008037174337301,0.7426911089691813
154,BLEU,0.6435975705841538,0.5815993850969932
