ar	Relevant
"Chile, Colombia, Paraguay, Peru, Chile, and Colombia have enacted legislation granting special investigative powers to law enforcement authorities."	1
"To request the Secretariat to provide updates on the issue of potential duplicate awards in categories A and C for further consideration by the Working Group at its future meetings, to keep the issue on the agenda of the next session of the Governing Council, and to approve the Secretariat's request to extend the contracts of five staff members until December 31, 2005, to support the forensic accounting experts and to implement any recommendations that may be made regarding potential duplicate awards."	0
"But while the team does not see online paramilitary technical advice as a threat comparable to field training, its potential is growing as the quality of the advice provided improves."	1
"The establishment of a priority investment program for 2015-2017 amounting to 7,208 billion CFA francs (about $15 billion)."	0
He emphasized the need to promote dialogue within the framework of the TFIs and encouraged his interlocutors to use their influence to that end.	1
The stakes are undoubtedly high because failing to meet the CPA deadline for the referendums could have serious consequences.	1
Some Council members expressed concern that conditions have not yet allowed for investigations into crimes committed by the rebels to begin.	1
"The Counter-Terrorism Committee Executive Directorate, for example, has worked extensively with states to build their border management capacity to control terrorist movements and their criminal justice capacity to address money laundering."	1
7. Calls upon all States to comply with the provisions of this resolution notwithstanding the existence of any rights or obligations conferred or imposed by any international agreement or contract entered into or any license or authorization granted prior to the date of entry into force of the measures imposed in paragraph 4 above.	1
"2. Calls upon the Syrian Government to visibly implement all commitments it agreed to in the preliminary understanding and as stipulated in resolution 2042 (2012), namely (a) to cease troop movements towards population centers, (b) to cease all use of heavy weapons in those centers, and (c) to complete the withdrawal of military concentrations in and around population centers, as well as to withdraw its forces and heavy weapons from population centers back to their barracks or temporary deployment sites to facilitate a sustained ceasefire."	1
"16. Exemptions to the arms embargo are set out in paragraph 54 of resolution 2127 (2013) and may be granted for: supplies intended solely for the support or use of MICOPAX, MISCA, BINUCA and its guard unit, the African Union Regional Task Force and the French forces deployed in the Central African Republic (para. 54 (a)); supplies of non-lethal military equipment intended solely for humanitarian and protective use, and related technical assistance or training (para. 54 (b)); or protective clothing, including flak jackets (para. 54 (c)); supplies of small arms and other related equipment intended solely for use in international patrols providing security in the Sangha River Protected Area shared by three countries to protect it from poaching, smuggling of ivory and arms, and other activities contrary to the national laws of the Central African Republic or the international legal obligations of the Central African Republic (para. 54 (d)); supplies of arms and related lethal equipment to the Central African Republic security forces, intended solely to support and utilize the Central African Republic's security sector reform process, as approved in advance by the Committee (a); or supplies of weapons and related lethal equipment to the Central African Republic's security forces, intended solely to support the Central African Republic's security sector reform process, as approved in advance by the Committee (para. 54 (e))."	1
