id	ar	QuadClass
2005/s/2005/636/29:1	H. Prevent and address sexual exploitation and abuse by United Nations personnel, relevant personnel and United Nations partners;	2
2008/s/prst/2008/45/2:1	At the 6043rd meeting of the Security Council, on 9 December 2008, the President of the Security Council, on behalf of the Council, made the following statement in relation to the Councilâs consideration of the item entitled âThreats to international peace and security caused by terrorismâ:	0
2010/s/prst/2010/25/568:1	Mine action and explosive remnants of war	0
2012/s/res/2083__2012_/178:1	(c) Transmit all information provided to the Committee to the Ombudsman regarding the decision, pursuant to paragraph 14 above.	0
2013/s/2013/792/18:1	6. Building on the comprehensive review of all items on the list completed in 2010 pursuant to paragraph 25 of resolution 1822 (2008), the Committee has since implemented a large number of mechanisms to ensure that the list gives the most accurate picture possible of the threat posed by Al-Qaida, and to ensure reconsideration Periodically review each item to determine whether there is justification for keeping it on the list.	2
2008/s/2008/258/81:3	For many States, the lack of sufficient capacity represents a major challenge in effectively monitoring and enforcing the arms embargo.	0
2011/s/2011/463/168:5	Three countries have introduced procedures prohibiting the extradition of individuals who may be subjected to torture or persecution.	2
2005/s/2005/636/676:1	Ensure effective coordination and implementation of mine action policy and guidelines for mine action programmes. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (chaired by the Department of Peacekeeping Operations and UNDP) The Working Group provides strategic advice including on training modules, policies and strategies; It administers and reviews the guidelines developed by the United Nations in the field of disarmament, demobilization and reintegration; Develops and manages the United Nations Resource Center on Disarmament, Demobilization and Reintegration; It facilitates the planning of disarmament, demobilization and reintegration operations among the various United Nations agencies involved.	2
2014/s/2014/935/80:2	He also explained that the Lebanese Parliament&#39;s failure to elect a new president has undermined Lebanon&#39;s stability and ability to withstand since the outbreak of the conflict in the Syrian Arab Republic.	3
2014/s/2014/731/14:3	Women and children, especially girls, have been affected by emerging violence and conflicts resulting from the proliferation of militias and armed groups linked in some cases to violent extremism, while many long-standing conflicts are still awaiting resolution.	1
2007/s/2007/677/102:2	Very few were selected for review, and ultimately, after completing all the procedures outlined in the Committee&#39;s guidelines, including efforts to obtain information from other relevant States, the review concluded without any changes to the list.	0
2014/s/2014/957/82:1	60 - Supporting the restoration of minimal state authority in a sustainable manner and extending it to areas liberated from armed groups requires strengthening the governmentâs commitment to deploying the stateâs administrative apparatus, including police, judicial and prison personnel, and the necessary resources.	2
2012/s/prst/2012/24/10:1	âThe Security Council urges States and international organizations, as well as the private sector, to exchange evidence, information and intelligence, as appropriate, for the purposes of enforcing anti-piracy laws, including with a view to ensuring the effective prosecution of suspects and the imprisonment of convicted pirates, and reviews the initiatives currently taken in this regard.â and in the future.	4
2005/s/2005/60/462:2	In another case, that court once again considered the various elements of an attack directed against a civilian population to be part of the definition of crimes against humanity.	4
2000/s/2000/1196/59:5	In response, the Mission&#39;s Department of Justice established a joint working group with the institution-building component to study the report and devise ways to implement its recommendations.	4
2014/s/2014/369/37:1	(a) Continue to strengthen its cooperation with international, regional and subregional organizations and develop modalities for working with those organizations on a case-by-case basis, in a manner that reflects the differences in the capacity and mandate of each organization, including working exchanges and briefings provided and received by the Committee Strengthening arrangements for information exchange;	2
1999/s/prst/1999/6/19:1	âThe Security Council strongly condemns the deliberate targeting of civilians by combatants in armed conflicts and calls on all parties concerned to put an end to these violations of international humanitarian law and human rights law.	3
2011/s/2011/463/395:4	States must also prevent those who finance, plan, facilitate or commit terrorist acts from using their territories to implement those goals against other states or against the citizens of those states (paragraph 2 (d)).	2
2014/s/res/2160__2014_/35:1	(d) or provide any other form of support to their business or activities;	1
2001/s/res/1363_2001_/14:1	(a) A monitoring team in New York consisting of up to five experts, including the Chairman of the Group, in order to monitor the implementation of all measures imposed under resolutions 1267 (1999) and 1333 (2000), in all fields, including those related to the arms embargo and combating Terrorism and related legislation, money laundering, financial transactions and drug trafficking, given the link between arms purchases and terrorist financing;	2
2005/s/2005/572/96:1	21 - The latest additions to the list include terrorists and terrorist groups linked to Al-Qaeda and operating in Central Asia, South Asia, Southeast Asia and the Middle East, including Iraq.	0
2014/s/2014/902/70:4	The regime arrested approximately 47 individuals believed to have been forcibly recruited into the regime forces.	1
2003/s/2003/90/107:3	On the other hand, death squads and militias composed of independent elements spread terror and commit acts of execution and kidnapping.	1
2010/s/prst/2010/25/782:1	(c) Further calls on all parties named in the annexes to the report of the Secretary-General on children and armed conflict to address all other violations and attacks committed against children, and to make commitments and take specific measures in this regard;	4
2000/s/2000/1190/73:1	At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), in which it authorized, inter alia, the extension of the mandate of the United Nations Observer Mission in Privlaka until 15 January 2001 to continue monitoring the demilitarization of the peninsula.	2
2011/s/2011/245/55:3	The Security Council must now seek to reassure the courts that the sanctions regime established pursuant to resolution 1267 (1999) (the 1267 sanctions regime) is fair and, with increasing support from Member States, reaffirm the original purpose of the regime, which was to rid the world of The threat of terrorism posed by Al-Qaeda, the Taliban and their associated entities on the list.	2
2006/s/2006/154/104:3	In fact, with the exception of Bin Laden, Al-Zarqawi, Mullah Omar, and other known terrorists, the public may know relatively little about many of the individuals on the list.	0
2005/s/2005/60/183:3	An additional problem was that the government did not appear to have sufficient military resources given that many of its forces were still present in the south and those in Darfur were mainly distributed among the main urban centres.	1
2014/s/2014/740/53:1	43 - Following the publication of ISO 28007 regarding guidelines for private maritime security companies providing privately contracted armed security personnel on board ships, a private maritime security company can now be declared compliant with this voluntary standard. In order to facilitate uniform international implementation.	0
2006/s/2006/822/44:1	8 May 2006 A violent incident occurred in Gleno, where eastern officers of the National Police Force of Timor-Leste were attacked.	1
2014/s/2014/943/6:2	The mediation team held bilateral discussions with the government and the Coordination Council consisting of the National Movement for the Liberation of Azawad, the Supreme Council for the Unity of Azawad and the Arab Movement for Azawad, joined by persons from the Second Coordination Council of the National Movements and Forces of Resistance, and a faction of the Coalition of the People for the Azawad, on the one hand, and on the other hand Other, with the government and armed groups of the Preliminary Plan Coalition, which includes the First Coordination Council of the Movements, the National Forces of Resistance, the Coalition of the People for Azawad and the other faction of the Arab Movement of Azawad, as well as individuals from the Imghad Tuareg group and their allies for self-defense (GATIA) called by the Preliminary Plan Coalition.	4
2014/s/res/2160__2014_/79:1	(c) Individuals on the list who have been reported dead, together with an assessment of the necessary information set out in paragraph 28 (c) and, to the extent possible, the status and location of the frozen assets and the names of any individuals or entities that may be able to receive any of these assets after the freeze is lifted. ;	0
2010/s/2010/52/43:1	31. Both States and many international actors welcomed the openness of the comprehensive review process and urged the 1540 Committee to continue this approach and increase its already useful efforts towards transparency and inclusiveness.	4
2005/s/2005/60/681:6	They attacked and killed 54 people and injured 24 others, burned houses before withdrawing, and looted cows and household possessions.	1
2000/s/2000/1190/94:1	We also decided to hold two discussions on the topics of conflict prevention and children in armed conflict on 20 and 26 July, respectively.	4
2005/s/2005/699/316:1	103 - The Air Force of CÃ´te d&#39;Ivoire transferred all its intact and damaged air assets to the air base at Abidjan International Airport.	2
2014/s/2014/943/36:2	In Lerneb (Timbuktu province), in September, the Arab Movement of Azawad (MAP) warned in several public meetings that it would punish local residents who provided information to MINUSCA and French forces. On September 23, the headless body of a man was found in the Zoueira region, 80 kilometers north of Timbuktu. He was one of five men kidnapped by Al-Qaeda in the Islamic Maghreb on September 16 and accused of collaborating with international forces. They have since disappeared.	1
2005/s/2005/686/29:1	With the completion of claims processing in June 2005, the main task remaining for the members of the Committee will be to pay compensation to the holders of approved claims.	0
2005/s/2005/60/254:1	121 - The âJanjaweedâ to whom most of the victims in the ongoing conflict refer are Arab militias that raid the villages of these victims riding horses or camels, killing, looting, burning and raping.	1
2008/s/2008/379/226:7	In addition, the European Union applies a supranational regime aimed at ensuring that terrorist funds and assets are frozen within all its Member States.	2
2014/s/res/2178__2014_/55:1	23. Requests the Analytical Support and Sanctions Monitoring Team, in close cooperation with other United Nations counter-terrorism bodies, to submit a report to the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) within 180 days, and to submit it to the Committee within 60 days. A preliminary oral statement on the latest developments regarding the threat posed by foreign terrorist fighters recruited by ISIS, Al-Nusra Front, and all groups, institutions, and entities associated with Al-Qaeda or who have joined its ranks, includes the following:	2
2010/s/2010/462/10:4	The General Assembly unanimously adopted later in 2006 the Global Counter-Terrorism Strategy, which was of great importance in reaffirming the collective commitment of the international community to confront the threat of terrorism that threatens everyone.	2
2014/s/2014/902/124:1	Water stations On November 23, 2014, ISIS detonated a car bomb near a water purification station in the village of Maidan in Hasakah, causing significant damage to the station. Power plants	1
2010/s/2010/528/133:1	94. Despite recent progress, logistical, political and security constraints will make the demobilization and reintegration of the 180,000 ex-combatants planned by the end of the Comprehensive Peace Agreement period very difficult.	1
2010/s/2010/522/57:4	The Government, in cooperation with the United Nations country team and with input from the World Bank, has also prepared a booklet on the Millennium Development Goals that summarizes Timor-Leste&#39;s current position and identifies indicators for achieving those goals and their policy implications.	2
2012/s/2012/373/449:2	Yet here we find police recruits, far from Addis Ababa, let alone Rome or The Hague, who have heard of the International Criminal Court and are concerned about their criminal responsibility before it.	0
2012/s/res/2082__2012_/71:1	(c) A list of individuals reported dead among those listed, and entities for which it is stated or confirmed that they are no longer in existence, together with the documentation required in paragraph 23 (c);	0
2005/s/2005/603/95:2	However, many areas of the country lack detention capacities and any functioning courts, forcing law enforcement authorities to release presumed dangerous perpetrators or to submit requests to UNAMI units to detain suspects for security reasons and to protect civilians.	1
2005/s/2005/60/640:5	6 men were killed and buried in one grave.	1
2000/s/2000/1196/105:2	The Department is responsible for organizing and managing the Kosovo Protection Corps as well as planning and coordinating the implementation of emergency response to natural and other disasters.	2
2005/s/2005/60/457:3	Such precautions are set out in customary international law, and are as follows: The belligerent must (a) do everything possible to verify that the targets to be attacked are not civilian in nature; (b) Take all possible precautions when choosing means and methods of combat to avoid, or at least reduce to a minimum, incidental injury to civilians or civilian objects; (c) Refrain from launching attacks that might be expected to cause incidental loss of civilian life or injury or incidental injury to civilian objects, which would be excessive in relation to the specific direct military advantage anticipated; (d) Giving effective advance warning of attacks that might affect the civilian population, except in cases of attack, as provided in Article 26 of the Hague Regulations of 1907, or as provided in Article 57 (2) (c) Its text is &#39;unless circumstances permit it&#39;, that is, when the warrior considers that a surprise attack is indispensable.	2
2011/s/2011/463/181:2	It has enacted anti-terrorism legislation and made efforts to further strengthen coordination and cooperation at the regional level, especially in the maritime context.	2
2005/s/2005/634/17:2	The main security concerns relate to criminal activity and factional fighting.	1
2014/s/prst/2014/3/798:1	Emphasizes the necessity of holding accountable all those responsible for the violation and abuse of human rights, and stresses the need to conduct a comprehensive, independent and impartial investigation that meets international standards regarding the alleged violation and abuse of human rights to prevent impunity and ensure full accountability;	3
2006/s/2006/154/290:2	The sites range from those created to promote specific individuals, such as Shamil Basayev in Chechnya, or specific groups, such as Lashkar-e-Taiba in Pakistan, to those intended to justify Al-Qaeda-related terrorism in general, such as Voice of Jihad, or those that provide terrorist training, such as Al-Battar. .	1
2006/s/2006/154/137:1	60. Another aspect of the humanitarian exceptions clause that could be problematic is that it is the State of residence of the listed party that decides whether or not the Committee receives a petition submitted under resolution 1452 (2002), because the private individual or private entities do not allow They may submit a petition directly to the Committee.	0
2003/s/2003/90/60:2	Government leaders and supporters, for their part, accused the National Movement of CÃ´te d&#39;Ivoire and other &quot;rebel movements&quot; of using foreign forces and committing atrocities, most notably the killing of dozens of gendarmes in Bouake.	3
2006/s/2006/822/15:3	The Commission was able to establish a detailed and accurate account of the events of April and May that led to significant loss of life, injuries and widespread damage to property.	2
2005/s/2005/662/498:1	206 - After examining the file, the committee can highlight the following points:	0
2010/s/2010/529/38:2	Officers from the National Security Forces (50 officers in Adre and 42 in AbÃ©chÃ©) were trained.	2
2009/s/2009/671/1:1	Letter dated 22 December 2009 addressed to the President of the Security Council from the Chairman of the Security Council Committee established pursuant to resolution 1518 (2003)	0
2014/s/2014/9/105:3	Although this initiative is a response to the growth of drug trafficking and transnational organized crime in West Africa, the Transnational Crime Units will act as law enforcement centers supporting technical and analytical capacities at the national and regional levels to respond to transnational threats.	2
2014/s/prst/2014/3/708:1	Targeted and progressive measures in response to the illicit trade in small arms and light weapons	1
2005/s/2005/625/91:3	Three days later, Al Jalil purchased 25 AK-47 assault rifles, 2 anti-aircraft guns, 6 PKM machine guns, 4 RPG-2 rocket launchers, and ammunition.	1
2012/s/2012/24/66:8	The Council recognized the usefulness of annual briefings by military component chiefs and also said that it would welcome police chiefs providing similar briefings to it in order to improve their understanding of operational challenges.	4
2011/s/2011/245/126:4	Moreover, the Taliban has retained its ability to import weapons, materials, and labor, and the secret to military success lies in disrupting its supply lines and depriving it of safe areas where its fighters can resort to replenish their energy between operations and train new recruits.	1
2006/s/prst/2006/28/5:3	The Council supports the idea of establishing a unit within the Secretariat to help establish the rule of law, and looks forward to receiving the Secretariatâs proposals on implementing the recommendations contained in paragraph 65 of the Secretary-Generalâs report on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616 ).	4
2005/s/2005/635/40:1	6. The end of the conflict in 1999 had profound effects on the relationship between the various communities in Kosovo, in particular the Kosovo Albanians and Kosovo Serbs.	0
2012/s/2012/244/29:5	In addition, there is a range of Palestinian armed groups active in the country inside and outside refugee camps.	1
2005/s/2005/60/765:1	484. During their discussions with the Committee on their methodology, the Rape Investigation Committees emphasized the broad publicity of their mandate.	4
2005/s/2005/60/677:1	420. The section below assesses the effectiveness of the measures taken by the Government of Sudan, especially with regard to investigating these crimes and bringing their perpetrators to justice.	0
2008/s/2008/379/293:1	Financial Intelligence Units: Establishment and Operation	0
2004/s/prst/2004/21/11:1	âThe Security Council calls on Burundi to prevent any support from its territory to armed groups within the Democratic Republic of the Congo.	3
2005/s/2005/60/145:1	30. The attitude of the governmental authorities towards the Committee was generally characterized by a spirit of cooperation.	4
2012/s/2012/16/99:3	It also emphasizes blocking and stopping websites that contain extremist materials, and regulating problems that arise in this field.	1
2011/s/2011/463/163:5	All countries now criminalize in their domestic laws the provision of safe haven to terrorists and those who support them and the use of their territories to commit or plan terrorist acts against other countries or their citizens.	3
2005/s/2005/60/362:1	195 - Some sources reading the information in this way added another dimension to the conflict.	1
2005/s/2005/60/474:5	After the attack, the entire population of the region headed to Kaylek.	0
2008/s/2008/259/14:6	Some of these recruits into the League from the Maoist army and the Maoist militia are less than 18 years old.	1
2014/s/2014/276/86:1	31- The state considers the spread of the Christian religion a very serious threat, because it opposes the ideology of the official personality cult and provides a basis for social and political organization and interaction outside the stateâs orbit.	1
2012/s/2012/16/45:5	This State believes that such activity, in its most extreme forms, often leads to violent extremism and loss of life.	1
2005/s/2005/60/940:1	634. It is clear from the information collected and verified by the Commission that rape or other forms of sexual violence committed by the Janjaweed militia and government soldiers in Darfur were widespread and systematic and that it is very possible that these acts could be considered a crime against humanity.	1
2005/s/2005/60/569:2	The women and young girls were isolated from the men and detained in an area around the mosque, after which the detainees took them away to rape them.	1
2005/s/2005/678/3:3	At that meeting, the parties agreed to continue cooperation on issues related to the conduct of a railway survey and the return of refugees and internally displaced persons.	1
2005/s/2005/60/712:1	452 - In Article 31 of the National Security Law, an order was issued by the Director-General, stating that a security officer may arrest, search, detain and investigate a person. He has three days during which to present the detainee with the reasons for his arrest and detention.	4
2010/s/prst/2010/19/9:1	âThe Security Council recognizes that terrorism cannot be defeated by military force, law enforcement measures and intelligence operations alone, and stresses the need to address the conditions conducive to the spread of terrorism, including but not limited to the need to intensify efforts to successfully prevent and resolve protracted conflicts.â Peacefully, and the need to strengthen the rule of law, protection of human rights and fundamental freedoms, good governance, tolerance and inclusion in order to provide a sound alternative to those who could be vulnerable to recruitment for terrorist purposes and radicalization leading to violence.	1
2007/s/prst/2007/26/6:1	âThe Security Council also reaffirms the need to combat, by all means and in accordance with the Charter of the United Nations, threats to international peace and security resulting from terrorist acts.	4
2006/s/prst/2006/4/5:4	The Council stresses the need to commit without reservation to the process of integration into the armed forces, in compliance with the spirit of the inclusive and comprehensive agreement.	4
2005/s/2005/60/445:16	Many were killed and more than 100 people were injured.	4
2005/s/2005/60/236:4	It is believed that these militias operate mainly under the guise of tribal organization.	1
2005/s/2005/60/626:2	These conventions absolutely prohibit torture, in both internal and international armed conflicts.	1
2005/s/2005/572/210:1	116- The Monitoring Group continues to view the travel ban as one of the important sanctions against Al-Qaeda and the Taliban, noting at the same time the ingenuity shown by terrorists who attempt to cross national borders without being detected.	1
2011/s/2011/463/483:1	284. In some States, the vague or broad definition of terrorist crimes continues to pose a challenge to the effective implementation of resolution 1373 (2001).	1
2014/s/2014/41/83:5	Militant groups may refocus their efforts on their own countries or on other countries if Afghanistan becomes less attractive in terms of their goals.	1
2006/s/res/1735_2006_/42:1	14. Decides that, in determining whether names should be removed from the Consolidated List, the Committee may consider, inter alia, (i) whether the name of the individual or entity has been included in the Consolidated List due to mistaken identity, or (ii) Whether the individual or entity no longer meets the criteria set out in relevant resolutions, in particular resolution 1617 (2005); When conducting the assessment mentioned in point (2) above, the Committee may consider, inter alia, whether the individual has died or whether it has actually been established that the individual or entity has severed all ties, as specified in resolution 1617 (2005), with Al-Qaeda and Osama bin Laden. The Taliban and those who support them, including all individuals and entities included in the Consolidated List; 15. Decides to extend the Committeeâs period of consideration of notifications submitted pursuant to paragraph 1 (a) of resolution 1452 (2002) from 48 hours to three working days;	1
2014/s/2014/902/49:1	On November 8, 2014, regime forces targeted the city of Sheikh Miskin, killing five people, including two children and two women.	0
2005/s/2005/60/351:3	There is general agreement that the escalation coincides with the intensification of the internal armed conflict between the government and the two rebel movements: the Sudan Liberation Movement/Army and the Justice and Equality Movement.	1
2008/s/2008/258/109:1	64 - The issue of small arms cannot be addressed solely by arms control measures. Rather, this issue is an integral part of a broader scope in which issues of conflict, security, armed violence, crime, trade, human rights, health and development intersect.	1
2006/s/2006/822/175:4	The National Police&#39;s perspective, as explained to the Committee, was to arrest the petitioners and hand them over to the National Police if they were moving from one place to another, and that no arrests were authorized.	1
2005/s/2005/60/256:1	123 - When militias participate with the armed forces in an attack, they can be said to be operating under the effective control of the government, in full accordance with the concept of control (established in 1999 in the Tadic case (Appeal), paras. 98-145).	1
2005/s/2005/572/320:1	3 - Commercial dual-use systems are produced for civilian purposes but can also be used in terrorist attacks.	1
2005/s/2005/60/445:3	Two armed helicopters and an Antonov plane were used in the attack, possibly for reconnaissance purposes.	1
2004/s/2004/384/104:2	It is also surprising that no members of the parallel forces were arrested or prosecuted for these crimes.	1
2009/s/prst/2009/1/119:1	Emphasizing the need to exclude and reject any form of amnesty for genocide, crimes against humanity, war crimes and other serious violations of international human rights law in conflict resolution processes and to ensure that any amnesty previously granted does not invalidate the prosecution Before any court established or supported by the United Nations.	2
2008/s/2008/168/8:2	This is the decision according to which, since the date of its issuance, a ban was imposed on trade, economic and financial ties, and existing ties in the field of transport and other fields, with Abkhazia, at the state level.	4
2005/s/2005/60/577:4	They said: Why do you live here, you are slaves.	1
2008/s/2008/259/39:3	Of the 168 children, 135 were kidnapped for recruitment purposes, while 33 children were kidnapped to participate in cultural and political programs or for other reasons.	3
2012/s/2012/16/101:3	Another State held an international seminar in 2009 on strengthening counter-terrorism cooperation and dialogue among government agencies, the media and civil society.	1
2010/s/2010/522/64:2	In response to the bird flu epidemic in the period from mid-2009 to August 2010, the Ministry of Health, with the support of the World Health Organization, developed epidemic preparedness plans that included strengthening supervision systems and obtaining Tamiflu tablets, installed a ventilator in the National Hospital, and implemented a set of training courses for workers in the field. health care.	4
2008/s/2008/160/12:1	Half an hour later, three more jeeps arrived from Chad, supported by a military helicopter, and a confrontation took place again with the Sudanese military unit, which resulted in the injury of a soldier and some civilians.	2
2005/s/2005/650/6:3	In South Darfur, one of the most devastating clashes occurred on 19 September, when the SPLM/A attacked Sudan Armed Forces positions in and around the village of Shaeria.	1
2009/s/prst/2009/19/4:3	The Security Council also reiterates its support for the Special Representative of the Secretary-General, Mr. Ahmedou Ould Abdallah, for his efforts to advance the political process in Somalia.	1
2005/s/2005/625/36:1	E. Maritime activities and revenues - coal, fisheries and piracy	1
2010/s/2010/569/69:1	35. The Executive Directorate proposes three minor amendments to its organization and operational practice to better reflect the change in its priorities and proposed new activities.	4
2014/s/prst/2014/3/43:1	:: Regular coordination should be undertaken between the civilian and military components of missions, and between missions and parties working in the humanitarian field, in order to unify technical expertise in the field of civilian protection.	0
2014/s/2014/902/47:1	On November 30, 2014, regime warplanes fired a missile at the city of Anadan, killing 11 people, including a child. Daraa	4
2009/s/2009/289/49:4	In line with the Committee&#39;s general policy guidance on human rights and counter-terrorism, the Executive Directorate has included the issue of human rights within its communications strategy and stressed the need for States to ensure that their counter-terrorism measures are consistent with their obligations under international law.	2
2010/s/prst/2010/22/6:1	âThe Security Council welcomes General Assembly resolution 64/289, establishing a United Nations entity on gender equality and the empowerment of women (UN-Women), which will become fully operational in January 2011.	1
2005/s/2005/60/130:1	17 - For the purposes of implementing the fourth task, the Committee considered it necessary to conduct a preliminary assessment to determine the extent to which the Sudanese criminal justice system was able and willing to prosecute those responsible for international crimes committed in Darfur and bring them to trial, and then consider the various international mechanisms available.	4
2004/s/2004/384/59:1	33. In accordance with Presidential Decree No. 2004-236 on the mobilization of the national armed forces and the instructions issued during the meeting held between the President, the Prime Minister, the Ministers of Defense and Internal Security and the relevant heads of the National Police, the Gendarmerie and the National Armed Forces of CÃ´te d&#39;Ivoire on 24 March, the security forces were stationed in Many areas on the outskirts of the city, especially in places where gatherings and demonstrations are scheduled to be held.	4
2011/s/2011/298/60:1	44. The Joint Human Rights Office continued to investigate alleged violations of human rights and international humanitarian law committed by armed groups and national security forces.	2
2011/s/2011/463/341:4	There is a need to more effectively implement resolution 1624 (2005), which encourages interreligious and intercultural dialogue and understanding in order to counter incitement to terrorist acts motivated by extremism and intolerance.	1
2008/s/2008/258/72:2	One of the tools placed at the disposal of states to achieve this goal is the United Nations Register of Conventional Arms. It includes data provided by States on international arms transfers as well as information on military stocks, purchases of national production, and related policies.	2
2005/s/2005/572/255:3	He also held meetings with investigators from the Special Court for Sierra Leone and continued to meet with the group of experts established pursuant to resolution 1533 (2004) on the flow of arms to the Democratic Republic of the Congo.	4
2014/s/prst/2014/3/75:1	Encourage United Nations peacekeeping missions and other relevant missions authorized by the Security Council, as appropriate and on a case-by-case basis, to prevent illegal appropriation and confiscation of land and the confiscation of property belonging to refugees and internally displaced persons, and to ensure protection for returning refugees and internally displaced persons.	2
2005/s/2005/604/91:5	We also agreed that the parties should reconvene the genuine dialogue that they have demonstrated is needed, and begin, without delay, to dismantle militias, disarm, demobilize and reintegrate combatants, and hold free, fair and credible elections.	4
2006/s/2006/822/278:1	122. The evidence demonstrates that armed men led by Abilio Mesquita began the attack on Brigadier General Ruak&#39;s residence on 24 May, as described in paragraphs 69 and 70 above.	2
2004/s/res/1526_2004_/21:1	6. Decides, in order to assist the Committee in carrying out its mandate, to establish an 18-month analytical support and sanctions monitoring team, based in New York (referred to below as the âMonitoring Teamâ), which will operate under the guidance of the Committee and be entrusted with the responsibilities set out in the annex to the present resolution;	4
