es	Relevant
Colombia, Chile, el Paraguay y el Perú también han promulgado leyes que otorgan a las autoridades encargadas de hacer cumplir la ley facultades especiales de investigación.	1
Pedir a la secretaría que proporcione información actualizada sobre la cuestión de las posibles indemnizaciones duplicadas en las categorías A y C para que el Grupo de Trabajo pueda seguir examinándolas en sus futuras reuniones y mantenerla en el programa del próximo período de sesiones del Consejo de Administración; y que se apruebe la solicitud de la secretaría de que se prorrogue el mandato de cinco funcionarios hasta el 31 de diciembre de 2005 para que presten apoyo a los expertos contables forenses y apliquen las recomendaciones que puedan formularse en relación con las posibles indemnizaciones duplicadas.	0
Sin embargo, aunque el Equipo no evalúa que el asesoramiento técnico paramilitar disponible en Internet representa una amenaza a la par con la capacitación en la vida real, el potencial aumentará a medida que mejore la calidad del asesoramiento.	1
:: El establecimiento del programa de inversiones prioritarias para 2015-2017, por valor de 7.2080 millones de francos CFA (unos 15.000 millones de dólares).	0
Hizo hincapié en la necesidad de fomentar el diálogo dentro de las instituciones federales de transición y alentó a sus interlocutores a que utilizaran su influencia con ese fin.	1
Es innegable que hay mucho en juego, ya que el incumplimiento del plazo para los referendos prescritos en el Acuerdo General de Paz podría tener graves consecuencias.	1
Algunos miembros del Consejo expresaron su preocupación por el hecho de que aún no hubiera sido posible que avanzaran las investigaciones de los delitos cometidos por los rebeldes.	1
Por ejemplo, la Dirección Ejecutiva del Comité contra el Terrorismo ha trabajado extensamente con los Estados para fortalecer su capacidad de gestión de fronteras a fin de controlar los movimientos terroristas y su capacidad de justicia penal para hacer frente al blanqueo de dinero.	1
7. Exhorta a todos los Estados a que actúen estrictamente de conformidad con las disposiciones de la presente resolución, independientemente de la existencia de cualesquiera derechos u obligaciones conferidos o impuestos por cualquier acuerdo internacional o contrato celebrado o cualquier licencia o permiso concedido antes de la fecha de entrada en vigor de las medidas impuestas en virtud del párrafo 4 supra;	1
2. Exhorta al Gobierno de Siria a que cumpla visiblemente sus compromisos en su totalidad, como convino en hacer en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), de a) poner fin a los movimientos de tropas hacia los centros de población, b) poner fin a todo uso de armas pesadas en esos centros, c) retirar por completo las concentraciones militares en los centros de población y sus alrededores, así como de retirar sus tropas y armas pesadas de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar el cese sostenido de la violencia;	1
La República Centroafricana y su unidad de guardia, el Equipo de Tareas Regional de la Unión Africana y las fuerzas francesas desplegadas en la República Centroafricana (párr. 54 a)); suministros de equipo militar no mortífero destinado exclusivamente a fines humanitarios o de protección, y asistencia técnica o capacitación conexas (párr. 54 b)); prendas de vestir de protección, incluidos chalecos antibalas y cascos militares, exportadas temporalmente a la República Centroafricana por personal de las Naciones Unidas, representantes de los medios de comunicación, trabajadores humanitarios y de desarrollo y personal asociado, para su uso personal únicamente (párr. 54 c)); suministros de armas pequeñas y otro equipo conexo destinados exclusivamente a patrullas internacionales que proporcionan seguridad en la zona protegida del río Sangha para defenderse contra la caza furtiva, el contrabando de marfil y armas y otras actividades contrarias a las leyes nacionales de la República Centroafricana o a las obligaciones jurídicas internacionales de la República Centroafricana (párr. 54 d)); suministros de armas y otro equipo letal conexo a las fuerzas de seguridad de la República Centroafricana, destinados únicamente a apoyar o utilizar en el proceso de reforma del sector de la seguridad en la República Centroafricana, aprobados previamente por el Comité (párr. 54 e)); suministro de armas y material conexo (para.	1
Por ejemplo, Croacia y Polonia, con el apoyo de la Oficina de Asuntos de Desarme, llevaron a cabo un examen entre homólogos de su aplicación de la resolución, consistente en dos rondas de debates y actividades en Varsovia y Zagreb, que los expertos del Comité observaron, lo que contribuyó a determinar prácticas eficaces y facilitó el intercambio de experiencias.	1
El orador ha mantenido numerosos intercambios con el Gobierno de Marruecos, que, antes de aceptar la reanudación de la diplomacia itinerante, ha solicitado una reunión para aclarar sus preocupaciones con respecto al último informe del Secretario General (S/2014/258), especificando que Marruecos considera que ello permitirá que el proceso avance de la mejor manera posible.	1
No obstante, pese a la mayor atención y a los recientes acontecimientos positivos en esta esfera, siguen existiendo numerosos problemas sobre el terreno en lo que respecta a la aplicación, en particular en lo que respecta a la continua falta de claridad en torno al concepto y la puesta en funcionamiento de la protección de los civiles, los mecanismos de coordinación interna y externa, la alerta temprana y la respuesta rápida, el apoyo a las fuerzas de seguridad del Gobierno anfitrión, la capacidad de los contingentes y los recursos necesarios.	1
Desde que presenté mi informe de 2 de enero de 2008 al Consejo de Seguridad (S/2008/1), la ONUCI ha eliminado todos los 17 puestos de observación que había establecido a lo largo de la línea verde, salvo 2 de conformidad con las disposiciones del Acuerdo de Uagadugú.	1
50. El Relator Especial sobre la promoción y protección de los derechos humanos y las libertades fundamentales en la lucha contra el terrorismo realizó una visita oficial a Burkina Faso del 8 al 12 de abril de 2013, por invitación del Gobierno, para reunir información sobre la situación actual en Burkina Faso y así ayudar al Gobierno en su lucha contra el terrorismo, respetando al mismo tiempo los derechos humanos y promoviendo la aplicación de los instrumentos internacionales.	1
"El objetivo del esfuerzo fue mejorar la seguridad en la región, fortalecer la Alianza del Valle de Juba y reconciliar al General ""Morgan"" y la Alianza, quienes han estado luchando por territorios en el Valle de Juba durante varios años."	1
Los Estados deben abstenerse de inhibir a los agentes humanitarios en sus esfuerzos por lograr la participación de grupos armados no estatales con fines humanitarios, incluidas las actividades encaminadas a promover el respeto del derecho internacional humanitario.	1
Insta a los Estados Miembros a que garanticen una mayor representación de la mujer en todos los niveles de adopción de decisiones en las instituciones y mecanismos nacionales, regionales e internacionales para la prevención, la gestión y la solución de conflictos.	1
38. Encomienda al Comité que determine los posibles casos de incumplimiento de las medidas previstas en el párrafo 1 supra y determine las medidas que proceda adoptar en cada caso, y pide al Presidente que, en los informes periódicos que presente al Consejo de conformidad con el párrafo 46 infra, presente informes sobre la marcha de los trabajos del Comité sobre esta cuestión;	1
H. Prevención de la explotación y los abusos sexuales cometidos por personal de las Naciones Unidas, personal conexo y asociados de las Naciones Unidas y respuesta a ellos;	1
