ar_en_GOOGLE	MatConf
However, transparency measures relating to small arms systems are the least developed of all transparency measures relating to weapons systems.	0
No country applies adequate measures to protect non-profit organizations from terrorist financing.	1
The Russian Federation has also adopted legislation to protect the rights of victims of terrorism, and has taken measures regarding the conditions of detention of individuals suspected of committing a terrorist act.	0
One case was reported from Delba, West Darfur, where the victim was beaten to death.	1
C. Providing security for refugees, internally displaced persons, civilians and humanitarian workers, in accordance with international human rights standards	0
The name of the Janjaweed militias appeared in some of these incidents, and they contribute to acts of destruction, especially by causing harm to the civilian population and practicing looting on a large scale during the battles or in the following phase.	1
78 - Most States of this subregion have been subjected to terrorist attacks carried out either on their territory or against their nationals in other parts of the world.	1
IAEA experts explained to the Group that terrorists were much more likely to illicitly obtain a military device than to improvise their own device.	1
In the early hours of 11 July, unidentified gunmen stormed the home of Mr. Abdelkader Yahya, a long-time activist and senior member of the Center for Research and Dialogue, and assassinated him.	1
Noting with deep concern the escalation of violence and the increase in inter-communal fighting, as well as the continuing manifestations of sexual and gender-based violence and impunity, and reiterating its grave concern at the attacks directed against humanitarian personnel, peacekeepers, and the security of civilians, and calling on all parties in Darfur to stop Immediately launch its aggressive actions and stop continuing its violent attacks, which are deteriorating the situation with regard to humanitarian aid and obstructing its access to needy segments of the population,	1
Aware of the demands of the Lebanese people to identify all those responsible for the terrorist bombing that led to the killing of former Lebanese Prime Minister Rafik Hariri and others, and to hold them accountable for it,	1
63. Significant concerns remain regarding restrictions on freedom of expression.	1
âThe Security Council welcomes the significant progress achieved by Timor-Leste in strengthening the institutional and human resource capacities of State institutions, including in the security, justice and governance sectors, which play vital roles in maintaining stability and advancing democracy.	0
On 26 July, the Council issued a press statement condemning the terrorist attack on UNIFIL, in which six United Nations peacekeepers from France were injured. Thematic and other issues	0
6 men were killed and buried in one grave.	1
