ar_en_GOOGLE	VerCoop
The Russian Federation has also adopted legislation to protect the rights of victims of terrorism, and has taken measures regarding the conditions of detention of individuals suspected of committing a terrorist act.	0
The Council stresses the need for all military actions against the Lord&#39;s Resistance Army to adhere to applicable international law, including international humanitarian law, international human rights law and international refugee law, and the need to minimize the risk of harm to civilians in those areas.	1
Reaffirming the necessity of combating the threats to international peace and security resulting from terrorist acts, by all means, in accordance with the Charter of the United Nations and international law, stressing in this regard the important role played by the United Nations in leading and coordinating this combat process,	1
4 - The mission will emphasize that it is necessary to achieve lasting peace and achieve security and stability for all countries of the region.	1
He also called for an immediate cessation of all acts of violence and urged all parties to exercise maximum restraint and refrain from acts of retaliation, including attacks directed against state institutions.	1
The Committee also recognizes the need to address the issue of access to remedies for people who suffered as a result of the events of April and May.	1
The survivors fled the village with their skins, and their dead were not buried.	0
I have the honor to transmit herewith the concept paper relating to the meeting of the Security Council on counter-terrorism on 27 September 2010 (see annex).	1
Conscripts are then placed under regular army command, and usually wear the same uniform as the unit they are fighting with.	0
âThe Security Council recalls its resolutions 1265 (1999) of 17 September 1999 and 1296 (2000) of 19 April 2000 on the protection of civilians in armed conflict, and the statements of its President of 12 February 1999 (S/1999/6 ) and 15 March 2002 (S/2002/6) and 20 December 2002 (S/2002/41), and reaffirms the need to protect civilians in armed conflicts as an important item on the Councilâs agenda.	1
Although the Defense Forces indicated in 2006 that they were in possession of 1,200 M16 weapons, records reveal that 45 weapons of the same model were missing. Three FN-FCN semi-automatic rifles, three SKS semi-automatic rifles, and two Uzi weapons were also lost, all of which were in the custody of the Defense Forces and under their supervision.	0
Urge humanitarian and development organizations to take appropriate action to prevent sexual exploitation and abuse of their personnel, including conducting pre-deployment awareness-raising training and in the field, and in the case of UN agencies, promoting the Secretary-Generalâs Bulletin on Special Measures for Protection from Sexual Exploitation and Abuse (ST). /SGB/2003/13) and ensure compliance therewith, including by civilian staff in United Nations peacekeeping and other relevant missions.	1
The Security Council reiterates its request to the Secretary-General to include in his reports on specific country situations more comprehensive and detailed information regarding the protection of civilians in armed conflict.	1
If Al-Qaeda leaders are unable, due to the restrictions imposed on them by international measures, to translate support for these followers into coordinated violence under their control, they continue to attract them, including some who are intent on committing terrorist acts in their own name without having the desire to see their actions within a broader political program. .	0
&#39;&#39;The Security Council calls on the two parties to refrain from the use of force, settle their differences by peaceful means, normalize their relations, enhance stability between them, and lay the foundations for lasting peace in the region.	1
One police officer was killed and two were injured.	0
Time frame - The Secretary-General will determine the start date of the review, the rate of progress in its preparation and the period required for this, based on consultations he holds with the Special Envoy, taking into account the situation on the ground.	0
He considered that accountability is a basic condition for reconciliation, and that efforts should also be made to hold accountable those belonging to armed groups who have committed gross human rights violations.	0
The meeting also discussed ways and means of increasing pressure on foreign armed groups and the steps that the participating countries, the African Union and the Security Council must take in this regard.	0
The Committee is concerned that structural issues, including laws and policies that violate the right to adequate food and freedom from hunger, remain, which could lead to the return of mass famine.	0
The Togolese delegation believes that all these issues require urgent action to prevent the Sahel region from falling into complete insecurity, which would be very detrimental to its development.	0
Habasadi received financial and military support from Atto, Musa Sodi, Sheikh Yusuf Indohadi and others.	0
First, it caused an ongoing humanitarian emergency that also threatened peace and stability in Haiti.	0
27. The RPA continued to bomb UPDF positions and launch futile attacks, and destroyed a power station on the Chubu River from tactical bases it had established within civilian assembly areas.	0
Urges the Secretary-General and his special envoys to ensure the participation of women in discussions related to conflict prevention and resolution, the maintenance of peace and security, and post-conflict peacebuilding, and to encourage all parties involved in those conversations to facilitate the equal and full participation of women at all levels of decision-making.	1
Most countries have only weak capabilities to freeze funds and assets linked to terrorism without delay.	0
Reaffirms that all parties to the conflict are obligated to fulfill their obligations under international humanitarian law, in particular the Geneva Conventions of 12 August 1949, and that persons who commit or order the commission of grave violations of the Conventions are personally responsible for such violations.	1
In their comments, Council members recognized the targeted nature of the Council&#39;s sanctions and their applicability to a wide range of threats to international peace and security, including, inter alia, helping States restore stability, protecting civilian populations in situations of conflict, and combating terrorism and the proliferation of weapons of mass destruction.	1
9. Notes the parties&#39; support for the Peace Agreement for the purpose of maintaining the multinational stabilization force referred to in the Declaration of the Ministerial Meeting of the Peace Implementation Conference held in Madrid on 16 December 1998 (S/1999/139, annex);	1
Nine of the States have some measures in place to prevent the smuggling of weapons and explosives, but it is not known how effectively these measures are implemented.	0
Recognizing the importance of transitional justice in promoting lasting reconciliation among all the people of Burundi and welcoming the progress made in preparing for national consultations on the establishment of transitional justice mechanisms, including through the establishment of a technical follow-up committee and a forum for civil society representatives,	1
162. The Dutch forensic team was assisted by many people during its examination of the crime scene, including forensic police officers from the Homeland Security Force, a team of British divers, a French explosives expert, a forensic scientist from Northern Ireland and a German electronics engineer. In jamming devices, a team of Japanese crime scene investigators, a German expert specializing in cars, a Dutch expert specializing in cars, and a number of Lebanese specialists.	0
In a meeting with UNODC on 5 August, the new Minister of Justice outlined the efforts being made by the new Government to revamp the unit in order to align it with the objectives of the West Africa Sahel Initiative. On 27 October, more than 100 parliamentarians and government representatives adopted a political declaration in which they affirmed Guinea-Bissau&#39;s commitment to supporting initiatives to combat transnational organized crime, including drug trafficking, corruption, money laundering and terrorism. They called for continued support from the United Nations to strengthen national institutions in this field.	1
The Committee also conducts periodic reviews of the names of individuals reported dead and entities reported to no longer exist.	0
Emphasizing the support of the Secretary-Generalâs Personal Envoy to Western Sahara, Ambassador Christopher Ross, and his work to facilitate negotiations between the parties, welcoming his ongoing consultations with the parties and neighboring States, and looking forward to his visit in the near future to the region, including Western Sahara, as stated in Statement of the informal meeting on Western Sahara held from 11 to 13 March 2012,	1
Regarding President Kabila&#39;s request for MINURSO to assist in training, equipping and garrisoning 20 police units, progress remains limited due to the lack of complementary support from donors to provide the necessary basic equipment (see S/2010/164).	0
The Executive Directorate will also continue its constructive dialogue with Member States through meetings held at United Nations Headquarters, visits, workshops and video conferences with officials in the capitals concerned, with the aim of informing the Committee of Member Statesâ implementation of the elements of the relevant resolutions on countering terrorism, Including the completion of initial implementation assessments, new steps taken to combat terrorism, and emerging issues related to facilitating the provision of technical assistance.	1
The Democratic People&#39;s Republic of Korea also uses propaganda to incite nationalistic hatred towards official enemies of the State, including Japan, the United States of America, the Republic of Korea and their citizens.	0
They are under pressure regarding important elements of this identity such as their language, culture and religious heritage, as well as their economic survival.	0
The United Nations is studying the best ways to strengthen counter-terrorism capabilities in UN special political missions, peacekeeping operations, and United Nations country teams.	1
40 - Welcomes the periodic briefings provided by the Government of Afghanistan on the content of the List, as well as on the impact of targeted sanctions in deterring threats to peace, stability and security in Afghanistan, as well as on support for the Afghan-led reconciliation process;	1
âThe Security Council reaffirms the commitment of all Member States to the settlement of differences and conflicts in accordance with the Charter of the United Nations, and calls upon the international community to provide assistance, as appropriate, in the efforts of regional and subregional organizations to settle differences by peaceful means and to prevent the outbreak of conflicts and settle them in accordance with the Charter of the United Nations.â and relevant Security Council resolutions.	1
This means that the Commission is mandated to establish facts relating to possible violations of international human rights law and international humanitarian law in Darfur.	1
(a) Encouraging the setting of measurable targets for reducing armed violence;	0
The concepts of planning, ordering, instigating, aiding, and abetting a crime are discussed below.	0
We believe that the issue of supporting government legitimacy is important because there is a causal relationship, legitimacy and removing resistance by informal actors and informal networks that characterize the nature of power in Afghanistan.	0
407 - The importance of determining individual criminal responsibility for international crimes, whether committed within the framework of the authority of the State or outside the scope of that authority, is highlighted, in addition to the responsibility of the State, which represents a crucial aspect of the necessity of enforcing rights and protecting them from violation.	0
During the closed consultations that followed, Council members expressed their support for the United Nations Support Mission in Libya, and noted the efforts made by the interim government to achieve stability.	1
12. The Executive Directorate will strengthen its work with international, regional and subregional organizations around the world with a view to assisting them in preparing and/or implementing appropriate counter-terrorism action plans and engaging them more directly in meeting the capacity-building needs of States identified by the Committee through assessments. Initial implementation and country visits.	1
The Security Council recognizes the need for humanitarian agencies to continue engaging with all parties to armed conflicts for humanitarian purposes, including activities aimed at ensuring respect for international humanitarian law.	1
When discussing the role of the Security Council in redress, it was noted that the Council had been encouraged on a number of occasions to take measures in relation to this aspect of the accountability process. For example, in addition to its recommendation to refer the situation to the International Criminal Court, the International Commission of Inquiry on Darfur recommended that the Council form an international reparations commission, a proposal that received little attention or follow-up by the Council.	1
Calling upon the international community, especially the countries of the region and Iraqâs neighbors, to support the Iraqi people in their endeavors to achieve peace, stability, security, democracy and prosperity, and welcoming the expanded conferences of Iraqâs neighbors held in Sharm El-Sheikh, Istanbul and Kuwait, and their role in supporting the efforts made by the Government of Iraq to achieve security and stability in Iraq, and its positive outcomes for peace and security at the regional and global levels, and also welcoming the approval by the Expanded Conference of Iraqâs Neighbors, held in Kuwait on 22 April 2008, on the terms of reference of the support mechanism, and noting that the successful implementation of this resolution will contribute to achieving stability in regional level,	1
âThe Security Council notes with concern that the above-mentioned threats may threaten the security of the countries on its agenda, including post-conflict states, and encourages coordination of actions taken by the United Nations and those taken by Member States to combat these threats.	1
Investment and social integration depend not only on the status of the region, but also on the emergence of a stable and predictable Kosovo, where the rule of law is respected.	0
Another State indicated that it was preparing to establish a national human rights institution.	1
There was likewise no evidence that the Government arrested perpetrators of attacks directed against civilians, as stated in the Joint Statement and Resolution 1556 (2004).	0
âThe Security Council encourages the Mission to continue working, in coordination with the Government of Iraq, to help create conditions conducive to the voluntary, safe, and sustainable return of Iraqi refugees and internally displaced persons, and welcomes the increased attention of all concerned to this issue.	1
The Mission&#39;s four strategic priorities are building institutions and capacities at the department level; combating organized crime and corruption; Achieving financial continuity and sustainability, and enhancing police independence and accountability.	1
The Council condemns all violations of international law committed against children during armed conflicts, including international humanitarian law, international human rights law, and international refugee law.	0
159. During the armed conflict in CÃ´te d&#39;Ivoire in 2002-2003, the number of Liberians fighting alongside the Government of CÃ´te d&#39;Ivoire was estimated at between 1,500 and 2,500, while approximately 1,000 combatants were believed to be fighting on the side of the Ivorian rebels (see Document S/2004/972).	0
Incorporate gender concerns into needs assessment and resource allocation in post-conflict reconstruction.	0
The Secretary-General&#39;s recent report on resolutions 1559 (2004) and 1701 (2006) clearly expressed the importance of disarming Hezbollah and ending arms smuggling across the Lebanese-Syrian border.	0
It was also reported that 18 women were raped during the attack on his enemy in South Darfur at the beginning of December 2004.	0
This is despite the repeated condemnation of these inhumane acts by Security Council Resolutions 1820 (2008), 1888 (2009) and 1960 (2010), which have become a source of hope for millions of women and girls victims around the world.	0
Throughout Kosovo, responsibility for regional operations has been transferred to the Kosovo Police Service, with Interpol acting as a supervisor.	0
The Security Council recalls the obligations of states to respect international humanitarian law, including the four Geneva Conventions, and to work to enforce its respect, and affirms its responsibility to put an end to impunity and prosecute those responsible for genocide, crimes against humanity, and serious violations of humanitarian law.	1
The promotion process was fully sponsored by the Government with the support of a committee of five international experts (from Australia, Portugal, Singapore, Malaysia and New Zealand) and with technical support from the Mission&#39;s police.	1
82 - Although Al-Qaeda, the Taliban, and those associated with them may not have complex structures and systems that allow them to control the operations carried out by their followers, they nevertheless possess a military capability ready to operate as indicated, examples of which include the insurgents in Afghanistan. At the tactical and operational levels, Al-Qaeda, the Taliban, and those associated with them use both military and civilian equipment, such as short-range radios and mobile and satellite phones.	0
However, we also oppose and condemn extrajudicial executions.	0
âThe Security Council encourages the continued participation of relevant regional and subregional organizations in resolving disputes peacefully, as appropriate, including through conflict prevention, confidence-building measures and mediation efforts, and stresses the importance of harnessing in this regard the existing and potential capacities of regional and subregional organizations.	1
All relevant stakeholders should be encouraged to use this occasion to raise awareness of the resolution and promote its effective and comprehensive implementation in the context of planned or special activities aimed at strengthening implementation.	1
9 - As for Military Agreements No. 2 and No. 3, the two parties have been cooperating to a significant extent with the Mission regarding the marking and destruction of mines and unexploded ordnance.	0
The resolution imposes legally binding obligations on all states to have appropriate and effective measures to combat the spread of nuclear, chemical and biological weapons and their delivery systems and to enforce these measures.	1
It is also important to recognize that more than half of refugees and internally displaced persons do not live in camps. Therefore, the discussion will also address women&#39;s leadership roles in non-camp settings where reaching and providing services to refugees and internally displaced persons entails additional challenges.	1
(d) Prevent those who finance, plan, facilitate or commit terrorist acts from using its territories to implement those goals against other states or against the citizens of those states;	0
âThe Security Council stresses the need to bring to justice the perpetrators, organizers, financiers and masterminds of this abhorrent terrorist act, and urges all states to cooperate effectively with the Algerian authorities in this regard, in accordance with their obligations under the provisions of international law and resolution 1373 (2001) and in line with resolution 1624 (2005). ).	1
Many of these countries have not reviewed the non-profit sector for risks related to terrorist financing, but the United Kingdom, in particular, has put in place mechanisms to assess and protect this sector, as well as through the Charity Commissionâs international programme, which seeks to secure Communicate operations internationally and help build capacity in other parts of the world.	0
They called for the United Nations to take more decisive action on factors leading to terrorism in general, such as Islamophobia.	1
The Council reaffirms that ending impunity is of fundamental importance if a society in conflict or post-conflict is to overcome past injustices against civilians and prevent such injustices from occurring in the future.	1
Dutch prosecutors then sought to impose a ban on the foundation, dissolve it, and hand over any credit balances in the organization&#39;s bank account to the state, but the court decided that the government had not proven that the Al-Haramain Foundation&#39;s branch in the Netherlands, which is independent and separate from the international organization, had supported terrorism, Dutch prosecutors stated. They will appeal the court&#39;s ruling, and will seek additional information about Al Haramain and about Mr. Al Aqel from the United States.	0
116- The Monitoring Group continues to view the travel ban as one of the important sanctions against Al-Qaeda and the Taliban, noting at the same time the ingenuity shown by terrorists who attempt to cross national borders without being detected.	0
It has tried hard to keep civilians away from the conflict, and the goal of the National Movement of CÃ´te d&#39;Ivoire is to restore their dignity to the people of CÃ´te d&#39;Ivoire.	0
The working groups, which so far consist exclusively of Parties to the Comprehensive Peace Agreement, met on 9 and 10 August, and have continued to meet occasionally since then.	1
In West Darfur, for example, rebel forces attacked a police station in Tengafuka in October 2003.	0
In particular, I urge the Abkhaz side to fulfill its previous commitments, allow the opening of a human rights sub-office in Gali, allow local youth to receive education in their native Georgian language and accept the deployment of UNMIK police officers in the Gali district.	1
56- The police and security forces in the Democratic People&#39;s Republic of Korea systematically resort to violence and impose sanctions, which constitute a gross violation of human rights, in order to create a climate of fear that suppresses any opposition to the current regime and the ideology on which it is based.	0
The Security Council welcomes the Secretary-Generalâs intention to visit the Sahel region, later this year, alongside the President of the World Bank Group, and looks forward to briefing the Security Council following this visit.	1
Bouake was visited the day after the clash that took place between the rebels and the French force monitoring the ceasefire in DuÃ©kouÃ©.	0
âThe Security Council reaffirms its primary responsibility for the maintenance of international peace and security in accordance with the Charter of the United Nations, and recognizes the primary responsibility of States to eliminate the phenomenon of piracy and armed robbery at sea.	1
97. In conclusion, I would like to express my appreciation for the dedicated service provided by my Special Representative in Sudan, Haile Menkerios, as well as all military, police and civilian staff serving in the United Nations Mission in Sudan.	1
The Executive Directorate will also assist the Committee in its assessment of needs for technical assistance with a view to exploring ways to facilitate the more effective delivery of technical assistance to relevant Member States.	0
In paragraph 3 of that resolution, the Council requested me, in consultation with the Committee established pursuant to resolution 751 (1992) concerning Somalia and within 30 days from the date of that resolution, to re-establish the monitoring team referred to in paragraph 3 of resolution 1558 (2004) for a period Six months, provided that it is entrusted with the mandate specified in subparagraphs 3 (a) to (i) of resolution 1630 (2005).	1
This committee, which should be chaired by an international member, should be composed of persons of established international reputation, some of whom specialize in law (particularly international law, tort law or commercial law), and some in accounting, loss adjustment and environmental damage.	1
Indeed, neither of these approaches is indispensable in confronting the challenge posed by terrorism.	1
:: Requesting the Mission, in cooperation with relevant entities in the United Nations country team, to establish and implement a country-level monitoring and reporting mechanism on serious violations committed against children, pursuant to resolution 1612 (2005).	1
There is no doubt today that the real intention was to prevent the details of his reckless destructive acts committed on the orders of the CIA from being made public.	0
9 - Commends the Lebanese authorities for the courageous decisions they have already taken regarding the investigation, including in particular their decision, based on the recommendation of the Committee, to arrest and charge former Lebanese security officials suspected of involvement in this terrorist act, and encourages the Lebanese authorities to continue their efforts with the same Insistence in order to uncover all the secrets of this crime;	0
It is essential for States to ensure that their control systems for both military and commercial explosives are as tight as possible.	1
In addition, a mobile team visits remote communities, especially minority groups, who may not have access to the centers.	1
The Government, in cooperation with the United Nations country team and with input from the World Bank, has also prepared a booklet on the Millennium Development Goals that summarizes Timor-Leste&#39;s current position and identifies indicators for achieving those goals and their policy implications.	0
41. The United Nations also provided training to the Women&#39;s Media Association to enable it to raise public awareness of human rights and HIV/AIDS.	0
The representative of Israel welcomed the adoption of the resolution and stressed the need to make further efforts to fully implement the provisions of resolution 1701 (2006), including those relating to the disarmament and dismantling of Hezbollah and other militias.	1
It was also noted that, given the ICC&#39;s lack of enforcement mechanisms, it was important for the Council to remain engaged in the cases it referred to the Court and to take the necessary measures to enhance the cooperation of the parties concerned with the Court.	1
Recalling resolution 1373 (2001) of 28 September 2001, which established the Counter-Terrorism Committee, and recalling also its other resolutions relating to threats to international peace and security resulting from terrorist acts,	0
The team also visited the police checkpoint in Nyanguluku and checked the âmovement logâ but did not notice any irregularities; Some rifles and handguns were confiscated.	1
The success in prosecuting suspected pirates and imprisoning those convicted sends a strong message to the perpetrators and those who support them that they will not be able to escape punishment.	0
âThe Security Council stresses that safe havens for terrorists remain an important concern, and notes that all Member States must cooperate fully in the fight against terrorism in order to find anyone who supports or facilitates the financing, planning, preparation, commission or commission of terrorist acts.â Providing safe haven, or participating or attempting to participate in that, not granting safe haven to that person, and bringing him to justice based on the principle of extradition or trial.	1
The Council stressed that reforming the defense and security sectors, combating impunity, and combating illicit drug trafficking remain peacebuilding priorities in Guinea-Bissau, and urged the armed forces of Guinea-Bissau to respect civilian governance and oversight.	1
