ar_en_TRANSFORMERS	MatConf
The Mission trained more than 20 human rights organizations on monitoring techniques and, with the financial support of OHCHR and the Embassy of Canada, facilitated the production and dissemination of awareness-raising materials for more than 30,000 people and civil society organizations.	0
:: Enforcement of appropriate military disciplinary procedures and adherence to the principle of command responsibility.	1
47. Strongly urges Member States to provide all relevant information to the Ombudsman, including any relevant confidential information, where appropriate, encourages Member States to provide relevant information in a timely manner, welcomes those national arrangements concluded by Member States with the Office of the Ombudsman to facilitate the exchange of confidential information, encourages Member States to continue to cooperate in this regard, including through arrangements with the Office of the Ombudsman for the exchange of such information, and underlines that the Ombudsman must comply with any form of confidentiality restrictions imposed by Member States on the information provided by him;	0
Although the sanctions regime may force some members of the Taliban to stay in remote areas, and the Team notes that this may be one of the reasons why senior members of the Taliban wish to be de-listed, the preventive aim of the measures has largely not been achieved.	1
In the early morning hours of 11 July, unidentified gunmen broke into the home of Mr. Abdelkader Yahya, an old activist and senior member of the Research and Dialogue Centre, and assassinated him.	1
"The Security Council reaffirms its full support for the efforts of the United Nations, in particular the activities of the United Nations Special Mission to Afghanistan and of the Special Envoy of the Secretary-General for Afghanistan, to facilitate the political process aimed at achieving the goals of national reconciliation and a lasting political settlement with the participation of all parties to the conflict and all sectors of Afghan society, and reaffirms its position that the United Nations must continue to play its primary and impartial role in international efforts to achieve a peaceful settlement of the Afghan conflict.	0
The officers replied that 'it' was all anyway, and they started to sabotage the house.	1
Subject to the availability of resources, provide staff with practical and operational tools to systematically integrate gender concerns into security sector reform work; implement recommendations made by the 2005 Forum on Gender and Governance in Africa, with a view to achieving the African Union target of 30 per cent of women in national assemblies.	0
The Janjaweed also brought to this camp a number of other women from the villages surrounding the Tawilla after their abduction following attacks on their villages.	1
17. For the purpose of carrying out the fourth task, the Commission considered it necessary to conduct a preliminary assessment to determine to what extent the Sudanese criminal justice system was able and ready to prosecute and bring to justice those responsible for international crimes committed in Darfur and then to consider available international mechanisms.	0
4. Calls upon all States to act vigorously and resolutely to stem flows of funds, other financial assets and economic resources to individuals or entities associated with Al-Qaida, Usama bin Laden and/or the Taliban by implementing, as appropriate, internationally agreed norms and standards to combat the financing of terrorism, including those established to prevent the misuse of non-profit organizations and other alternative/informal remittance systems;	0
Mandate United Nations peacekeeping and other relevant missions authorized by the Security Council to promote the establishment of media monitoring mechanisms to ensure the effective monitoring, reporting and documentation of incidents, sources and contents that incite "hate media."	0
6. Stresses that the requirements of paragraph 1 (a) above apply to financial and economic resources in all their forms, including, but not limited to, those used to provide Internet publishing or related services in support of the Taliban and other individuals, groups, undertakings and entities associated with them, as well as other individuals, groups, undertakings and entities associated with the Taliban, in constituting a threat to peace, stability and security in Afghanistan and other individuals, groups, undertakings and entities associated with them;	1
600. In the light of this international legal norm, the Sudan &apos; s obligation to pay compensation for all crimes committed in Darfur by its agents, officials or de facto organs must be seen.	1
229. The Committee recommends the establishment of strong and independent oversight mechanisms for the police and the army.	0
11. Urges all Member States, in particular those in the Sahel and Maghreb regions, to coordinate their efforts to prevent the serious threat to international and regional security posed by terrorist groups that cross national borders and seek safe havens in the Sahel region, and to strengthen cooperation and coordination in order to develop comprehensive and effective strategies to address in a comprehensive and integrated manner the activities of terrorist groups, prevent the expansion of such groups and reduce the proliferation of all types of weapons and transnational organized crime;	0
