ar_en_DEEPL	VerConf
Forum participants embarked on a process to identify elements for a national strategy on women's participation in conflict resolution.	0
When asked to provide further details, the victims state that the Janjaweed attackers are from Arab tribes and, in most cases, attack them on horseback and camelback, armed with various types of automatic weapons.	0
16. Despite the military defeat of M23, Congolese and foreign armed groups, including ADF, FDLR and several Mayi-Mayi groups, continue to pose a threat to the civilian population and to overall stability and development in the eastern Democratic Republic of the Congo and the Great Lakes region.	1
Noting with concern the continued threat to international peace and security posed by Al-Qaida and other individuals, groups, undertakings and entities associated with it, reaffirming its determination to address all aspects of that threat, and considering the deliberations of the 1267 Committee on the recommendation of the 1267 Monitoring Team in its eleventh report to the 1267 Committee that Member States treat listed Taliban and listed individuals and entities of Al-Qaida and its associates differently.	0
All of these measures have undoubtedly had an impact in raising awareness, developing mutual understanding, and addressing the dangers and threats of incitement.	0
Haiti's political and civil society leaders continue to call for national consensus in key areas, such as the national budget, education, recovery and development priorities, elections and constitutional reform.	1
Although the Commission is convinced, based on the evidence of independent witnesses, that the defense forces opened fire, each side believed at the time that it had been attacked by the other.	0
The true establishment of the rule of law in the DRC requires the formation of an army, a justice system and a police force that is effective and democratic.	1
However, in at least five countries, the criminal justice system can be improved and made more efficient to ensure that terrorists are brought to justice.	1
The government has repeatedly stated that it has instructed military commanders not to bomb.	0
The authorities in the DRC have an international obligation to ensure that their country is not used as a base from which these rebels come to attack Uganda.	0
The Council recognized the usefulness of annual briefings by heads of military components, and also said it would welcome similar briefings by heads of police components to improve its understanding of operational challenges.	0
47. Listed groups associated with Al-Qaida and the Taliban continue to raise funds through legal means, such as donations and legitimate businesses, as well as illegally through kidnapping for ransom, extortion, drug trafficking and illegal taxation.	0
Request troop- and police-contributing countries to ensure that appropriate training is provided to increase the protection awareness and responsiveness of their personnel participating in United Nations peacekeeping and other relevant missions authorized by the Security Council for the protection of civilians.	0
Collaborate on the development and implementation of a gender-sensitive HIV/AIDS policy in the areas of training, codes of conduct, HIV detection, civil-military cooperation, resource information, and best practice materials; integrate an HIV/AIDS policy into the Department of Peacekeeping Operations and strengthen the capacity of peacekeeping operations (including incoming staff) to address HIV/AIDS.	0
The provisions of Law No. 656/2002 on preventing and combating money laundering are in line with the provisions of Directive 2001/97/EC of the European Parliament and of the Council of December 4, 2001, amending Council Directive 91/308/EEC on the prevention of the use of the financial system for money laundering.	0
The terrorist threats to the region are somewhat different in terms of their origin and nature, but similar in terms of their effects.	1
53. While the physical protection of civilians from violence remains important, there should be an additional focus on protection through political and civic processes, community-level reconciliation efforts and the creation of a protective environment in close coordination with the United Nations country team and protection actors.	0
Several interlocutors reported that some neighboring countries play a destabilizing role.	1
For example, the sensitive issue of issuing identity documents to the population is a long-term process that will continue even after the elections, as will reintegrating combatants, reforming the security sector, addressing land tenure issues, promoting sound economic governance, protecting human rights, working to heal the wounds caused by the conflict, and addressing the root causes of the crisis.	0
Recalling in this context that the killing of members of an ethnic group with the aim of destroying that group, in whole or in part, constitutes a crime punishable under international law.	0
The Council can play an important role in ensuring that reparations programs are established to meet the needs of victims.	0
âThe Security Council solemnly warns DRC's neighbors of the consequences of providing support to armed rebel groups.	1
Improving this situation requires the enforcement of laws - particularly the law on the elimination of violence against women - that criminalize and punish violence and harmful practices against women and girls.	1
We call on all armed groups that are signatories to the Ouagadougou Agreement to disassociate themselves from terrorist groups.	1
12. Convention on the Marking of Plastic Explosives for the Purpose of Detection, signed at Montreal on 1 May 1991; ratified by the Czech Republic on 18 December 1991; entered into force on 21 June 1998.	0
We note that the ongoing challenges facing the police in Timor-Leste should not be underestimated.	1
Call on parties to armed conflict to comply with applicable international law and respect the civilian status of journalists, media professionals and associated personnel, as well as their equipment and installations.	0
