es_en_DEEP	MatConf
Furthermore, the Commission considers that the fact that the rapes and other acts of sexual violence were committed mainly against three "African" tribes demonstrates the discriminatory intent of the perpetrators.	1
Urges all interested parties to fulfill their international obligations in relation to the protection of children affected by armed conflict, as well as the specific promises they have made to the Special Representative of the Secretary-General for Children and Armed Conflict, UNICEF and other United Nations agencies, and cooperate fully with United Nations peacekeeping missions and United Nations country teams... in monitoring and implementing of those promises.	0
While noting that some parties to armed conflict have responded to its call to prepare and implement concrete and time-bound action plans to end the recruitment and use of children in contravention of applicable international law:	0
Although a few incidents were reported in which rebel groups destroyed villages and private property, most reports contained eyewitness accounts, according to which most villages were destroyed in the course of attacks by the Janjaweed, often under the leadership of the armed forces of the Government of the Sudan and with their participation and support.	1
Aware of the importance of the subregion as a transit zone, most States have adopted regulations relating to asylum, traveler movements and the prevention and elimination of cross-border movements of terrorists.	0
The Security Council considers sanctions to be an important instrument in the fight against terrorism, and underlines the importance of the prompt and effective implementation of relevant resolutions, in particular Security Council resolutions 1267 (1999) and 1989 (2011). ), as a key instrument in the fight against terrorism.	0
The Mission's policy group on sexual exploitation and abuse is completing the development of a UNOCI code of conduct in this regard and participates in the country network addressing these issues.	0
In addition, human rights defenders reported cases of robberies, acts of violence and looting perpetrated by law enforcement forces and the civilian population against the inhabitants of these neighborhoods.	1
The subregion has reached a reasonable level of ratification of international instruments against terrorism.	0
Introducing changes to the police structure of Bosnia and Herzegovina will require the support of international police experts.	0
11. Recalls that accountability for such serious crimes must be ensured by taking action at the national level and enhancing international cooperation in support of national mechanisms, notes that a full range of justice and reconciliation mechanisms, including criminal courts, must be considered national, international and "mixed" truth and reconciliation commissions, as well as national victim reparation programs and institutional reforms, and underlines its role in ending impunity;	0
One State noted that, while its constitution guaranteed the right to freedom of expression, that right may be subject to reasonable restrictions, including those applicable to verbal expressions amounting to incitement.	1
Since the end of the last term in mid-March 2005, relations between the Transitional Federal Government and the opposition have worsened severely, greatly increasing the likelihood of a major military confrontation between the two.	1
Several incidents during the reporting period indicate friction between the CIS peacekeeping forces and the Georgian side, including the detention of trucks belonging to the CIS peacekeeping forces (see para. 17 ), the temporary detention of a CIS peacekeeper soldier, the installation of electricity meters at CIS peacekeeper checkpoints and a demonstration protesting against the presence of CIS peacekeeping forces in Georgia.	1
The Commission has collected credible information enabling it to identify eight senior central government officials and military commanders and six local government officials or members of the armed forces operating in Darfur who may be suspected of being responsible for failing to prevent or suppress , knowingly, the perpetration of crimes, that is, of higher responsibility.	1
It is disappointing that the committees limited themselves to the crime of rape and did not pursue cases in which other forms of sexual abuse, including attempted rape, were reported.	1
This is a sensitive issue, as there has been a lack of trust between some police officers in different places.	0
Tragically, the Vice Warden and a guard were killed in the attack, while the Warden and a supervisor were injured.	1
Additionally, MINUSTAH documented the deaths of children in Cit̩ Soleil and other poor districts as a result of shootouts between gangs and the Haitian National Police and the continued use of sexual violence against children.	1
The conditions of the regime were modified by resolutions 1333 (2000) and 1390 (2002), to impose three targeted measures (asset freeze, travel ban and arms embargo) against individuals and entities associated with the Taliban and Al -Qaida.	1
It should be noted that neither movement made its arguments from a tribal point of view, but rather spoke on behalf of all Darfurians, and directed its attacks primarily against government establishments.	1
In its resolution 2154 (2014), adopted on 8 May 2014, the Security Council noted with deep appreciation the manner in which Captain Mbaye Diagne of Senegal, who, acting in the service of the United Nations Assistance Mission for Rwanda, unarmed and facing extreme and constant danger, he saved hundreds, or perhaps even a thousand, Rwandans from death during the 1994 genocide in Rwanda.	0
- In November 2014, 11 people were kidnapped in areas controlled by the regime and 4 in areas controlled by extremist groups.	1
The Council underlines the importance of national ownership, constructive dialogue and partnership between national authorities and the international community to help address priority peacebuilding needs and the underlying causes of recurrent instability.	0
The Security Council emphasizes the importance of a coordinated international response to the causes of conflict, recognizes the need to develop effective long-term strategies and emphasizes the need for all United Nations bodies and agencies to adopt preventive and take measures in their respective spheres of competence to assist Member States and regional and subregional organizations to eradicate poverty, strengthen development cooperation and assistance and promote respect for human rights and fundamental freedoms.	0
However, there is a serious danger that, as a result of this decision, which violates the documents of the Bonn and Berlin conferences, the country faces an explosive situation characterized by a new armed resistance and the internal division of the power structures. .	0
