es_en_GOOGLE	MatCoop
If States are unable to implement the decisions taken by the Council under Chapter VII of the Charter of the United Nations without contravening their own legislation, the world community will be powerless to implement coordinated measures against threats to international peace and security.	0
The effective functioning of the Tribunal is an essential requirement to end the climate of impunity that continues to prevail in Darfur.	1
b) Facilitate the establishment of the regional mechanisms necessary for international cooperation in criminal proceedings;	1
On 7 September, the Joint High-Level Working Group of the Government of Chad and the United Nations met for the third time to assess the situation on the ground regarding the protection of civilians and compliance with the measures adopted by the Government to fulfill the tasks set out in paragraph 2 of Security Council resolution 1923 (2010).	1
Government forces intervened late in the events, firing from their own camp, but their intervention came too late and was insufficient to save lives or property.	0
Safe, voluntary and dignified return and reintegration Calls upon all stakeholders to ensure that all peace processes and agreements and all post-conflict recovery and reconstruction planning take into account the needs of women and children and include concrete measures for the protection of civilians, including... iii) the creation of conditions conducive to the voluntary, safe, dignified and sustainable return of refugees and internally displaced persons.	1
Sudan has also ratified International Labor Organization Convention 182 on the Prohibition of the Worst Forms of Child Labor and Immediate Action for its Elimination, which prohibits the forced or compulsory recruitment of children for use in armed conflict.	1
In the case of Africa, the Council addressed the serious situation on the border between Rwanda and the Democratic Republic of the Congo, reviewed the persistent political stalemate between Ethiopia and Eritrea, assessed the implementation of the arms embargo on Somalia, and made renewed efforts to revive the political process in C̫te d&#39;Ivoire.	1
Council members welcomed the training programs organized by the Representative of the Secretary-General and BONUCA to inform the armed forces and police of the Central African Republic of ways to promote respect for human rights and the law humanitarian international.	0
The Commission&#39;s investigation team was headed by a chief investigator and comprised four investigators, two investigators specialized in violence against women, four forensic experts and two military analysts.	1
c) Cooperate, in particular through bilateral and multilateral agreements and conventions, to prevent and suppress terrorist attacks, and take measures against those who commit such acts;	1
However, only 20 have established practical measures and a national strategy to crack down on recruitment by terrorist groups.	1
New concerted efforts will be needed to end the continued flagrant violations of human rights by armed groups and FARDC against the civilian population in Ituri, the Kivus and the central and northern region of Katanga, which are seriously undermining the efforts to stabilize these areas and affecting the organization of the elections.	0
Some of the issues examined are: the lack of a clear and well-defined sanctions policy, the lack of staff training, the establishment of a culture of sanctions compliance at all levels of the institutions and the general effectiveness of the technologies of vigilance.	0
In the last of these (S/2012/376), as in the previous ones (S/2009/277 and S/2010/579), the Secretary General defined five basic challenges around which the debate should revolve: promote compliance with international law by parties to the conflict; improve compliance by non-state armed groups; increase protection by peacekeeping and other relevant United Nations missions; improve access for humanitarian purposes; and increase accountability for violations.	1
Universal jurisdiction applies to these crimes which, if not prosecuted by Algerian justice, can be referred to any other national or international jurisdiction.	1
Some of these League recruits from the Maoist army and militia are under 18 years of age.	0
